,Barra_Beta,Barra_BookToPrice,Barra_EarningsYield,Barra_Growth,Barra_Leverage,Barra_Liquidity,Barra_Momentum,Barra_NonLinearSize,Barra_ResidualVolatility,Barra_Size
000001,-0.62998486,2.18271025,2.14532214,-0.274844578028169,1.2975979386,-0.05107160200000005,2.18481192,2.69200969,0.037841907799999984,2.90659034
000002,-0.53393403,0.01132395,1.9504273999999997,0.3782522154929577,0.921821506,-0.8635239570000001,2.30834206,2.69200969,1.2347682602,2.90659034
000005,0.19309263,-0.37723739,-0.62509512,1.3694390973239436,-0.1852659017,-0.6746758365000001,-0.94761557,-1.56703148,-0.6996405756,-0.64993695
000006,-1.55857203,-0.03396756,1.09449291,-0.1808414770422536,0.2111782967,1.8075388119999998,1.11673852,-2.92923553,-1.6604875339999998,0.5435227
000008,-1.30342035,-0.57030369,0.37460745,-1.022072115774648,-0.5653199626000001,-1.6026780580000002,0.5737095,-3.21850593,-1.0691264214,1.13390779
000009,0.74556247,1.4715251,-0.06503988,-0.2423586426760564,0.1891975334,0.18865471,-0.50567964,-2.95343108,-0.5367608192000001,0.56920915
000060,0.16013413,-0.14855288,0.37982401,-0.3768678052112676,-0.22735522989999998,0.8616557279999999,0.5724846,-3.14345845,-0.4110861094,1.34588184
000063,2.0991183999999996,-0.24761121,0.47108338,0.1898120491549296,-0.03733460079999995,1.13127037,2.69041346,2.69200969,1.6902530256,2.90659034
000069,-0.47145693,0.95728226,2.56112724,0.04848602084507042,1.7390300716,-0.26530672200000005,1.13321633,-0.00274763,0.02693083160000001,2.48977411
000100,0.48720418,2.88242954,1.45368492,-0.12227220394366198,1.2833535949,0.5952284975,0.88554362,-2.29377267,-0.22281075180000004,1.89640827
000157,-0.35453227,2.88242954,0.29948378,-1.1029443205633802,0.5168878208000001,-0.644199371,0.67077792,-2.93619242,-1.5089797589999998,1.55928615
000166,-0.79924836,0.28204406,0.40739022,0.03186643647887324,0.03905314930000009,-2.0573485895,0.02705439,2.32418291,-1.5267870168000002,2.85779951
000333,0.00547761,-0.85641571,0.66120943,0.03186643647887324,0.4072595944,-0.652159014,2.69041346,2.69200969,0.2729634664,2.90659034
000338,0.65429909,1.58960717,2.67501713,-0.323872246056338,0.9294184211,0.138802019,2.64701702,-0.95845189,-0.1172625546,2.29027718
000402,-0.60180564,2.13673519,2.67501713,-0.13511996436619714,2.2177533339,-0.04554770349999998,0.7754970999999999,-2.92536893,-0.2764153614,1.56747605
000413,0.29250917,0.50257585,0.47512303,0.1047264976056338,0.10710304640000001,0.3380307525,0.13212354,-2.37222926,-0.45331893240000004,1.86477395
000415,-0.3220687,2.61434974,1.87856274,0.022374936760563367,3.3038369081,-1.8714422675,-0.16395215,-2.89102039,-1.1788968972,1.59242339
000423,-0.90894047,-0.83190081,0.6641143,0.309225905915493,0.3755717498999999,0.2218964245,0.68671133,-2.57568819,-0.8736978944,1.77396636
000425,0.14312138,1.483897,0.18932795,-1.3709310554929577,-0.184253977,0.8851094884999999,1.95890548,-3.0415935000000003,-0.1027028468,1.46848372
000503,-1.76912911,-1.47037169,-0.78949681,-0.16641572450704226,-0.8148635707999999,1.138058051,2.44954574,-2.91673807,1.2637130834,1.57388909
000538,-0.7791811,-1.02014856,0.11891496,-0.12391300014084508,-0.556241361,-0.983422391,1.74001789,1.33444973,-0.6312379942,2.71573453
000540,-1.80943536,0.33143829,1.10614964,-0.10266523774647887,2.3841509028,1.810014775,0.84831056,-2.95432765,-1.6439169673999998,1.54517017
000559,-0.23368944,-0.85565375,0.33245003,-0.20622260788732394,-0.3114142606,-0.6662141235000001,0.10750889999999999,-3.20584441,-0.1558966152,1.21193168
000568,0.11219343,-1.07483088,0.04115783,-0.5349925814084507,0.3815624126999999,-0.13587469300000002,2.69041346,0.70294569,0.4402822872,2.61491597
000623,-0.16305151,1.59277069,1.34775649,0.2783890236619718,-0.8910025032,0.35457603299999996,0.7203183000000001,-3.18826801,-1.4180779704000002,1.26182826
000625,-1.27442541,1.50629324,2.67501713,0.5406471583098591,-0.28231348059999994,-0.9582682125,0.01213201,-1.49921704,-1.6057984474000002,2.1539801
000627,-0.32763131,0.53205829,1.2691948999999998,1.4754621929577465,0.07568631719999996,-0.6000067785000001,0.2803947,-2.73213032,0.231194559,1.69229633
000630,-0.7145315,0.87136605,-0.05052865,-1.344840417746479,0.012171498800000041,-0.114840452,0.52204013,-3.08768632,-1.1757807835999998,1.41950285
000651,0.00894027,-0.9752632999999999,1.25276124,-0.5335421214084507,-0.05993701029999993,0.346697019,2.67491751,2.69200969,0.4947854854,2.90659034
000671,0.17786813,1.15452951,0.89893049,-0.5889813950704226,3.2781682187,0.4281223674999999,2.16324981,-2.70504175,1.4242410262,1.70739753
000686,0.12407269999999998,1.79879396,0.2476632,0.4493273702816901,1.1045050275,-0.1198874935,-0.57002574,-3.21389132,-1.0585801002,1.00756617
