,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
000001,0,0,0,0,1,0,0,0,0,0,0
000002,0,0,0,0,0,0,0,0,0,1,0
000005,0,0,0,0,0,0,0,0,0,1,0
000006,0,0,0,0,0,0,0,0,0,1,0
000008,0,0,0,0,0,0,1,0,0,0,0
000009,0,0,0,0,0,0,1,0,0,0,0
000060,0,0,0,0,0,0,0,0,1,0,0
000063,0,0,0,0,0,0,0,1,0,0,0
000069,0,1,0,0,0,0,0,0,0,0,0
000100,0,1,0,0,0,0,0,0,0,0,0
000157,0,0,0,0,0,0,1,0,0,0,0
000166,0,0,0,0,1,0,0,0,0,0,0
000333,0,1,0,0,0,0,0,0,0,0,0
000338,0,0,0,0,0,0,1,0,0,0,0
000402,0,0,0,0,0,0,0,0,0,1,0
000413,0,0,0,0,0,0,0,1,0,0,0
000415,0,0,0,0,1,0,0,0,0,0,0
000423,0,0,0,0,0,1,0,0,0,0,0
000425,0,0,0,0,0,0,1,0,0,0,0
000503,0,0,0,0,0,1,0,0,0,0,0
000538,0,0,0,0,0,1,0,0,0,0,0
000540,0,0,0,0,0,0,0,0,0,1,0
000559,0,1,0,0,0,0,0,0,0,0,0
000568,0,0,1,0,0,0,0,0,0,0,0
000623,0,0,0,0,0,1,0,0,0,0,0
000625,0,1,0,0,0,0,0,0,0,0,0
000627,0,0,0,0,1,0,0,0,0,0,0
000630,0,0,0,0,0,0,0,0,1,0,0
000651,0,1,0,0,0,0,0,0,0,0,0
000671,0,0,0,0,0,0,0,0,0,1,0
000686,0,0,0,0,1,0,0,0,0,0,0
000709,0,0,0,0,0,0,0,0,1,0,0
000723,0,0,0,1,0,0,0,0,0,0,0
000725,0,0,0,0,0,0,0,1,0,0,0
000728,0,0,0,0,1,0,0,0,0,0,0
000738,0,0,0,0,0,0,1,0,0,0,0
000750,0,0,0,0,1,0,0,0,0,0,0
000768,0,0,0,0,0,0,1,0,0,0,0
000776,0,0,0,0,1,0,0,0,0,0,0
000783,0,0,0,0,1,0,0,0,0,0,0
000792,0,0,0,0,0,0,0,0,1,0,0
000826,0,0,0,0,0,0,1,0,0,0,0
000839,1,0,0,0,0,0,0,0,0,0,0
000858,0,0,1,0,0,0,0,0,0,0,0
000876,0,0,1,0,0,0,0,0,0,0,0
000895,0,0,1,0,0,0,0,0,0,0,0
000898,0,0,0,0,0,0,0,0,1,0,0
000938,0,0,0,0,0,0,0,1,0,0,0
000959,0,0,0,0,0,0,0,0,1,0,0
000961,0,0,0,0,0,0,0,0,0,1,0
000963,0,0,0,0,0,1,0,0,0,0,0
000983,0,0,0,1,0,0,0,0,0,0,0
001979,0,0,0,0,0,0,0,0,0,1,0
002007,0,0,0,0,0,1,0,0,0,0,0
002008,0,0,0,0,0,0,1,0,0,0,0
002024,0,1,0,0,0,0,0,0,0,0,0
002027,0,0,0,0,0,0,0,1,0,0,0
002044,0,0,0,0,0,1,0,0,0,0,0
002065,0,0,0,0,0,0,0,1,0,0,0
002074,0,0,0,0,0,0,1,0,0,0,0
002081,0,0,0,0,0,0,1,0,0,0,0
002142,0,0,0,0,1,0,0,0,0,0,0
002146,0,0,0,0,0,0,0,0,0,1,0
002153,0,0,0,0,0,0,0,1,0,0,0
002174,1,0,0,0,0,0,0,0,0,0,0
002202,0,0,0,0,0,0,1,0,0,0,0
002230,0,0,0,0,0,0,0,1,0,0,0
002236,0,0,0,0,0,0,0,1,0,0,0
002241,0,0,0,0,0,0,0,1,0,0,0
002252,0,0,0,0,0,1,0,0,0,0,0
002292,0,1,0,0,0,0,0,0,0,0,0
002294,0,0,0,0,0,1,0,0,0,0,0
002304,0,0,1,0,0,0,0,0,0,0,0
002310,0,0,0,0,0,0,1,0,0,0,0
002352,0,0,0,0,0,0,1,0,0,0,0
002385,0,0,1,0,0,0,0,0,0,0,0
002411,0,0,0,0,0,0,0,0,1,0,0
002415,0,0,0,0,0,0,0,1,0,0,0
002424,0,0,0,0,0,1,0,0,0,0,0
002426,0,0,0,0,0,0,0,1,0,0,0
002450,0,0,0,0,0,0,0,0,1,0,0
002456,0,0,0,0,0,0,0,1,0,0,0
002460,0,0,0,0,0,0,0,0,1,0,0
002465,0,0,0,0,0,0,0,1,0,0,0
002466,0,0,0,0,0,0,0,0,1,0,0
002468,0,0,0,0,0,0,1,0,0,0,0
002470,0,0,0,0,0,0,0,0,1,0,0
002475,0,0,0,0,0,0,1,0,0,0,0
002500,0,0,0,0,1,0,0,0,0,0,0
002508,0,1,0,0,0,0,0,0,0,0,0
002555,1,0,0,0,0,0,0,0,0,0,0
002558,1,0,0,0,0,0,0,0,0,0,0
002572,0,1,0,0,0,0,0,0,0,0,0
002594,0,1,0,0,0,0,0,0,0,0,0
002601,0,0,0,0,0,0,0,0,1,0,0
002602,0,1,0,0,0,0,0,0,0,0,0
002608,0,0,0,0,0,0,0,0,0,0,1
002624,1,0,0,0,0,0,0,0,0,0,0
002673,0,0,0,0,1,0,0,0,0,0,0
002714,0,0,1,0,0,0,0,0,0,0,0
