,ASHR,EWH,EWU,EWZ,IVV,SCHF,VEA,VOE,VWO,XLB,XLI,XLP,EWG,VB,VTI,DIA,GXC,HEZU,MCHI,OEF,QQQ,SXXPIEX,IEFA,Cash
2018/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,4000,10000,7660,4500,0,8000,0,568050
2018/4/23,0,0,0,0,1695,0,0,0,0,0,0,0,0,0,0,2200,4000,10000,7660,0,0,8000,0,642418.15
2018/4/24,0,0,0,0,1695,12619,0,0,0,0,0,0,0,0,0,2200,4000,10000,7660,0,0,0,0,579490.63
2018/4/25,0,0,0,0,1695,12619,0,0,0,0,0,0,0,0,0,2200,4000,10000,7660,0,0,0,0,579490.63
2018/4/26,4043,0,0,0,1695,12619,0,0,6451,0,0,0,0,0,0,2200,0,10000,7660,0,0,0,0,593575.84
2018/4/27,4043,0,0,0,1695,12619,9500,0,6451,0,0,0,0,0,0,2200,0,0,7660,0,0,0,0,471880.2
2018/4/30,4043,8477,0,0,1695,12619,9500,0,6451,0,0,0,0,0,0,2200,0,0,0,0,0,0,0,769842.31
2018/5/1,4043,8477,0,0,1695,12619,9500,0,6451,0,0,0,0,0,0,2200,0,0,0,0,0,0,0,769842.31
2018/5/2,4043,8477,0,0,1695,12619,9500,0,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,714440.51
2018/5/3,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/4,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/7,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/8,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/9,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/10,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/11,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/14,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/15,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/16,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/17,4043,8477,5397,4745,1695,12619,9500,1430,6451,3408,2723,3914,0,0,0,0,0,0,0,0,0,0,0,170367.97
2018/5/18,4043,8477,5397,0,1695,12619,9500,1430,6451,3408,2723,3914,5617,0,0,0,0,0,0,0,0,0,0,166228.26
2018/5/21,4043,8477,5397,0,1695,12619,9500,1430,6451,3408,2723,3914,5617,0,0,0,0,0,0,0,0,0,0,166228.26
2018/5/22,4043,8477,5397,0,1695,12619,9500,1430,6451,3408,2723,3914,5617,0,0,0,0,0,0,0,0,0,0,166228.26
2018/5/23,4043,8477,5397,0,1695,12619,9500,1430,6451,3408,2723,3914,5617,0,0,0,0,0,0,0,0,0,0,166228.26
