,ASHR,EWH,EWU,EWZ,IVV,SCHF,VEA,VOE,VWO,XLB,XLI,XLP,EWG,VB,VTI,DIA,GXC,HEZU,MCHI,OEF,QQQ,SXXPIEX,IEFA,Cash
2018/4/20,29.65,25.37,36.27,43.16,268.44,34.28,45.02,110.59,46.14,59,75.6,50.49,32.96,149.48,137.5,243.7919,107.86,30.33,66.85,117.35,162.3,46.41503,65.8532,1
2018/4/23,29.7,25.33008563,36.24952583,42.60007198,268.44,34.23,44.96997823,110.769946,45.83000796,58.83001287,75.51004112,50.42993881,32.84000621,149.4099319,137.4499888,243.6623,107.39,30.48,66.45,117.35,161.89,46.26957,65.755,1
2018/4/24,30.37,25.39000797,36.17786622,42.39004814,264.89,34.08,44.7699924,109.9699852,45.62005881,57.23995007,73.40002337,50.10998194,32.55998658,148.329941,135.8000193,239.4143,107.7,30.23,66.47,115.67,158.46,46.03228,65.4799,1
2018/4/25,30.19,25.33008563,36.09596952,42.0400423,265.42,34.04,44.67005011,110.2399544,45.27997339,57.5499857,73.6099609,50.19997296,32.39002951,148.3099932,135.9499526,240.0225,107.06,30.28,66.03,115.89,158.65,45.84606,65.3325,1
2018/4/26,29.81,25.3600468,36.37237087,42.87007358,268.15,34.23,45.00005205,110.7999872,45.74999378,57.90995253,73.33998385,50.49997661,32.51995452,148.9699765,137.2400018,242.4357,107.91,30.54,66.64,117.25,161.99,46.10912,65.6764,1
2018/4/27,29.71,25.46008663,36.34165961,43.06007094,268.39,34.31,45.04997256,110.8399752,45.99003632,57.75995797,73.18998544,50.76994966,32.64998192,148.7699967,137.3299818,242.2662,108.45,30.56,66.96,117.28,162.09,46.08841,65.755,1
2018/4/30,29.8,25.71003387,36.24952583,42.3000815,266.31,34.19,44.80998956,109.879962,45.68004428,57.00998522,72.22001583,50.44999279,32.45995763,147.469978,136.3299577,240.8602,108.36,30.55,66.85,116.39,160.94,46.23187,65.4701,1
2018/5/1,29.69,25.70008067,36.07549534,41.7700407,266.83,34.1,44.7699924,109.5799516,45.41997304,56.95995355,71.88999926,50.00991354,32.33996384,147.8999094,136.5400452,240.0824,108.58,30.61,66.99,116.68,162.78,46.23187,65.362,1
2018/5/2,29.38,25.71003387,35.88099069,41.07999143,264.97,34.06,44.71004728,108.8799609,45.12004568,56.82995157,71.25998587,49.02998894,32.64998192,147.9099334,135.750008,238.437,108.4,30.87,66.82,115.94,161.82,45.77976,65.3227,1
2018/5/3,29.69,25.630002,35.98336156,40.72998559,264.4,34.13,44.79996496,108.3899573,44.98004603,57.08995552,71.42996398,48.97990436,32.67004914,147.469978,135.3800453,238.4271,107.79,30.82,66.5,115.7,161.8,45.79416,65.5192,1
2018/5/4,29.67,25.58003287,36.07549534,40.75001206,267.82,34.24,44.96997823,109.6299868,45.20005986,57.79994313,72.25997525,49.68995667,32.84000621,149.42998,137.1300373,241.8374,108.92,30.97,67.2,117.32,164.87,45.94988,65.7206,1
2018/5/7,30.04,25.28001493,36.1062066,40.10001573,268.79,34.26,44.96005488,109.6299868,45.07998826,57.77995055,72.73999023,49.37997641,32.97996484,150.5899628,137.7299714,242.7349,109.14,31.03,67.35,117.75,166.24,45.95995,65.7648,1
2018/5/8,30.36,25.65000997,36.08573243,40.1100798,268.68,34.24,44.96005488,109.5199696,45.31006677,57.6599951,73.25996462,49.17994038,32.85997105,151.1699542,137.7799826,242.7349,110.47,31.15,68.27,117.75,166.07,45.93996,65.7845,1
2018/5/9,30.46,25.78001097,36.64877223,40.48001046,271.44,34.35,45.09999433,110.1900196,45.37005224,58.48993815,74.05001647,49.24997818,32.90000311,152.2199731,139.0799738,244.7093,111.06,31.21,68.61,118.94,167.88,46.18708,65.922,1
2018/5/10,30.94,26.0800289,36.72043184,41.86000735,273.9,34.59,45.41997166,111.0800036,46.27003562,58.90998318,74.55001116,49.53990446,33.19998757,152.9999443,140.2899849,246.7635,112.98,31.25,69.81,120.09,169.62,46.42312,66.3101,1
2018/5/11,30.62,26.37009364,36.77161727,40.94000942,274.47,34.68,45.5099906,110.729958,46.11000726,58.8899906,74.70994922,49.53990446,33.15002429,153.2699921,140.5699675,247.8405,112.78,31.27,69.74,120.47,169.46,46.56445,66.5213,1
2018/5/14,30.96,26.51004784,36.84327688,40.650083,274.82,34.74,45.58998493,110.8199812,46.25000691,59.11995545,74.58003092,49.51995124,33.0900274,152.9400005,140.6399632,248.5684,113.8,31.28,70.34,120.71,169.75,46.61059,66.5999,1
2018/5/15,30.52,26.2000767,36.74090601,40.14006868,272.81,34.47,45.20996122,110.510024,45.37005224,58.94002227,74.33003357,49.3299926,32.85003982,152.7599686,139.7899728,246.6139,111.91,31.27,69.04,119.72,167.87,46.26553,66.0694,1
2018/5/16,30.78,26.25004584,36.88422523,40.58004117,274.1,34.54,45.35000193,111.1599796,46.01006503,59.63996336,74.60001062,49.67998006,32.82004138,153.9199514,140.4700455,247.2721,114.19,31.28,70.5,120.24,168.98,46.27743,66.2118,1
2018/5/17,30.3,25.890004,37.07872989,39.07998709,273.88,34.56,45.41004831,111.4299487,45.37005224,59.78001185,74.88996738,49.84998549,33.00996328,154.4299749,140.5100143,247.0427,112.62,31.4,69.49,119.98,168.33,46.31102,66.315,1
2018/5/18,30.53,25.86999604,36.94564776,38.30007283,273.21,34.43,45.25005965,111.0499624,44.95005329,59.85998215,75.33002295,49.53990446,32.88003827,154.4699709,140.2000048,247,112.2,31.34,69.16,119.64,167.46,46.19328,66.0694,1
2018/5/21,30.91,26.44007074,37.2322862,38.39003948,275.21,34.68,45.53996316,111.7000184,45.24001662,60.17996383,76.46997068,49.74991709,33.13999068,155.5899577,141.2500402,249.94,112.96,31.47,69.69,120.6,168.4,46.67202,66.4771,1
2018/5/22,30.72,26.42006277,37.26299746,39.37001517,274.47,34.64,45.5099906,111.4900312,45.41997304,59.67994851,75.53002082,49.65992607,33.09995862,154.4199509,140.7300437,248.18,112.57,31.51,69.36,120.32,168.18,46.67053,66.4132,1
2018/5/23,30.14,26.12004484,36.76138019,38.6400146,275.25,34.33,45.08004638,111.5700072,45.21998792,59.54000048,75.46004165,49.83990811,32.52998813,154.5699106,141.1000064,248.63,112.28,31.26,69.3,120.68,169.6,45.81317,65.7157,1
2018/5/24,30.01,26.03005977,36.54640135,38.14006435,274.75,34.19,44.92998106,111.4499427,45.0600602,59.32992773,75.83001764,49.80000168,32.27003572,154.7399185,140.870035,247.91,111.88,31.13,69.015,120.34,169.55,45.87799,65.5192,1
2018/5/25,29.84,26.0700757,36.20857748,37.2500553,273.98,34,44.67997346,111.0899503,45.17006712,59.00994606,75.68995888,49.87991531,32.20000522,154.5699106,140.5999944,247.37,112.09,30.99,69.18,120.01,169.72,45.48373,65.1164,1
2018/5/28,29.84,26.0700757,36.20857748,37.2500553,273.98,34,44.67997346,111.0899503,45.17006712,59.00994606,75.68995888,49.87991531,32.20000522,154.5699106,140.5999944,247.37,112.09,30.99,69.18,120.01,169.72,45.3938,65.1164,1
2018/5/29,29.34,25.79006573,35.60458933,35.33005521,270.93,33.34,43.77998659,109.779992,44.17004086,57.99002329,74.48003198,49.76997108,31.18998925,154.149903,139.2100231,243.45,110.27,30.29,67.97,118.61,168.97,44.13459,63.741,1
2018/5/30,29.29,25.86999604,36.16762913,35.68006105,274.55,33.78,44.4100179,111.0999976,44.56004707,58.6699718,75.53002082,50.46994601,31.91998559,156.349981,141.0100264,246.7,110.7,30.61,68.27,120.12,170.18,44.91806,64.7627,1
2018/5/31,29.6,25.99004384,36.03454699,35.61998163,272.73,33.61,44.17003491,109.91995,44.61006852,58.180003,74.43997216,49.65992607,31.63996595,154.9899182,140.0400291,244.18,111.33,30.48,68.83,119.55,170.07,44.76412,64.4778,1
2018/6/1,29.56,25.99999704,36.27,35.81008065,275.53,33.86,44.50003684,110.7000172,45.109981,59.07002425,75.26004377,49.65992607,31.81002541,156.1199291,141.499996,246.36,113.46,30.79,69.87,120.81,172.74,45.15522,64.9003,1
2018/6/4,29.76,26.12999804,36.24952583,36.42002402,276.81,33.99,44.70002267,110.9699864,45.5800014,59.4099985,75.15000478,50.06997473,31.99001609,156.8499805,142.1599838,248.2,115.08,30.84,71.06,121.42,174.3,45.33584,65.1557,1
2018/6/5,30.04,26.2700538,36.22905165,34.9699853,277.06,33.94,44.6500009,111.2100148,45.18003115,59.85998215,75.23996366,49.83990811,32.0000497,157.5599837,142.3699708,248.15,115.45,30.74,71.24,121.48,174.84,45.1789,65.0771,1
2018/6/6,30.21,26.52000104,36.57711262,34.47999746,279.44,34.23,45.03002461,111.9499935,45.83000796,60.9700222,75.86997705,49.8999693,32.48002485,158.8599022,143.6299931,251.52,116.82,30.97,72.14,122.61,175.86,45.77131,65.6666,1
2018/6/7,29.87,26.36003887,36.38260796,32.71004343,279.26,34.06,44.7699924,112.0400167,45.13000971,60.65998658,76.18995357,50.20994956,32.09004504,158.4599427,143.4200061,252.53,115.69,30.62,71.31,122.56,174.43,45.4667,65.2539,1
2018/6/8,29.59,26.23003787,36.4337934,34.14005568,280.04,34.11,44.84998673,112.5799551,45.10001697,60.82997371,76.43995092,50.82991008,32.20000522,159.0299101,143.9099757,253.27,115.43,30.76,71.09,122.81,174.44,45.43789,65.3915,1
2018/6/11,29.65,26.25999904,36.62829805,33.80001225,280.51,34.32,45.1399915,112.7000195,45.0400315,60.91999053,76.58994932,51.24993535,32.45995763,159.3699258,144.1199627,65.8434,115.43,30.76,71.09,122.81,174.44,45.43789,65.8434,1
2018/6/12,29.84,26.10003687,36.37237087,34.1599805,280.89,34.11,44.86001134,112.9300007,45.01003876,60.99996084,76.51003049,51.34990298,32.31999901,159.9899131,144.4200302,65.3915,115.43,30.76,71.09,122.81,174.44,45.43789,65.3915,1
2018/6/13,29.5,25.86004284,36.33142252,33.80001225,279.92,34.14,44.88006055,112.2999387,44.68001802,60.3400049,75.89999681,51.18997493,32.4500264,159.0899541,143.8800493,65.4602,115.43,30.76,71.09,122.81,174.44,45.43789,65.4602,1
2018/6/14,29.41,25.7500498,36.44403048,32.68005455,280.71,34.05,44.7699924,112.5599611,44.43997548,60.43002173,75.61004005,51.27996595,32.58998503,159.6399736,144.2899809,65.3129,115.43,30.76,71.09,122.81,174.44,45.43789,65.3129,1
2018/6/15,29.06,25.6900259,35.96288738,33.0400228,280.31,33.83,44.46003968,112.4900323,44.20003359,60.00786694,75.42088544,51.93882516,32.42995918,159.4599417,144.1499896,64.9395,115.43,30.76,71.09,122.81,174.44,45.43789,64.94,1
2018/6/18,28.72,25.51005577,35.77861981,32.57006143,279.7,33.6,44.1499857,112.6299903,43.69005643,59.85716913,75.10964376,51.18302154,31.93995042,160.069905,143.9900138,64.4385,115.43,30.76,71.09,122.81,174.44,45.43789,64.43899614,1
2018/6/19,27.72,25.09628696,35.54316681,33.2622455,278.67,33.28,43.6700197,112.2500039,43.1900433,58.76209839,73.52331524,51.45511084,31.53420351,159.7999574,143.5099862,63.88,115.43,30.76,71.09,122.81,174.44,45.43789,63.88049184,1
2018/6/20,27.88,25.24863188,35.56364098,33.07926249,279.25,33.33,43.76003864,112.5700083,43.33004295,58.57121451,73.57351551,51.50549775,31.50348838,160.9099202,143.8399801,63.84,115.43,30.76,71.09,122.81,174.44,45.43789,63.84049153,1
2018/6/21,27.34,24.77128445,35.32818798,32.40832478,277.32,33.08,43.46000927,111.9699875,42.7200229,57.94833023,72.64983054,51.60627157,31.06323814,159.3399539,142.8499984,63.43,115.43,30.76,71.09,122.81,174.44,45.43789,63.43048838,1
