,ASHR,EWH,EWU,EWZ,IVV,SCHF,VEA,VOE,VWO,XLB,XLI,XLP,EWG,VB,VTI,DIA,GXC,HEZU,MCHI,OEF,QQQ,SXXPIEX,IEFA,Cash
2018/4/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16499798212539588,0.13272633043364365,0.0933058965801134,0.15753130157492662,0.16245470272516777,0.0,0.11423134820818623,0.0,0.17475243835256649
2018/4/23,0.0,0.0,0.0,0.0,0.14013093920591557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16509279504956162,0.13229423942572402,0.0938711336645886,0.1567620214344201,0.0,0.0,0.11399939606490915,0.0,0.197849475154881
2018/4/24,0.0,0.0,0.0,0.0,0.13911314182507142,0.13324699381847227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16319455370492283,0.13347766106338518,0.0936636419207552,0.1577565287896133,0.0,0.0,0.0,0.0,0.17954747887777983
2018/4/25,0.0,0.0,0.0,0.0,0.13955141162751591,0.13324329942408258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16379684123766208,0.13283671188329202,0.09392620109812447,0.15689205570733208,0.0,0.0,0.0,0.0,0.1797534790219909
2018/4/26,0.037141758968735984,0.0,0.0,0.0,0.14006971783747232,0.1331154882520319,0.0,0.0,0.09095253984144157,0.0,0.0,0.0,0.0,0.0,0.0,0.1643675202790808,0.0,0.09411650311858,0.15731151297157117,0.0,0.0,0.0,0.0,0.18292495873108625
2018/4/27,0.036954323669319576,0.0,0.0,0.0,0.1399570880760428,0.1332000916289709,0.13166701845370904,0.0,0.09127454141427867,0.0,0.0,0.0,0.0,0.0,0.0,0.1639737667904047,0.0,0.0,0.15779857601797098,0.0,0.0,0.0,0.0,0.14517459394930327
2018/4/30,0.0371698311925565,0.06723809729501085,0.0,0.0,0.13926043918470465,0.13310507806854152,0.1313315383371332,0.0,0.09091261322255252,0.0,0.0,0.0,0.0,0.0,0.0,0.1634776201555748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23750478254392587
2018/5/1,0.037084709769209884,0.06730659420268859,0.0,0.0,0.13972859891550202,0.1329414051797521,0.13139885218388228,0.0,0.09052214983189322,0.0,0.0,0.0,0.0,0.0,0.0,0.16317888087306806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23783880904400387
2018/5/2,0.03682598277738174,0.06756840152152543,0.0,0.0,0.13924038684891513,0.13325036180414354,0.13168234363116438,0.0,0.09023923095688445,0.0600448390398294,0.060157833334793666,0.059495131604201223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221495488481161
2018/5/3,0.037214696477474184,0.0673583384195146,0.06020806821211235,0.05991713176687158,0.13894140802099786,0.1335247492120932,0.13194769925544292,0.04805356636301239,0.08995959255037085,0.06031979168812613,0.06030156934484309,0.059434593457371725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05281879523176899
2018/5/4,0.03696569852761033,0.06682222171540904,0.059998770473872,0.05958563720695631,0.13989118141531862,0.1331485146606061,0.13165092421460955,0.048310666482412314,0.08985529648685656,0.06070222733866495,0.060634957777345,0.05993314514782753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05250075855251163
2018/5/7,0.037460300537745406,0.06609781404036116,0.060103791405536795,0.05868786996728405,0.14052396571832246,0.13334596745903496,0.1317401111814975,0.04835406466431433,0.0896971044910702,0.06073574172141904,0.061092580166298247,0.05961276789139825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05254792075571752
2018/5/8,0.037795465306586416,0.06695205463387094,0.05996835426207217,0.05860355077512921,0.14022944978081733,0.1330432618972087,0.13151782735130435,0.04822403433751804,0.09000278161293297,0.06050738374762977,0.06142547644524587,0.059271102698312456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05245925715137173
2018/5/9,0.037684458030628094,0.06687347854040808,0.06052579204859873,0.058776736151742795,0.14079012112630734,0.1326417720094168,0.13110785917237755,0.04821774892074278,0.08956224157292159,0.06099712723002533,0.06170231153570802,0.05898688971804213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052133463943080584
2018/5/10,0.03789949648923662,0.06698223599040908,0.06004399602643581,0.060178991657358974,0.14066016558135497,0.1322467146643016,0.13073138243887317,0.04812617125469325,0.09043494217955673,0.060827206847850104,0.06150419571864043,0.05874695697090062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051617544180388636
2018/5/11,0.03752039142686004,0.06775046618334592,0.060148331140540946,0.05887658174123569,0.14100126780647246,0.13263631940741505,0.1310354437742896,0.04799097854967068,0.09015310006388856,0.060827435075148685,0.06165730176856217,0.058767121489280816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051635261573289196
2018/5/14,0.03787885151133609,0.06800561993575707,0.060173154203199394,0.05837000933954589,0.14096462721420938,0.1326620987951601,0.1310645266301618,0.047956360801617706,0.09028819132360924,0.06097134754227795,0.061455719808882044,0.05865339282146477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05155610007277837
2018/5/15,0.03763619568036634,0.06774265178998404,0.06048110634867395,0.05809406619709555,0.14104166798767326,0.13267334261152805,0.13100117380191192,0.048200901171722065,0.08927169246801436,0.06126710069401888,0.06173471073434385,0.05889105287993273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519643376347351
2018/5/16,0.03774630455422118,0.06749542435034725,0.060380286062299705,0.058405101485844324,0.14092265635274345,0.13220544929083525,0.13067815614736475,0.04821548933145373,0.09002890580138147,0.06165084548195777,0.06161530654160764,0.058979938724152615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051676135875790875
2018/5/17,0.037298193592980707,0.06682142449205394,0.0609282488610969,0.056458853829795555,0.1413420710677969,0.13278227433853323,0.13134604440273145,0.04851537548985344,0.08911231993622848,0.06202931880424471,0.062088720721020764,0.05940558630402752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05187156815963646
2018/5/18,0.03772070191463555,0.06701742937536559,0.06093473452371167,0.0,0.14151924852638748,0.13277343252773322,0.13136872390985177,0.0485292604739008,0.0886148430842017,0.06234266868269972,0.06268519208975253,0.059255027766328794,0.056439863947173194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050798873178257875
2018/5/21,0.037883508068344764,0.06794417630730581,0.06091434300873644,0.0,0.14141040137715713,0.1326635062174544,0.13114861916009052,0.04842133112437962,0.08847024700368548,0.06217258869614085,0.06312276396284111,0.059028347422782255,0.056429246077914774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050390921573167005
2018/5/22,0.037728367287793566,0.06803291615029872,0.061090441472253905,0.0,0.14132130639948184,0.13278404129979082,0.13133286236996808,0.04843007404966004,0.08900552631017125,0.06178329760320079,0.06247558111197173,0.0590432083537255,0.05647743095929988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05049494663238387
2018/5/23,0.03722649416827578,0.06764274917823193,0.06061071054587666,0.0,0.14252865243006752,0.13234388904046082,0.1308317372820102,0.04874035043989587,0.08911742570161,0.0619888484627013,0.06277255859454413,0.059594091455122955,0.05582046854275239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050782024158450526
2018/5/24,0.037168310343191846,0.06759591177037885,0.060422698802582116,0.0,0.14266271525793137,0.13216824494949064,0.13075639027770866,0.04882238250492069,0.08904753285386914,0.06194075395149038,0.06325456599547295,0.059710850981299274,0.055527350554445375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05092229175721856
2018/5/25,0.03706715402434798,0.06790021632500458,0.06004136591373471,0.0,0.14268399032623252,0.1318228023738975,0.1304136933082732,0.0488087283104746,0.0895291498019159,0.061789045480835116,0.0,0.05998369450961093,0.05557085112370885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11438930850196409
2018/5/28,0.03706715402434798,0.06790021632500458,0.06004136591373471,0.0,0.14268399032623252,0.1318228023738975,0.1304136933082732,0.0488087283104746,0.0895291498019159,0.061789045480835116,0.0,0.05998369450961093,0.05557085112370885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11438930850196409
2018/5/29,0.0369603385503295,0.06811875816012512,0.05987292683338333,0.0,0.14308657534125827,0.13108790586096117,0.129589949099542,0.048913790830310895,0.08878241059474876,0.0,0.0,0.060696031926410536,0.05458731571106018,0.06412045733465707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11418353975721318
2018/5/30,0.0364784265422004,0.06755407156761384,0.06012920238946932,0.0,0.1433521248840085,0.13130992999738123,0.1299623446142604,0.04893989928214544,0.08854940901741645,0.0,0.0,0.06085084952415818,0.05523064241083866,0.0642972032488003,0.06220223591708753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051143660604619896
