,Dymon-AQUMON,Dymon-AQUMON (VaR-adjusted),PLMAX US Equity,MERKX US Equity,ICPHX US Equity
2012/1/2,1,1,1,1,1
2012/1/3,1.000097199,1.000217705,1,1,1
2012/1/4,1.000221304,1.000410431,0.996103896,0.998211091,0.996449704
2012/1/5,1.00130671,1.002866799,0.990909091,0.990161002,0.989349112
2012/1/6,1.00064796,1.001285441,0.98961039,0.989266547,0.98816568
2012/1/9,0.999305505,0.998453027,0.990909091,0.991055456,0.989349112
2012/1/10,1.002410145,1.006272621,0.996103896,0.995527728,0.992899408
2012/1/11,1.002033713,1.005590958,0.996103896,0.993738819,0.990532544
2012/1/12,1.000880114,1.002246114,1.002597403,0.997316637,0.99408284
2012/1/13,1.000307707,1.001064141,0.997402597,0.991055456,0.989349112
2012/1/16,1.0035676,1.007217645,0.997402597,0.991055456,0.989349112
2012/1/17,1.004832704,1.009246715,1.003896104,0.997316637,0.996449704
2012/1/18,1.004866105,1.009291447,1.012987013,1.003577818,1.002366864
2012/1/19,1.003539238,1.007134786,1.019480519,1.005366726,1.007100592
2012/1/20,1.000728714,1.002996616,1.019480519,1.006261181,1.009467456
2012/1/23,1.002560832,1.006484726,1.025974026,1.012522361,1.014201183
2012/1/24,1.001063993,1.003444545,1.024675325,1.008050089,1.01183432
2012/1/25,1.000020457,1.0019488,1.02987013,1.016100179,1.015384615
2012/1/26,0.999232489,1.000412477,1.035064935,1.017889088,1.018934911
2012/1/27,0.999784247,1.001572192,1.041558442,1.024150268,1.023668639
2012/1/30,0.999717232,1.001440253,1.035064935,1.020572451,1.018934911
2012/1/31,1.000457381,1.00308681,1.036363636,1.021466905,1.017751479
2012/2/1,1.002487042,1.008862493,1.044155844,1.026833631,1.023668639
2012/2/2,1.003117068,1.010228013,1.046753247,1.02862254,1.026035503
2012/2/3,1.003095225,1.010185563,1.053246753,1.029516995,1.029585799
2012/2/6,1.002945157,1.009960907,1.050649351,1.026833631,1.026035503
2012/2/7,1.002395024,1.008824683,1.054545455,1.031305903,1.030769231
2012/2/8,1.000382129,1.004925954,1.054545455,1.030411449,1.030769231
2012/2/9,0.999798059,1.003549101,1.053246753,1.029516995,1.030769231
2012/2/10,0.998427901,1.000876037,1.044155844,1.02236136,1.024852071
2012/2/13,0.999031225,1.002449142,1.049350649,1.026833631,1.027218935
2012/2/14,0.998887677,1.002091896,1.044155844,1.02236136,1.023668639
2012/2/15,0.999688727,1.003982574,1.041558442,1.02236136,1.022485207
2012/2/16,1.00023031,1.004653049,1.045454545,1.025044723,1.024852071
2012/2/17,1.005046974,1.018512973,1.048051948,1.024150268,1.026035503
2012/2/20,1.004389721,1.01694639,1.048051948,1.024150268,1.026035503
2012/2/21,1.003448317,1.014531213,1.050649351,1.026833631,1.026035503
2012/2/22,1.00379558,1.015581882,1.049350649,1.025939177,1.024852071
2012/2/23,1.003783129,1.015544917,1.053246753,1.031305903,1.028402367
2012/2/24,1.003979495,1.016239966,1.055844156,1.032200358,1.029585799
2012/2/27,1.001112389,1.00918946,1.054545455,1.032200358,1.028402367
2012/2/28,1.002512824,1.012622939,1.05974026,1.03667263,1.031952663
2012/2/29,1.00E+00,1.01413685,1.058441558,1.027728086,1.031952663
2012/3/1,1.004685519,1.016587282,1.061038961,1.031305903,1.034319527
2012/3/2,1.004268199,1.015899533,1.057142857,1.025044723,1.029585799
2012/3/5,1.004404009,1.016073524,1.054545455,1.020572451,1.026035503
2012/3/6,1.001753963,1.012802342,1.042857143,1.010733453,1.017751479
2012/3/7,0.999288952,1.00968176,1.048051948,1.015205725,1.021301775
2012/3/8,1.003591943,1.017197815,1.058441558,1.023255814,1.028402367
2012/3/9,1.005228358,1.020121702,1.055844156,1.016100179,1.023668639
2012/3/12,1.007547737,1.023753321,1.053246753,1.01431127,1.021301775
2012/3/13,1.008635971,1.026940267,1.053246753,1.012522361,1.021301775
2012/3/14,1.007831587,1.025392386,1.045454545,1.001788909,1.014201183
2012/3/15,1.00728655,1.024175421,1.050649351,1.008050089,1.018934911
2012/3/16,1.008868961,1.028264482,1.054545455,1.012522361,1.022485207
2012/3/19,1.008063944,1.026415349,1.055844156,1.016100179,1.026035503
2012/3/20,1.00752269,1.025251881,1.050649351,1.008050089,1.018934911
2012/3/21,1.007432229,1.025021898,1.050649351,1.007155635,1.017751479
2012/3/22,1.006102995,1.023020951,1.045454545,1.002683363,1.014201183
2012/3/23,1.005373425,1.022110638,1.050649351,1.008944544,1.017751479
2012/3/26,1.006066253,1.023053717,1.057142857,1.016994633,1.023668639
2012/3/27,1.008823759,1.029938803,1.054545455,1.013416816,1.021301775
2012/3/28,1.009185276,1.030937634,1.053246753,1.008944544,1.018934911
2012/3/29,1.009314417,1.031139297,1.050649351,1.008050089,1.017751479
