Date,P_t,P_t-5,Recovery Date,Recovery BDays
2008-10-24,876.77,940.55,2008-10-30 00:00:00,4
2008-11-06,904.88,954.09,2009-07-21 00:00:00,183
2010-01-26,1092.17,1150.23,2010-03-11 00:00:00,32
2010-05-06,1128.15,1206.78,2010-11-04 00:00:00,130
2011-03-16,1256.88,1320.03,2011-03-30 00:00:00,10
2011-08-02,1254.05,1331.94,2012-02-03 00:00:00,133
2014-10-15,1862.49,1968.89,2014-10-28 00:00:00,9
2015-08-21,1970.89,2091.54,2015-11-02 00:00:00,51
2016-01-07,1943.09,2043.94,2016-03-18 00:00:00,51
2018-02-05,2648.94,2853.53,2018-08-07 00:00:00,131
2018-10-10,2785.68,2925.51,?,?
