Date,Price,Position,PortfolioValue
2012/12/31,1,100,100
2013/1/4,1.000685949,100,100.0685949
2013/1/7,1.004915971,100,100.4915971
2013/1/8,1.000914599,100,100.0914599
2013/1/9,1.001028924,100,100.1028924
2013/1/10,1.002743798,100,100.2743798
2013/1/11,0.984223162,100,98.4223162
2013/1/14,1.020464159,100,102.0464159
2013/1/15,1.027437979,100,102.7437979
2013/1/16,1.019892535,100,101.9892535
2013/1/17,1.010746542,100,101.0746542
2013/1/18,1.027552304,100,102.7552304
2013/1/21,1.032010975,100,103.2010975
2013/1/22,1.026752029,100,102.6752029
2013/1/23,1.030982051,100,103.0982051
2013/1/24,1.021493083,100,102.1493083
2013/1/25,1.017263062,100,101.7263062
2013/1/28,1.047444838,100,104.7444838
2013/1/29,1.056476506,100,105.6476506
2013/1/30,1.061163828,100,106.1163828
2013/1/31,1.060592203,100,106.0592203
2013/2/1,1.081742312,100,108.1742312
2013/2/4,1.083228535,100,108.3228535
2013/2/5,1.092031554,100,109.2031554
2013/2/6,1.093517778,100,109.3517778
2013/2/7,1.087458557,100,108.7458557
2013/2/8,1.091917229,100,109.1917229
2013/2/18,1.078884189,100,107.8884189
2013/2/19,1.059448954,100,105.9448954
2013/2/20,1.065851149,100,106.5851149
2013/2/21,1.031210701,100,103.1210701
2013/2/22,1.02606608,100,102.606608
2013/2/25,1.029152852,100,102.9152852
2013/2/26,1.015205213,100,101.5205213
2013/2/27,1.025265805,100,102.5265805
2013/2/28,1.053618383,100,105.3618383
2013/3/1,1.05167486,100,105.167486
2013/3/4,1.005373271,100,100.5373271
2013/3/5,1.034068824,100,103.4068824
2013/3/6,1.044358066,100,104.4358066
2013/3/7,1.032696925,100,103.2696925
2013/3/8,1.028238253,100,102.8238253
2013/3/11,1.022522008,100,102.2522008
2013/3/12,1.008688693,100,100.8688693
2013/3/13,0.998056477,100,99.8056477
2013/3/14,1.000571625,100,100.0571625
2013/3/15,1.002629473,100,100.2629473
2013/3/18,0.988567509,100,98.8567509
2013/3/19,0.997141877,100,99.7141877
2013/3/20,1.029038527,100,102.9038527
2013/3/21,1.030982051,100,103.0982051
2013/3/22,1.032239625,100,103.2239625
2013/3/25,1.030296102,100,103.0296102
2013/3/26,1.016005488,100,101.6005488
2013/3/27,1.019206585,100,101.9206585
2013/3/28,0.987767234,100,98.7767234
2013/3/29,0.986281011,100,98.6281011
2013/4/1,0.985366411,100,98.5366411
2013/4/2,0.982965588,100,98.2965588
2013/4/3,0.981936664,100,98.1936664
2013/4/8,0.977706642,100,97.7706642
2013/4/9,0.984108837,100,98.4108837
2013/4/10,0.982508289,100,98.2508289
2013/4/11,0.979764491,100,97.9764491
2013/4/12,0.97393392,100,97.393392
2013/4/15,0.964444953,100,96.4444953
2013/4/16,0.972790671,100,97.2790671
2013/4/17,0.972104722,100,97.2104722
2013/4/18,0.974505545,100,97.4505545
2013/4/19,1.000571625,100,100.0571625
2013/4/22,0.999428375,100,99.9428375
2013/4/23,0.968674974,100,96.8674974
2013/4/24,0.986052361,100,98.6052361
2013/4/25,0.975763119,100,97.5763119
2013/4/26,0.967989025,100,96.7989025
2013/5/2,0.968674974,100,96.8674974
2013/5/3,0.985366411,100,98.5366411
2013/5/6,0.997713502,100,99.7713502
2013/5/7,0.999199726,100,99.9199726
2013/5/8,1.004115697,100,100.4115697
2013/5/9,0.998285126,100,99.8285126
2013/5/10,1.003086773,100,100.3086773
2013/5/13,0.999199726,100,99.9199726
2013/5/14,0.985137762,100,98.5137762
2013/5/15,0.990282383,100,99.0282383
2013/5/16,1.007888419,100,100.7888419
2013/5/17,1.022750657,100,102.2750657
2013/5/20,1.029610152,100,102.9610152
2013/5/21,1.031553676,100,103.1553676
2013/5/22,1.032925574,100,103.2925574
2013/5/23,1.01977821,100,101.977821
2013/5/24,1.025494455,100,102.5494455
2013/5/27,1.026409055,100,102.6409055
2013/5/28,1.043443466,100,104.3443466
2013/5/29,1.042643192,100,104.2643192
2013/5/30,1.039442094,100,103.9442094
2013/5/31,1.029152852,100,102.9152852
2013/6/3,1.028924203,100,102.8924203
2013/6/4,1.014976563,100,101.4976563
2013/6/5,1.013376015,100,101.3376015
2013/6/6,1.001600549,100,100.1600549
2013/6/7,0.985938036,100,98.5938036
2013/6/13,0.955527609,100,95.5527609
2013/6/14,0.961929805,100,96.1929805
2013/6/17,0.957356808,100,95.7356808
2013/6/18,0.963301703,100,96.3301703
2013/6/19,0.956785183,100,95.6785183
2013/6/20,0.926603407,100,92.6603407
2013/6/21,0.925345833,100,92.5345833
2013/6/24,0.869326626,100,86.9326626
2013/6/25,0.867154453,100,86.7154453
2013/6/26,0.869555276,100,86.9555276
2013/6/27,0.867154453,100,86.7154453
2013/6/28,0.882473991,100,88.2473991
2013/7/1,0.888190237,100,88.8190237
2013/7/2,0.892077284,100,89.2077284
2013/7/3,0.885903738,100,88.5903738
2013/7/4,0.893106208,100,89.3106208
2013/7/5,0.895049731,100,89.5049731
2013/7/8,0.871613124,100,87.1613124
2013/7/9,0.87127015,100,87.127015
2013/7/10,0.894592432,100,89.4592432
2013/7/11,0.935177775,100,93.5177775
2013/7/12,0.91551389,100,91.551389
2013/7/15,0.927975306,100,92.7975306
2013/7/16,0.931976678,100,93.1976678
2013/7/17,0.918829313,100,91.8829313
2013/7/18,0.904767349,100,90.4767349
2013/7/19,0.883731565,100,88.3731565
2013/7/22,0.889104836,100,88.9104836
