Date,Price,Position,PortfolioValue
2012/12/31,1,100,100
2013/1/4,0.995410218,100,99.5410218
2013/1/7,1.000501587,100,100.0501587
2013/1/8,1.00308989,100,100.308989
2013/1/9,1.006063035,100,100.6063035
2013/1/10,1.007362697,100,100.7362697
2013/1/11,0.996009811,100,99.6009811
2013/1/14,1.022121013,100,102.2121013
2013/1/15,1.028188033,100,102.8188033
2013/1/16,1.025339647,100,102.5339647
2013/1/17,1.020613507,100,102.0613507
2013/1/18,1.034553772,100,103.4553772
2013/1/21,1.035816911,100,103.5816911
2013/1/22,1.028676729,100,102.8676729
2013/1/23,1.031540987,100,103.1540987
2013/1/24,1.023308134,100,102.3308134
2013/1/25,1.024481467,100,102.4481467
2013/1/28,1.044255262,100,104.4255262
2013/1/29,1.048916595,100,104.8916595
2013/1/30,1.049650274,100,104.9650274
2013/1/31,1.046862374,100,104.6862374
2013/2/1,1.060039726,100,106.0039726
2013/2/4,1.055715006,100,105.5715006
2013/2/5,1.064934095,100,106.4934095
2013/2/6,1.068579675,100,106.8579675
2013/2/7,1.069774379,100,106.9774379
2013/2/8,1.07939333,100,107.939333
2013/2/18,1.072335255,100,107.2335255
2013/2/19,1.05760372,100,105.760372
2013/2/20,1.071020759,100,107.1020759
2013/2/21,1.051432869,100,105.1432869
2013/2/22,1.047489918,100,104.7489918
2013/2/25,1.051896058,100,105.1896058
2013/2/26,1.04201139,100,104.201139
2013/2/27,1.043326955,100,104.3326955
2013/2/28,1.062695452,100,106.2695452
2013/3/1,1.067576166,100,106.7576166
2013/3/4,1.039634246,100,103.9634246
2013/3/5,1.062513205,100,106.2513205
2013/3/6,1.070756801,100,107.0756801
2013/3/7,1.058247122,100,105.8247122
2013/3/8,1.052440106,100,105.2440106
2013/3/11,1.051097791,100,105.1097791
2013/3/12,1.038880482,100,103.8880482
2013/3/13,1.031481005,100,103.1481005
2013/3/14,1.038217736,100,103.8217736
2013/3/15,1.041944453,100,104.1944453
2013/3/18,1.03404245,100,103.404245
2013/3/19,1.036475513,100,103.6475513
2013/3/20,1.059072956,100,105.9072956
2013/3/21,1.06446011,100,106.446011
2013/3/22,1.066961235,100,106.6961235
2013/3/25,1.064563123,100,106.4563123
2013/3/26,1.058602752,100,105.8602752
2013/3/27,1.063300203,100,106.3300203
