Date,Portfolio-80,202015.OF,110023.OF
2012/12/31,1,1,1
2013/1/4,0.995410218,1.000685949,0.981191223
2013/1/7,1.000501587,1.004915971,0.993730408
2013/1/8,1.00308989,1.000914599,1.017763845
2013/1/9,1.006063035,1.001028924,1.026123302
2013/1/10,1.007362697,1.002743798,1.031347962
2013/1/11,0.996009811,0.984223162,1.027168234
2013/1/14,1.022121013,1.020464159,1.054336468
2013/1/15,1.028188033,1.027437979,1.064785789
2013/1/16,1.025339647,1.019892535,1.078369906
2013/1/17,1.020613507,1.010746542,1.08045977
2013/1/18,1.034553772,1.027552304,1.098223615
2013/1/21,1.035816911,1.032010975,1.101358412
2013/1/22,1.028676729,1.026752029,1.084639498
2013/1/23,1.031540987,1.030982051,1.086729363
2013/1/24,1.023308134,1.021493083,1.078369906
2013/1/25,1.024481467,1.017263062,1.103448276
2013/1/28,1.044255262,1.047444838,1.124346917
2013/1/29,1.048916595,1.056476506,1.121212121
2013/1/30,1.049650274,1.061163828,1.111807732
2013/1/31,1.046862374,1.060592203,1.102403344
2013/2/1,1.060039726,1.081742312,1.102403344
2013/2/4,1.055715006,1.083228535,1.078369906
2013/2/5,1.064934095,1.092031554,1.096133751
2013/2/6,1.068579675,1.093517778,1.1107628
2013/2/7,1.069774379,1.087458557,1.12539185
2013/2/8,1.07939333,1.091917229,1.150470219
2013/2/18,1.072335255,1.078884189,1.148380355
2013/2/19,1.05760372,1.059448954,1.136886102
2013/2/20,1.071020759,1.065851149,1.18599791
2013/2/21,1.051432869,1.031210701,1.168234065
2013/2/22,1.047489918,1.02606608,1.158829676
2013/2/25,1.051896058,1.029152852,1.167189133
2013/2/26,1.04201139,1.015205213,1.16091954
2013/2/27,1.043326955,1.025265805,1.143155695
2013/2/28,1.062695452,1.053618383,1.15569488
2013/3/1,1.067576166,1.05167486,1.181818182
2013/3/4,1.039634246,1.005373271,1.174503657
2013/3/5,1.062513205,1.034068824,1.21107628
2013/3/6,1.070756801,1.044358066,1.223615465
2013/3/7,1.058247122,1.032696925,1.189132706
2013/3/8,1.052440106,1.028238253,1.171368861
2013/3/11,1.051097791,1.022522008,1.183908046
2013/3/12,1.038880482,1.008688693,1.156739812
2013/3/13,1.031481005,0.998056477,1.154649948
2013/3/14,1.038217736,1.000571625,1.182863114
2013/3/15,1.041944453,1.002629473,1.196447231
2013/3/18,1.03404245,0.988567509,1.193312435
2013/3/19,1.036475513,0.997141877,1.182863114
2013/3/20,1.059072956,1.029038527,1.202716823
2013/3/21,1.06446011,1.030982051,1.21630094
2013/3/22,1.066961235,1.032239625,1.226750261
2013/3/25,1.064563123,1.030296102,1.221525601
2013/3/26,1.058602752,1.016005488,1.222570533
2013/3/27,1.063300203,1.019206585,1.250783699
