,VIX Index,95 Percentile,5 Percentile
2015/1/2,17.85,18.28833333,13.33333333
2015/1/5,19.11,18.33,13.33333333
2015/1/6,19.85,18.34666667,13.33333333
2015/1/7,18.83,18.39421053,13.33333333
2015/1/8,17.7,18.39421053,13.33333333
2015/1/9,18.65,18.42994152,13.33333333
2015/1/12,19.6,18.46055556,13.33333333
2015/1/13,20.2,18.50666667,13.33333333
2015/1/14,20.6,18.63,13.33333333
2015/1/15,21.5,18.72324561,13.33333333
2015/1/16,20.65,18.77075188,13.33333333
2015/1/20,20.15,18.83126984,13.33333333
2015/1/21,18.85,18.92888889,13.33333333
2015/1/22,17.85,18.92888889,13.33333333
2015/1/23,18.35,18.92888889,13.33333333
2015/1/26,17.23,18.92888889,13.33333333
2015/1/27,17.85,18.92888889,13.33333333
2015/1/28,20.5,18.96333333,13.33333333
2015/1/29,19.1,19.00666667,13.33333333
2015/1/30,21.05,19.01888889,13.33333333
2015/2/2,20,19.02166667,13.33333333
2015/2/3,18.85,19.02166667,13.33333333
2015/2/4,19.8,19.02444444,13.33333333
2015/2/5,18.7,19.02444444,13.33333333
2015/2/6,19.15,19.03166667,13.33333333
2015/2/9,19.65,19.11777778,13.33333333
2015/2/10,18.55,19.11777778,13.33333333
2015/2/11,18.4,19.11777778,13.33333333
2015/2/12,16.9,19.11777778,13.33333333
2015/2/13,16.45,19.11777778,13.33333333
2015/2/17,16.2,19.11777778,13.33333333
2015/2/18,17.9,19.11777778,13.33333333
2015/2/19,17.6,19.11777778,13.33333333
2015/2/20,16.9,19.11777778,13.33333333
2015/2/23,17.05,19.11777778,13.33333333
2015/2/24,16.1,19.11777778,13.33333333
2015/2/25,16.4,19.11777778,13.33333333
2015/2/26,16,19.11777778,13.33333333
2015/2/27,15.85,19.11777778,13.33333333
2015/3/2,15.3,19.11777778,13.33333333
2015/3/3,15.79,19.11777778,13.33333333
2015/3/4,15.75,19.11777778,13.33333333
2015/3/5,15.35,19.11777778,13.33333333
2015/3/6,16.2,19.11777778,13.33333333
2015/3/9,15.8,19.11777778,13.33333333
2015/3/10,16.95,19.11777778,13.33333333
2015/3/11,17.25,19.11777778,13.33333333
2015/3/12,15.85,19.11777778,13.33333333
2015/3/13,16.4,19.11777778,13.33333333
2015/3/16,16.15,19.11777778,13.33333333
2015/3/17,15.6,19.11777778,13.33333333
2015/3/18,16.5,19.11777778,13.33333333
2015/3/19,16.55,19.11777778,13.33333333
2015/3/20,16.15,19.11777778,13.33333333
2015/3/23,16.1,19.11777778,13.33333333
2015/3/24,15.85,19.11777778,13.33333333
2015/3/25,16.6,19.11777778,13.33333333
2015/3/26,16.5,19.11777778,13.33333333
2015/3/27,16.25,19.11777778,13.33333333
2015/3/30,15.8,19.11777778,13.33333333
2015/3/31,16.3,19.11777778,13.33333333
2015/4/1,16.05,19.11777778,13.33333333
2015/4/2,15.65,19.11777778,13.33333333
2015/4/3,15.625,19.11777778,13.33333333
2015/4/6,15.3,19.11777778,13.33333333
2015/4/7,15.25,19.11777778,13.33333333
2015/4/8,14.8,19.11777778,13.33333333
2015/4/9,14.1,19.11777778,13.33333333
2015/4/10,13.4,19.11777778,13.33333333
2015/4/13,14.35,19.11777778,13.33333333
2015/4/14,13.55,19.11777778,13.33333333
2015/4/15,15.3,19.11777778,13.33333333
2015/4/16,15.15,19.11777778,13.33333333
2015/4/17,15.65,19.11777778,13.33333333
2015/4/20,15.15,19.11777778,13.33333333
2015/4/21,15.1,19.11777778,13.33333333
2015/4/22,14.94,19.11777778,13.33333333
2015/4/23,14.75,19.11777778,13.33333333
2015/4/24,14.65,19.11777778,13.33333333
2015/4/27,15.15,19.11777778,13.33333333
2015/4/28,14.5,19.11777778,13.33333333
2015/4/29,15.05,19.11777778,13.33333333
2015/4/30,15.5,19.11777778,13.33333333
2015/5/1,14.45,19.11777778,13.33333333
2015/5/4,14.45,19.11777778,13.33333333
2015/5/5,15.25,19.11777778,13.33333333
2015/5/6,15.7,19.11777778,13.33333333
2015/5/7,15.4,19.11777778,13.33333333
2015/5/8,14.4,19.11777778,13.33333333
2015/5/11,14.9,19.11777778,13.33333333
2015/5/12,14.65,19.11777778,13.33333333
2015/5/13,14.35,19.11777778,13.33333333
2015/5/14,13.73,19.11777778,13.33333333
2015/5/15,13.65,19.11777778,13.33333333
2015/5/18,13.25,19.11777778,13.33333333
2015/5/19,13.15,19.11777778,13.33333333
2015/5/20,14.9,19.11777778,13.33333333
2015/5/21,14.35,19.11777778,13.33333333
2015/5/22,14.45,19.11777778,13.33333333
2015/5/26,14.95,19.11777778,13.33333333
2015/5/27,14.55,19.11777778,13.33333333
2015/5/28,14.5,19.11777778,13.33333333
2015/5/29,14.65,19.11777778,13.33333333
2015/6/1,14.6,19.11777778,13.33333333
2015/6/2,14.9,19.11777778,13.33333333
2015/6/3,14.4,19.11777778,13.33333333
2015/6/4,14.95,19.11777778,13.33333333
2015/6/5,14.75,19.11777778,13.33333333
2015/6/8,15.2,19.11777778,13.33333333
2015/6/9,14.85,19.11777778,13.33333333
2015/6/10,13.9,19.11777778,13.33333333
2015/6/11,13.53,19.11777778,13.33333333
2015/6/12,14.15,19.11777778,13.33333333
2015/6/15,15.5,19.11777778,13.33333333
2015/6/16,14.9,19.11777778,13.33333333
2015/6/17,15.65,19.11777778,13.33333333
2015/6/18,14.99,19.11777778,13.33333333
2015/6/19,15.45,19.11777778,13.33333333
2015/6/22,14.55,19.03166667,13.33333333
2015/6/23,14.1,19.03166667,13.33333333
2015/6/24,14.58,19.02388889,13.33333333
2015/6/25,14.65,19.01888889,13.33333333
2015/6/26,14.55,19.01361111,13.33333333
2015/6/29,17.4,19.01361111,13.33333333
2015/6/30,17.33,19.01361111,13.33333333
2015/7/1,15.92,19.01361111,13.33333333
2015/7/2,16.9,19.01361111,13.33333333
2015/7/6,17.25,19.01361111,13.33333333
2015/7/7,16.35,19.01361111,13.33333333
2015/7/8,18.45,19.01361111,13.33333333
2015/7/9,18.84,19.01361111,13.33333333
2015/7/10,16.75,19.01361111,13.33333333
2015/7/13,14.47,19.01361111,13.33333333
2015/7/14,14.09,19.01361111,13.33333333
2015/7/15,13.96,19.01361111,13.33333333
2015/7/16,12.93,19.01361111,13.33333333
2015/7/17,12.9,19.01361111,13.33333333
2015/7/20,12.53,19.01361111,13.33333333
2015/7/21,12.4,19.01361111,13.33333333
2015/7/22,14.2,19.01361111,13.33333333
2015/7/23,14.25,19.01361111,13.33333333
2015/7/24,14.95,19.01361111,13.33333333
2015/7/27,15.78,19.01361111,13.33333333
2015/7/28,14.4,19.01361111,13.33333333
2015/7/29,14.05,19.01361111,13.33333333
2015/7/30,13.95,19.01361111,13.33333333
2015/7/31,14,19.01361111,13.33333333
2015/8/3,13.9,19.01361111,13.33333333
2015/8/4,14.15,19.01361111,13.33333333
2015/8/5,13.95,19.01361111,13.33333333
2015/8/6,14.5,19.01361111,13.33333333
2015/8/7,14.25,19.01361111,13.33333333
2015/8/10,13.59,19.01361111,13.33333333
2015/8/11,14.5,19.01361111,13.33333333
2015/8/12,14.3,19.01361111,13.33333333
2015/8/13,14.15,19.01361111,13.33333333
2015/8/14,14.29,19.01361111,13.33333333
2015/8/17,13.85,19.01361111,13.33333333
2015/8/18,14.3,19.01361111,13.33333333
2015/8/19,15.7,19.01361111,13.33333333
2015/8/20,17.3,19.01361111,13.33333333
2015/8/21,19.9,19.02388889,13.33333333
2015/8/24,25.15,19.03166667,13.33333333
2015/8/25,25.35,19.11777778,13.33333333
2015/8/26,23.7,19.15634921,13.33333333
2015/8/27,24.2,19.18793233,13.33333333
2015/8/28,24.4,19.21894737,13.33333333
2015/8/31,26.45,19.36833333,13.33333333
2015/9/1,29.7,19.42654762,13.33333333
2015/9/2,25.95,19.70261905,13.33333333
2015/9/3,25.65,19.79404762,13.33333333
2015/9/4,27.95,19.82,13.33333333
2015/9/8,24.6,19.82833333,13.33333333
2015/9/9,25.85,19.83154762,13.33333333
2015/9/10,24.65,19.83753968,13.33333333
2015/9/11,23.75,19.97444444,13.33333333
2015/9/14,23.7,20.03166667,13.33333333
2015/9/15,22.45,20.0725,13.33333333
2015/9/16,19,20.0725,13.33333333
2015/9/17,20.4,20.11815476,13.33333333
2015/9/18,21.5,20.16357143,13.33333333
2015/9/21,19.68,20.16357143,13.33333333
2015/9/22,21.75,20.24785714,13.33333333
2015/9/23,21.1,20.37111111,13.33333333
2015/9/24,21.9,20.41944444,13.33333333
2015/9/25,22.35,20.52055556,13.33333333
2015/9/28,24.05,20.72222222,13.33333333
2015/9/29,23.85,20.85333333,13.33333333
2015/9/30,23.02,21.015,13.33333333
2015/10/1,22.2,21.21666667,13.33333333
2015/10/2,21.05,21.21666667,13.33333333
2015/10/5,19.9,21.21666667,13.33333333
2015/10/6,20.3,21.21666667,13.33333333
2015/10/7,19.45,21.21666667,13.33333333
2015/10/8,18.45,21.21666667,13.33333333
2015/10/9,18.15,21.21666667,13.33333333
2015/10/12,16.7,21.21666667,13.33333333
2015/10/13,18.28,21.21666667,13.33333333
2015/10/14,18.32,21.21666667,13.33333333
2015/10/15,16.55,21.21666667,13.33333333
2015/10/16,16.1,21.21666667,13.33333333
2015/10/19,15.25,21.21666667,13.33333333
2015/10/20,16.1,21.21666667,13.33333333
2015/10/21,18.2,21.21666667,13.33333333
2015/10/22,16.05,21.21666667,13.33333333
2015/10/23,16.65,21.21666667,13.33333333
2015/10/26,16.9,21.21666667,13.33333333
2015/10/27,16.5,21.21666667,13.33333333
2015/10/28,16,21.21666667,13.33333333
2015/10/29,16.17,21.21666667,13.33333333
2015/10/30,16.65,21.21666667,13.33333333
2015/11/2,15.9,21.21666667,13.33333333
2015/11/3,16.13,21.21666667,13.33333333
2015/11/4,16.75,21.21666667,13.33333333
2015/11/5,16.05,21.21666667,13.33333333
2015/11/6,15.7,21.21666667,13.33333333
2015/11/9,17.04,21.21666667,13.33333333
2015/11/10,16.25,21.21666667,13.33333333
2015/11/11,16.8,21.21666667,13.33333333
2015/11/12,18.58,21.21666667,13.33333333
2015/11/13,20.34,21.21666667,13.33333333
2015/11/16,18.1,21.21666667,13.33333333
2015/11/17,18.95,21.21666667,13.33333333
2015/11/18,17.8,21.21666667,13.33333333
2015/11/19,18.15,21.21666667,13.33333333
2015/11/20,17.4,21.21666667,13.33333333
2015/11/23,17,21.21666667,13.33333333
2015/11/24,17.45,21.21666667,13.33333333
2015/11/25,16.8,21.21666667,13.33333333
2015/11/27,17.2,21.21666667,13.33333333
2015/11/30,17,21.21666667,13.33333333
2015/12/1,16.15,21.21666667,13.33333333
2015/12/2,16.8,21.21666667,13.33333333
2015/12/3,18.35,21.21666667,13.33333333
2015/12/4,16.25,21.21666667,13.33333333
2015/12/7,16.5,21.21666667,13.33333333
2015/12/8,17.8,21.21666667,13.33333333
2015/12/9,18.99,21.21666667,13.33333333
2015/12/10,19.35,21.21666667,13.33333333
2015/12/11,23.7,21.375,13.33333333
2015/12/14,22.45,21.375,13.33333333
2015/12/15,20.64,21.375,13.33333333
2015/12/16,18.1,21.375,13.33333333
2015/12/17,19.3,21.375,13.33333333
2015/12/18,20.4,21.375,13.33333333
2015/12/21,18.81,21.375,13.33333333
2015/12/22,17.85,21.375,13.33333333
2015/12/23,17.9,21.375,13.33333333
2015/12/24,18.25,21.375,13.33333333
2015/12/28,17.8,21.375,13.33333333
2015/12/29,17.5,21.375,13.33333333
2015/12/30,18.3,21.375,13.33333333
2015/12/31,18.5,21.375,13.33333333
2016/1/4,19.8,21.375,13.33333333
2016/1/5,19.45,21.375,13.33333333
2016/1/6,20.34,21.375,13.33333333
2016/1/7,23.54,21.4825,13.33333333
2016/1/8,25.25,21.65541667,13.33333333
2016/1/11,23.45,21.72208333,13.33333333
2016/1/12,22.05,21.72208333,13.33333333
2016/1/13,24.75,21.85916667,13.33333333
2016/1/14,23.55,22.10833333,13.33333333
2016/1/15,26.5,22.2025,13.33333333
2016/1/19,25.85,22.36535714,13.33333333
2016/1/20,24.7,22.43404762,13.33333333
2016/1/21,25.1,22.45690476,13.33333333
2016/1/22,22.7,22.48047619,13.33333333
2016/1/25,24,22.64708333,13.33333333
2016/1/26,22.95,22.69305556,13.33333333
2016/1/27,23.75,22.78555556,13.33333333
2016/1/28,23.25,22.93722222,13.33333333
2016/1/29,21.65,22.93722222,13.33333333
2016/2/1,21.55,22.93722222,13.33333333
2016/2/2,23.15,22.94388889,13.33333333
2016/2/3,22.75,22.94388889,13.33333333
2016/2/4,23.05,22.94388889,13.33333333
2016/2/5,24.12,23.03611111,13.33333333
2016/2/8,25.4,23.06722222,13.33333333
2016/2/9,26.1,23.19416667,13.33333333
2016/2/10,26.28,23.38880952,13.33333333
2016/2/11,28.15,23.44261905,13.33333333
2016/2/12,26.85,23.46361111,13.33333333
2016/2/16,24.72,23.47361111,13.33333333
2016/2/17,22.92,23.47361111,13.33333333
2016/2/18,22.8,23.47361111,13.33333333
2016/2/19,22.37,23.47361111,13.33333333
2016/2/22,21,23.47361111,13.33333333
2016/2/23,22.15,23.47361111,13.33333333
2016/2/24,21.75,23.47361111,13.33333333
2016/2/25,20.82,23.47361111,13.33333333
2016/2/26,21.5,23.47361111,13.33333333
2016/2/29,21.78,23.47361111,13.33333333
2016/3/1,19.4,23.47361111,13.33333333
2016/3/2,19.3,23.47361111,13.33333333
2016/3/3,18.35,23.47361111,13.33333333
2016/3/4,18.95,23.47361111,13.33333333
2016/3/7,18.6,23.47361111,13.33333333
2016/3/8,19.65,23.47361111,13.33333333
2016/3/9,19.1,23.47361111,13.33333333
2016/3/10,18.95,23.47361111,13.33333333
2016/3/11,17.65,23.47361111,13.33333333
2016/3/14,17.45,23.47361111,13.33333333
2016/3/15,16.9,23.47361111,13.33333333
2016/3/16,18.25,23.47361111,13.33333333
2016/3/17,17.78,23.47361111,13.33333333
2016/3/18,17.75,23.47361111,13.33333333
2016/3/21,17,23.47361111,13.33333333
2016/3/22,16.85,23.47361111,13.33333333
2016/3/23,17.75,23.47361111,13.33333333
2016/3/24,17.4,23.47361111,13.33333333
2016/3/28,17.14,23.47361111,13.33333333
2016/3/29,16.05,23.47361111,13.33333333
2016/3/30,15.85,23.47361111,13.33333333
2016/3/31,15.92,23.47361111,13.33333333
2016/4/1,15.42,23.47361111,13.33333333
2016/4/4,15.95,23.47361111,13.33333333
