,AQUMON-BOCHKAM,Benchmark
2018/12/31,1,1
2019/1/1,0.999497791,1.000021946
2019/1/2,0.999401436,0.999673403
2019/1/3,0.991677004,0.993475146
2019/1/4,1.010291295,1.005937769
2019/1/7,1.014314869,1.010313644
2019/1/8,1.019312992,1.013579117
2019/1/9,1.025074684,1.018795717
2019/1/10,1.027313387,1.021034472
2019/1/11,1.02660639,1.021401085
2019/1/14,1.0231149,1.019169975
2019/1/15,1.029217731,1.023724184
2019/1/16,1.032010067,1.02480992
2019/1/17,1.035412824,1.02726971
2019/1/18,1.041806815,1.033624646
2019/1/21,1.041806815,1.033668862
2019/1/22,1.033291431,1.028932255
2019/1/23,1.035324258,1.029624037
2019/1/24,1.038183968,1.032263984
2019/1/25,1.044554416,1.037754762
2019/1/28,1.04043985,1.034330285
2019/1/29,1.041259071,1.034624864
2019/1/30,1.050382984,1.040611352
2019/1/31,1.055226256,1.047708561
2019/2/1,1.05492212,1.047997373
2019/2/4,1.05745621,1.049096835
2019/2/5,1.062099479,1.05260875
2019/2/6,1.058939357,1.051799121
2019/2/7,1.053173686,1.047263057
2019/2/8,1.052588159,1.045595732
2019/2/11,1.053639437,1.045715057
2019/2/12,1.061096763,1.051383469
2019/2/13,1.06268044,1.053550774
2019/2/14,1.062892827,1.052775772
2019/2/15,1.068710089,1.056723664
2019/2/18,1.068710089,1.058596904
2019/2/19,1.072583836,1.059921079
2019/2/20,1.0745944,1.062779914
2019/2/21,1.071661313,1.061026209
2019/2/22,1.077909052,1.063930488
2019/2/25,1.083318009,1.066020715
2019/2/26,1.082536957,1.06614015
2019/2/27,1.081160868,1.065653222
2019/2/28,1.07848531,1.063403613
2019/3/1,1.082563866,1.065427288
2019/3/4,1.081176939,1.064612562
2019/3/5,1.082007985,1.064225363
2019/3/6,1.078688181,1.062923621
2019/3/7,1.072050179,1.059443455
2019/3/8,1.068780647,1.056471238
2019/3/11,1.079148746,1.062733987
2019/3/12,1.081612475,1.065937325
2019/3/13,1.084365479,1.069151796
2019/3/14,1.08183166,1.069218405
2019/3/15,1.087302813,1.073166128
2019/3/18,1.091720242,1.077061276
2019/3/19,1.091397562,1.077746784
2019/3/20,1.091748961,1.076107493
2019/3/21,1.095947825,1.081747085
2019/3/22,1.083103059,1.074756046
2019/3/25,1.083420315,1.072579767
2019/3/26,1.087080385,1.077084023
2019/3/27,1.084748708,1.076289192
2019/3/28,1.087074006,1.076292822
2019/3/29,1.09255929,1.079553107
2019/4/1,1.101054715,1.085025249
2019/4/2,1.100707075,1.085150335
2019/4/3,1.103249884,1.087551515
2019/4/4,1.10588163,1.087990575
2019/4/5,1.109419913,1.089900744
2019/4/8,1.108967418,1.090941915
2019/4/9,1.105245588,1.089306881
2019/4/10,1.108924432,1.091208657
2019/4/11,1.105466341,1.090634575
2019/4/12,1.11060102,1.09241013
2019/4/15,1.10817596,1.092628292
2019/4/16,1.110482361,1.093409842
2019/4/17,1.109949679,1.092943262
2019/4/18,1.110566634,1.09361346
2019/4/19,1.110566634,1.093646379
2019/4/22,1.108725341,1.09350392
2019/4/23,1.112898424,1.096435814
2019/4/24,1.110030598,1.096050392
2019/4/25,1.107558671,1.094521319
2019/4/26,1.111553598,1.097244422
2019/4/29,1.111678922,1.098123167
2019/4/30,1.11230875,1.098847577
2019/5/1,1.107809282,1.097235299
2019/5/2,1.106315299,1.094760496
2019/5/3,1.114569755,1.098792228
2019/5/6,1.107713592,1.095273541
2019/5/7,1.095310886,1.088536447
2019/5/8,1.094424693,1.087164958
2019/5/9,1.091145288,1.08264032
2019/5/10,1.095565939,1.084751991
2019/5/13,1.078065378,1.074960496
2019/5/14,1.085809478,1.077377069
2019/5/15,1.089391519,1.081061445
2019/5/16,1.093513274,1.084698823
2019/5/17,1.086977839,1.081899606
2019/5/20,1.083064434,1.078643593
