,Sector Rotation,S&P 500 Index,Sector Equal Weight,Region Rotation,ACWX Index,Region Equal Weight
2018/12/31,1,1,1,1,1,1
2019/1/1,0.999499899,1,0.999500166,0.999499796,1.000096993,0.9995
2019/1/2,1.011976681,1.001272014,0.998155074,1.007539253,0.993205626,1.002931774
2019/1/3,0.991677292,0.9767426,0.979925157,1.001551729,0.991920466,0.994618215
2019/1/4,1.027325239,1.010278439,1.009274448,1.031441535,1.00814743,1.024599963
2019/1/7,1.039176038,1.017362797,1.015810648,1.038367736,1.018671193,1.024080841
2019/1/8,1.050279791,1.027250001,1.026191473,1.046460556,1.02242968,1.029656274
2019/1/9,1.06219827,1.031788324,1.029643944,1.05909373,1.037832202,1.044221586
2019/1/10,1.070879993,1.036449033,1.036001437,1.064551706,1.04043162,1.047542805
2019/1/11,1.067122557,1.036300565,1.035573782,1.057345181,1.04071775,1.043471071
2019/1/14,1.065739483,1.030969741,1.029309819,1.0574996,1.035969932,1.039314678
2019/1/15,1.066022458,1.042044693,1.037202727,1.066790491,1.042075655,1.044885324
2019/1/16,1.065872948,1.044386082,1.040001608,1.071035703,1.043166828,1.048886134
2019/1/17,1.079852987,1.052417429,1.048808017,1.074254008,1.042900097,1.054263056
2019/1/18,1.101087359,1.06632131,1.062496134,1.084865116,1.054849661,1.061887356
2019/1/21,1.101087359,1.06632131,1.062496134,1.084865116,1.055048497,1.061887356
2019/1/22,1.077720071,1.051267801,1.050084941,1.069809957,1.048414161,1.044170424
2019/1/23,1.072909591,1.053583108,1.051584361,1.067278907,1.047536372,1.051374777
2019/1/24,1.07850278,1.055067794,1.052406703,1.073464087,1.050902037,1.055906861
2019/1/25,1.09221649,1.064060174,1.060164631,1.086658257,1.062308438,1.067006656
2019/1/28,1.081525074,1.055707814,1.055360808,1.081707723,1.057914646,1.058625264
2019/1/29,1.090587943,1.054189021,1.057935624,1.085469722,1.060877789,1.061981786
2019/1/30,1.106782587,1.070699126,1.072015384,1.09621568,1.065,1.0767099
2019/1/31,1.112776129,1.080134906,1.07896371,1.099057011,1.075557711,1.079684596
2019/2/1,1.12340419,1.081250426,1.079494327,1.098454894,1.075193986,1.077061992
2019/2/4,1.131900961,1.088595608,1.085216391,1.101091193,1.074325897,1.080253811
2019/2/5,1.137622,1.093731818,1.089458837,1.106564995,1.083123181,1.089180788
2019/2/6,1.133536059,1.091404473,1.087568372,1.098752511,1.080809893,1.078622708
2019/2/7,1.117045026,1.081350743,1.080496843,1.087277778,1.070150339,1.06888715
2019/2/8,1.115286846,1.082440181,1.080884581,1.081267179,1.061091174,1.062877808
2019/2/11,1.120917551,1.083218638,1.083026666,1.076759345,1.061062076,1.058304838
2019/2/12,1.136686434,1.097258949,1.095090839,1.092493329,1.070232784,1.072582352
2019/2/13,1.147177266,1.100667707,1.099115993,1.09280215,1.074388943,1.067200653
2019/2/14,1.146576884,1.098131704,1.096064269,1.094220125,1.0721387,1.07172865
2019/2/15,1.163528328,1.110157658,1.108509215,1.108517734,1.075213385,1.081352603
2019/2/18,1.163528328,1.110157658,1.108509215,1.108517734,1.083074685,1.081352576
2019/2/19,1.165078279,1.111905173,1.111082667,1.113477227,1.084587779,1.083569438
2019/2/20,1.170305974,1.114096087,1.114514265,1.119735094,1.093656644,1.088182153
2019/2/21,1.158793869,1.110263993,1.111402963,1.116103138,1.093016489,1.085041611
2019/2/22,1.164274857,1.117416567,1.116623226,1.120346848,1.096197866,1.092415027
2019/2/25,1.167525373,1.118949404,1.116535769,1.12311775,1.101949564,1.095547374
2019/2/26,1.164058971,1.11807665,1.114469411,1.126064312,1.102322987,1.09874563
2019/2/27,1.168562721,1.117641276,1.114280072,1.124515881,1.10171193,1.09524595
2019/2/28,1.16068479,1.11481636,1.111363449,1.116075017,1.09657129,1.088371618
2019/3/1,1.171995307,1.122564815,1.116987684,1.115108591,1.098656644,1.089287259
2019/3/4,1.170484482,1.11823515,1.114714351,1.111962018,1.098928225,1.085117534
2019/3/5,1.164799794,1.117005269,1.112659557,1.112070489,1.098011639,1.090819302
2019/3/6,1.151933816,1.109770435,1.106321506,1.10578099,1.098069835,1.085721748
2019/3/7,1.145043446,1.100986714,1.099104757,1.096219724,1.08856935,1.074358944
2019/3/8,1.133053995,1.098745641,1.096510099,1.095096043,1.077158099,1.074461482
2019/3/11,1.146772572,1.114872538,1.110784676,1.105857404,1.085,1.089148319
2019/3/12,1.14582374,1.118217093,1.114348125,1.10999903,1.092880698,1.09084295
2019/3/13,1.156624267,1.126065864,1.121370871,1.115160164,1.096081474,1.096892837
2019/3/14,1.155344287,1.125469983,1.120461987,1.106798771,1.097536372,1.09439277
2019/3/15,1.153095845,1.131123827,1.124228608,1.113782149,1.106319108,1.104577327
2019/3/18,1.166738922,1.135329099,1.128855462,1.119329443,1.113976722,1.110838822
2019/3/19,1.163054761,1.135212731,1.127099048,1.119134161,1.11742483,1.111304202
2019/3/20,1.164248754,1.131920341,1.124126504,1.118840755,1.112114452,1.110861466
2019/3/21,1.173918062,1.144267308,1.136169736,1.121529506,1.114078565,1.10918361
2019/3/22,1.144726031,1.122643062,1.116844287,1.106842546,1.103676043,1.082429041
2019/3/25,1.146310943,1.121786358,1.117037298,1.106946257,1.093831232,1.084665186
2019/3/26,1.158418482,1.129843787,1.125895613,1.11709621,1.100935984,1.091966027
2019/3/27,1.154901036,1.12461328,1.121288707,1.112938787,1.098506305,1.081141498
2019/3/28,1.161299879,1.128826577,1.126330464,1.114659668,1.095402522,1.087678352
2019/3/29,1.166606793,1.136478727,1.132958377,1.115566518,1.103103783,1.092376998
2019/4/1,1.186285796,1.149636252,1.142992714,1.129864827,1.115484966,1.106988574
2019/4/2,1.181940484,1.149698448,1.142595672,1.125989938,1.115824442,1.107177638
2019/4/3,1.174438977,1.152170249,1.143710038,1.129966931,1.126663434,1.113264039
2019/4/4,1.182968902,1.154836665,1.14728173,1.130063788,1.124534433,1.112994239
2019/4/5,1.19516265,1.160201596,1.154049818,1.132486385,1.126755577,1.115238436
2019/4/8,1.195303096,1.161437497,1.154083238,1.135380244,1.129354995,1.115847834
2019/4/9,1.179900196,1.154742367,1.1469569,1.128894139,1.129267701,1.110847559
2019/4/10,1.181965315,1.158855347,1.150057568,1.131399213,1.129844811,1.114447694
2019/4/11,1.187435326,1.158913531,1.151070006,1.128649918,1.127211445,1.110242936
2019/4/12,1.196818116,1.166690074,1.158460268,1.136126997,1.130829292,1.113432867
2019/4/15,1.189943162,1.165981839,1.156585718,1.136023811,1.132963143,1.115033703
2019/4/16,1.19748232,1.166573707,1.154890934,1.138890425,1.136493695,1.118392969
2019/4/17,1.197443094,1.164039709,1.151088146,1.141285912,1.138700291,1.118625474
2019/4/18,1.201387024,1.165905598,1.153186142,1.142510063,1.134762367,1.11738822
2019/4/19,1.201387024,1.165905598,1.153186142,1.142510063,1.134922405,1.117388202
2019/4/22,1.21237821,1.167115416,1.152722464,1.140445465,1.13371484,1.113867161
2019/4/23,1.216620688,1.177492165,1.160720287,1.143648061,1.134985451,1.117515659
2019/4/24,1.204095628,1.174914029,1.159359381,1.131049711,1.130916586,1.107211207
2019/4/25,1.190198112,1.174480661,1.15546299,1.131689213,1.126450048,1.108994164
2019/4/26,1.186838806,1.180020144,1.160610879,1.139035875,1.129165858,1.113776409
2019/4/29,1.187659063,1.181338304,1.159466128,1.142497314,1.131120272,1.117438541
2019/4/30,1.189550187,1.182493951,1.165909222,1.1410435,1.132245393,1.116802141
2019/5/1,1.173702686,1.173633989,1.155293875,1.135089217,1.134170708,1.109000346
2019/5/2,1.163061734,1.17118827,1.152545814,1.13168828,1.128026188,1.107954125
2019/5/3,1.175490695,1.182592261,1.162991535,1.14317595,1.132609117,1.118548496
2019/5/6,1.170474738,1.177405893,1.157329176,1.136547307,1.122187197,1.106460909
