,SmartGlobal Max-Growth,Benchmark-Growth
2018/12/31,1,1
2019/1/1,0.999503193,1.000026335
2019/1/2,1.000057905,0.999008995
2019/1/3,0.990525278,0.992914573
2019/1/4,1.010091145,1.006489881
2019/1/7,1.015237641,1.011709445
2019/1/8,1.020575043,1.015528113
2019/1/9,1.026215201,1.021205865
2019/1/10,1.028720725,1.023159125
2019/1/11,1.027620971,1.023884644
2019/1/14,1.023307995,1.020508889
2019/1/15,1.029723121,1.025772578
2019/1/16,1.032228604,1.026764794
2019/1/17,1.03650428,1.029205044
2019/1/18,1.043389169,1.036610051
2019/1/21,1.043389169,1.036636386
2019/1/22,1.033894586,1.030986548
2019/1/23,1.035560284,1.031133776
2019/1/24,1.038569017,1.033553592
2019/1/25,1.044953441,1.039148774
2019/1/28,1.039887855,1.035545228
2019/1/29,1.040141012,1.036519078
2019/1/30,1.05044643,1.043537952
2019/1/31,1.056159251,1.051033882
2019/2/1,1.056361604,1.050341405
2019/2/4,1.059545419,1.052036262
2019/2/5,1.064274555,1.056893147
2019/2/6,1.061435437,1.055499423
2019/2/7,1.054754584,1.050148962
2019/2/8,1.054048409,1.048318934
2019/2/11,1.054619222,1.048098095
2019/2/12,1.06257018,1.05489646
2019/2/13,1.063660605,1.056628965
2019/2/14,1.063987015,1.055780934
2019/2/15,1.070036048,1.060471522
2019/2/18,1.070036048,1.062617859
2019/2/19,1.073012419,1.064117606
2019/2/20,1.075077709,1.067062038
2019/2/21,1.071746914,1.064637172
2019/2/22,1.077510642,1.06868753
2019/2/25,1.081176237,1.070531639
2019/2/26,1.080449187,1.070980636
2019/2/27,1.079339755,1.06977061
2019/2/28,1.07689484,1.066982465
2019/3/1,1.080957397,1.069176071
