,AQUMON_CCBI,Benchmark
2015/12/31,1,1
2016/1/4,0.985306424,0.988397989
2016/1/5,0.987410709,0.988395569
2016/1/6,0.987975042,0.982677002
2016/1/7,0.971463846,0.970859266
2016/1/8,0.970072717,0.968230282
2016/1/11,0.960793032,0.964554295
2016/1/12,0.961866173,0.967598755
2016/1/13,0.960489055,0.96233998
2016/1/14,0.958269381,0.967389054
2016/1/15,0.945828496,0.96038203
2016/1/18,0.944755601,0.958384648
2016/1/19,0.953763948,0.964225621
2016/1/20,0.938752158,0.955900179
2016/1/21,0.941829544,0.954014053
2016/1/22,0.951510483,0.965014488
2016/1/25,0.951068526,0.959969895
2016/1/26,0.946667884,0.964868377
2016/1/27,0.949369785,0.964489527
2016/1/28,0.943186559,0.965623743
2016/1/29,0.952918775,0.975945108
2016/2/1,0.953648259,0.974702298
2016/2/2,0.952353871,0.970550928
2016/2/3,0.948683981,0.970421514
2016/2/4,0.954335806,0.972779855
2016/2/5,0.949022513,0.965265989
2016/2/11,0.933160862,0.948433162
2016/2/12,0.940188508,0.950904375
2016/2/15,0.946906554,0.957435933
2016/2/16,0.948702421,0.963644138
2016/2/17,0.958135753,0.970370742
2016/2/18,0.958088153,0.971178354
2016/2/19,0.957943022,0.968009759
2016/2/22,0.964747124,0.974132659
2016/2/23,0.958763736,0.968666492
2016/2/24,0.95210491,0.96599439
2016/2/25,0.95499902,0.973187343
2016/2/26,0.96121973,0.973701295
2016/2/29,0.958513838,0.971867598
2016/3/1,0.966106648,0.979497697
2016/3/2,0.973988366,0.985464959
2016/3/3,0.975792705,0.989822942
2016/3/4,0.978503506,0.991378937
2016/3/7,0.98191493,0.992250104
2016/3/8,0.979565827,0.988456358
2016/3/9,0.977358966,0.988893136
2016/3/10,0.973185881,0.9881144
2016/3/11,0.984237467,0.997027044
2016/3/14,0.987993998,0.998342273
2016/3/15,0.982522732,0.994962474
2016/3/16,0.982949404,0.997013796
2016/3/17,0.99413108,1.005260238
2016/3/18,1.00E+00,1.007537294
2016/3/21,1.001303808,1.005844157
2016/3/22,1.00052989,1.005960924
2016/3/23,0.998781575,1.002836097
2016/3/24,0.990901189,0.999708127
2016/3/29,0.993002451,1.00538311
2016/3/30,1.005286671,1.011507036
2016/3/31,1.00530416,1.011721193
2016/4/1,1.001613607,1.007858947
2016/4/5,0.999885812,1.001582712
2016/4/6,1.003040224,1.005650261
2016/4/7,0.997753397,1.003420205
2016/4/8,1.001061147,1.006753467
2016/4/11,1.005181822,1.006941479
2016/4/12,1.007516579,1.010350319
2016/4/13,1.016348001,1.019429577
2016/4/14,1.020250382,1.02130423
2016/4/15,1.019810917,1.021318596
2016/4/18,1.019646542,1.022264245
2016/4/19,1.024944632,1.028660907
2016/4/20,1.021771832,1.028264267
2016/4/21,1.020109189,1.027220934
2016/4/22,1.017754995,1.024917558
2016/4/25,1.015883144,1.022886298
2016/4/26,1.019769434,1.023593108
2016/4/27,1.019641298,1.025132001
2016/4/28,1.022124861,1.022998436
2016/4/29,1.015797816,1.021179262
2016/5/3,1.017509773,1.017247096
2016/5/4,1.012527667,1.011808663
2016/5/5,1.013745063,1.011492052
2016/5/6,1.008317648,1.011157493
2016/5/9,1.006334458,1.011539995
2016/5/10,1.011058222,1.018212614
2016/5/11,1.011652948,1.015448549
2016/5/12,1.007199571,1.013258424
2016/5/13,1.007654789,1.009844993
2016/5/16,1.011086845,1.012981129
2016/5/17,1.010911013,1.010778679
2016/5/18,1.006739772,1.007958401
2016/5/19,1.001528593,1.004402856
2016/5/20,1.008765561,1.008704263
2016/5/23,1.010521594,1.007359755
2016/5/24,1.014655067,1.013435177
2016/5/25,1.019467079,1.018447305
2016/5/26,1.020629977,1.020738976
2016/5/27,1.022026828,1.022362421
2016/5/30,1.020902341,1.023208975
2016/5/31,1.0235215,1.022706344
2016/6/1,1.02376553,1.022132643
2016/6/2,1.024291213,1.023353697
2016/6/3,1.027223096,1.026935595
2016/6/6,1.032255151,1.029613433
2016/6/7,1.036179025,1.03340525
2016/6/8,1.035975393,1.034569075
2016/6/10,1.027144684,1.023622376
2016/6/13,1.016876046,1.016446172
2016/6/14,1.009774187,1.010521286
2016/6/15,1.016298138,1.012373573
2016/6/16,1.012677247,1.010361432
2016/6/17,1.016019503,1.012512786
2016/6/20,1.028483844,1.022330451
2016/6/21,1.028106098,1.023249315
2016/6/22,1.033018346,1.023345121
2016/6/23,1.036261178,1.030782348
2016/6/24,1.013529025,1.004383241
2016/6/27,1.001133205,0.993895485
2016/6/28,1.009705986,1.003280718
2016/6/29,1.022464712,1.015985444
2016/6/30,1.027895279,1.023092294
2016/7/4,1.035353415,1.02688685
2016/7/5,1.030472518,1.023271305
2016/7/6,1.028292288,1.02032559
2016/7/7,1.031622973,1.022224244
2016/7/8,1.037340205,1.028749916
