ISIN,name,Weight
KYG5760E1439,Macquarie Asia New Stars A1,3.75%
LU0342689089,Allianz Global Agricultural Trds AT USD,16.87%
LU0368268602,BGF Global Enhanced Eq Yld D2 USD,16.87%
LU0562313402,Schroder ISF Frntr Mkts Eq A Acc USD,3.75%
LU1049766030,Alquity Latin America USD M,3.75%
IE00BYVJR809,Merian Gold & Silver A USD Acc,5.63%
LU1408526512,Robeco European High Yield Bonds DH $,10.91%
LU0109981661,Franklin Mutual European A(acc)USD,5.63%
LU0227179875,Schroder ISF Asian Smlr Coms A Acc USD,3.75%
LU0207127084,T. Rowe Price Emg Mkts Bd A USD,3.64%
LU0231613380,AB Mortgage Income C2X Acc,21.82%
LU0154355936,Eastspring Inv Asian Bond A,3.64%
