ticker,weight
601888.SH,0.1154
600276.SH,0.0439
002294.SZ,0.0302
600436.SH,0.0308
300122.SZ,0.013
603868.SH,0.0292
000895.SZ,0.0159
603198.SH,0.0106
000423.SZ,0.0114
002555.SZ,0.0111
000596.SZ,0.0867
600201.SH,0.0108
600585.SH,0.0172
002468.SZ,0.0111
002466.SZ,0.0123
603899.SH,0.0112
002415.SZ,0.0439
002128.SZ,0.0106
002517.SZ,0.0106
600398.SH,0.0123
600426.SH,0.085
603816.SH,0.0113
603658.SH,0.0114
000963.SZ,0.0129
300113.SZ,0.0105
600009.SH,0.0144
600816.SH,0.0116
603025.SH,0.0105
603568.SH,0.0107
600703.SH,0.0903
002007.SZ,0.0112
300136.SZ,0.0852
601238.SH,0.0146
002508.SZ,0.0112
002233.SZ,0.0106
300144.SZ,0.0114
000581.SZ,0.0109
300408.SZ,0.0117
601006.SH,0.015
600298.SH,0.0112
