,AHAS,Hang Seng Index
2016/3/31,1,1
2016/4/1,0.991133586,0.986630215
2016/4/5,0.985712058,0.971135936
2016/4/6,0.986803197,0.972563977
2016/4/7,0.987492482,0.975421987
2016/4/8,0.988412018,0.98044444
2016/4/11,0.992068561,0.983833332
2016/4/12,0.994451369,0.986895897
2016/4/13,1.018247274,1.018386462
2016/4/14,1.023365151,1.027006695
2016/4/15,1.025930239,1.025979583
2016/4/18,1.017723514,1.018520746
2016/4/19,1.027086842,1.031742769
2016/4/20,1.018484696,1.022121414
2016/4/21,1.022737878,1.04069703
2016/4/22,1.011076081,1.033226643
2016/4/25,1.003062412,1.025400569
2016/4/26,1.005113262,1.030349862
2016/4/27,1.000763813,1.028151727
2016/4/28,0.998845711,1.029423826
2016/4/29,0.991187652,1.013974789
2016/5/3,0.978037004,0.995198467
2016/5/4,0.975348582,0.987925416
2016/5/5,0.972864725,0.984266991
2016/5/6,0.964083075,0.967904912
2016/5/9,0.962433485,0.970164174
2016/5/10,0.960897842,0.974297169
2016/5/11,0.961591459,0.965277931
2016/5/12,0.958305944,0.958547795
2016/5/13,0.951085449,0.949105969
2016/5/16,0.953501065,0.957031193
2016/5/17,0.955917933,0.968334721
2016/5/18,0.948830775,0.954261744
2016/5/19,0.947525668,0.947904623
2016/5/20,0.948675537,0.955503039
2016/5/23,0.949878259,0.95342523
2016/5/24,0.949398767,0.95445523
2016/5/25,0.956710535,0.980331333
2016/5/26,0.958937879,0.981730014
2016/5/27,0.96120796,0.990377201
2016/5/30,0.962180068,0.992909846
2016/5/31,0.97548661,1.001847743
2016/6/1,0.973675378,0.999243383
2016/6/2,0.977331608,1.003971756
2016/6/3,0.977541357,1.008208233
2016/6/6,0.976252859,1.01220213
2016/6/7,0.989894609,1.026546083
2016/6/8,0.989651784,1.02508483
2016/6/10,0.977872757,1.012799915
2016/6/13,0.960442746,0.987307416
2016/6/14,0.958506447,0.981268921
2016/6/15,0.963022131,0.985118907
2016/6/16,0.958448996,0.964465964
2016/6/17,0.962818049,0.970798057
2016/6/20,0.96930795,0.987173131
2016/6/21,0.976114276,0.994789355
2016/6/22,0.978639496,1.00088657
2016/6/23,0.978993634,1.00441071
2016/6/24,0.964434663,0.975088922
2016/6/27,0.965238743,0.973556917
2016/6/28,0.959565147,0.970917421
2016/6/29,0.963988772,0.983607598
2016/6/30,0.980991981,1.000850472
2016/7/4,0.990922846,1.013596962
2016/7/5,0.979516723,0.998749561
2016/7/6,0.969959389,0.986455501
2016/7/7,0.974934035,0.99664143
2016/7/8,0.96887253,0.989770752
2016/7/11,0.982723249,1.004995981
2016/7/12,0.995229987,1.021564541
2016/7/13,0.997472656,1.026263554
2016/7/14,1.001447534,1.037751904
2016/7/15,1.003728116,1.042477872
2016/7/18,1.006048604,1.049405343
2016/7/19,1.004588151,1.043149296
2016/7/20,1.010981876,1.053222119
2016/7/21,1.017750678,1.058902039
2016/7/22,1.0098789,1.05715874
2016/7/25,1.010882819,1.058562717
2016/7/26,1.015995478,1.065122468
2016/7/27,1.018275562,1.069418627
2016/7/28,1.017719532,1.067269585
2016/7/29,1.000404771,1.053650002
2016/8/1,1.008574561,1.065094071
2016/8/3,0.996888583,1.046322081
2016/8/4,0.999037291,1.050803544
2016/8/5,1.008692605,1.065909889
2016/8/8,1.027001277,1.082691668
2016/8/9,1.032920281,1.081288655
2016/8/10,1.032201944,1.082579523
2016/8/11,1.035334113,1.086820814
2016/8/12,1.044171952,1.095790476
2016/8/15,1.048753333,1.103760943
2016/8/16,1.044952758,1.102717949
2016/8/17,1.041118972,1.097372537
2016/8/18,1.038877115,1.108124004
2016/8/19,1.021467593,1.103987639
2016/8/22,1.019782747,1.1069087
2016/8/23,1.017731782,1.106957794
2016/8/24,1.014648456,1.098383285
2016/8/25,1.008966678,1.098102682
2016/8/26,1.013809845,1.102655378
2016/8/29,1.006319333,1.098410238
2016/8/30,1.008001859,1.107784681
2016/8/31,1.007401678,1.105896508
