,AHAS,Hang Seng Index
2018/12/31,1,1
2019/1/2,0.967452771,0.972322282
2019/1/3,0.9562552,0.969769052
2019/1/4,0.966211291,0.991500714
2019/1/7,0.98022692,0.999613088
2019/1/8,0.98548374,1.001151062
2019/1/9,0.994033251,1.02385774
2019/1/10,0.997631483,1.026144775
2019/1/11,1.008398969,1.031787493
2019/1/14,0.996971894,1.017512778
2019/1/15,1.01380278,1.038094925
2019/1/16,1.021536884,1.040873337
2019/1/17,1.017415873,1.035206243
2019/1/18,1.027997781,1.048174745
2019/1/21,1.040133351,1.052265561
2019/1/22,1.032242681,1.044872068
2019/1/23,1.031169545,1.044978468
2019/1/24,1.043710092,1.049342057
2019/1/25,1.050917627,1.06668382
2019/1/28,1.057665113,1.06698445
2019/1/29,1.057646826,1.065232514
2019/1/30,1.06949434,1.06953381
2019/1/31,1.083944279,1.081126454
2019/2/1,1.083944279,1.080672607
2019/2/4,1.088888129,1.08297357
2019/2/8,1.098316839,1.081275415
2019/2/11,1.10836745,1.088917692
2019/2/12,1.111465538,1.089981312
2019/2/13,1.115584057,1.102604689
2019/2/14,1.132656737,1.10006887
2019/2/15,1.128582958,1.079515741
2019/2/18,1.112562521,1.096778574
2019/2/19,1.130317038,1.09217897
2019/2/20,1.13237686,1.103241545
2019/2/21,1.143973449,1.107724689
2019/2/22,1.159051552,1.114935947
2019/2/25,1.157366996,1.120468782
2019/2/26,1.169558327,1.11322425
2019/2/27,1.165578906,1.112658585
2019/2/28,1.158637595,1.107850822
2019/3/1,1.155708316,1.114776152
2019/3/4,1.177774667,1.120480002
2019/3/5,1.194792763,1.120557772
2019/3/6,1.200727789,1.1234983
2019/3/7,1.207827186,1.113510178
2019/3/8,1.198154508,1.09219019
2019/3/11,1.165353053,1.102825615
2019/3/12,1.174597096,1.118981881
2019/3/13,1.189038247,1.11459353
2019/3/14,1.19327607,1.116293619
2019/3/15,1.186971154,1.122517866
2019/3/18,1.190546031,1.137868582
2019/3/19,1.204496098,1.140084424
2019/3/20,1.206350173,1.134462212
2019/3/21,1.203790678,1.124812251
2019/3/22,1.205267051,1.126429541
2019/3/25,1.213734091,1.103601373
2019/3/26,1.186920818,1.105286759
2019/3/27,1.189672286,1.111529191
2019/3/28,1.204464436,1.113346127
2019/3/29,1.201184522,1.12403069
