,SmartGlobal Max-Growth,Benchmark-Growth
2018/12/31,1,1
2019/1/1,1,1.000027413
2019/1/2,1.000210708,0.998916248
2019/1/3,0.991502982,0.992345856
2019/1/4,1.011357182,1.006668091
2019/1/7,1.015865771,1.012112863
2019/1/8,1.020695239,1.016138998
2019/1/9,1.026871115,1.02204751
2019/1/10,1.029337281,1.024104501
2019/1/11,1.028202748,1.024789524
2019/1/14,1.023656699,1.021299014
2019/1/15,1.030148249,1.026777117
2019/1/16,1.032691326,1.027822937
2019/1/17,1.036630362,1.030372051
2019/1/18,1.043078683,1.038113298
2019/1/21,1.043078683,1.038140711
2019/1/22,1.033325987,1.032149276
2019/1/23,1.035330512,1.032331925
2019/1/24,1.038476143,1.034751388
2019/1/25,1.045261336,1.04063494
2019/1/28,1.040204448,1.036856525
2019/1/29,1.040702329,1.037794844
2019/1/30,1.050715871,1.04504837
2019/1/31,1.056343466,1.052687698
2019/2/1,1.056223865,1.052070063
2019/2/4,1.058969944,1.053880473
2019/2/5,1.064008079,1.058859536
2019/2/6,1.060651636,1.057403177
2019/2/7,1.054046901,1.051753366
2019/2/8,1.052940756,1.049806652
2019/2/11,1.054124551,1.049624967
2019/2/12,1.062061487,1.056732146
2019/2/13,1.063553603,1.058576545
2019/2/14,1.06398579,1.057610824
2019/2/15,1.069621508,1.062495771
2019/2/18,1.069621508,1.064729947
2019/2/19,1.073606651,1.06623328
2019/2/20,1.075842983,1.069312209
2019/2/21,1.072387135,1.066870492
2019/2/22,1.078861394,1.071003624
2019/2/25,1.084622149,1.072941998
2019/2/26,1.083702841,1.073339183
2019/2/27,1.082210739,1.072188618
2019/2/28,1.07948946,1.069312965
2019/3/1,1.084295705,1.071677727
2019/3/4,1.083214607,1.070807746
2019/3/5,1.08467596,1.070134496
2019/3/6,1.081355867,1.068112431
2019/3/7,1.073877268,1.063193018
2019/3/8,1.069981146,1.059395393
2019/3/11,1.081612931,1.066929623
2019/3/12,1.084289612,1.071226129
2019/3/13,1.08749518,1.074609407
2019/3/14,1.085423194,1.074165358
2019/3/15,1.091510379,1.079199249
2019/3/18,1.096615854,1.082935197
2019/3/19,1.096341952,1.08364472
2019/3/20,1.097630631,1.082361399
2019/3/21,1.10208634,1.087343332
2019/3/22,1.08723318,1.078617818
2019/3/25,1.087506148,1.076316605
2019/3/26,1.091482727,1.081264549
2019/3/27,1.088654072,1.079060805
2019/3/28,1.091000828,1.07923255
2019/3/29,1.096703511,1.083543272
