,AQM_HUABAO_Enhanced_50,AQM_HUABAO_50,Benchmark_50
2016/5/31,1,1,1
2016/6/1,1.000907859,1.000447464,0.999257452
2016/6/2,1.003224751,1.002376738,1.000481671
2016/6/3,1.006070387,1.003452158,1.004708526
2016/6/6,1.00873616,1.006571389,1.006853392
2016/6/7,1.011075482,1.008600639,1.010143651
2016/6/8,1.014444898,1.011127837,1.012236244
2016/6/9,1.011537336,1.008846556,1.009853116
2016/6/10,1.003455037,1.001356289,1.003560982
2016/6/13,0.995959761,0.996012843,0.997887325
2016/6/14,0.993243532,0.9935145,0.993260474
2016/6/15,0.996126972,0.99448937,0.994985665
2016/6/16,0.996674091,0.995112252,0.993636744
2016/6/17,0.997508802,0.9945987,0.994929979
2016/6/20,1.003499351,0.999983549,1.00271073
2016/6/21,1.004938617,1.001460239,1.003680444
2016/6/22,1.005442316,1.00084107,1.003944434
2016/6/23,1.013779143,1.009423502,1.0097017
2016/6/24,0.990759335,0.986531942,0.988752637
2016/6/27,0.981406381,0.975135891,0.980990686
2016/6/28,0.992808022,0.986189354,0.989014746
2016/6/29,1.002557625,0.996232612,0.99940371
2016/6/30,1.009727581,1.004034554,1.00507947
2016/7/1,1.011795381,1.0065707,1.00834733
2016/7/5,1.006899461,1.001175452,1.006510581
2016/7/6,1.009881724,1.004594195,1.003936972
2016/7/7,1.009548238,1.004465101,1.00560422
2016/7/8,1.019133377,1.014328805,1.011325964
2016/7/11,1.021646159,1.016851818,1.01504459
2016/7/12,1.02663669,1.020762211,1.017887991
2016/7/13,1.026898539,1.020325734,1.020201193
2016/7/14,1.029925206,1.022983987,1.021770292
2016/7/15,1.027923774,1.021204926,1.019834208
2016/7/18,1.030303947,1.023418348,1.021097901
2016/7/19,1.028967622,1.021568185,1.020235891
2016/7/20,1.031949023,1.024784506,1.02216944
2016/7/21,1.030856133,1.023428241,1.022021892
2016/7/22,1.032944575,1.025983699,1.022283054
2016/7/25,1.031312672,1.024097482,1.021280708
2016/7/26,1.033109322,1.024966157,1.021955865
2016/7/27,1.032553792,1.026529965,1.023440082
2016/7/28,1.033027824,1.026806236,1.023920458
2016/7/29,1.036540954,1.02951745,1.028934475
2016/8/1,1.032422531,1.027572594,1.027316958
2016/8/2,1.028890021,1.023399677,1.022913636
2016/8/3,1.031369589,1.025356273,1.021514285
2016/8/4,1.034192531,1.027731141,1.024383506
2016/8/5,1.036834069,1.030905456,1.025619052
2016/8/8,1.038474974,1.031704403,1.027384641
2016/8/9,1.041767522,1.033730691,1.031066497
2016/8/10,1.040987544,1.032884085,1.032010035
2016/8/11,1.043298681,1.035281083,1.032794994
2016/8/12,1.043681171,1.035399856,1.034431504
2016/8/15,1.046888198,1.037819082,1.034886508
2016/8/16,1.044379803,1.034832571,1.032155804
2016/8/17,1.044877828,1.035762519,1.032556292
2016/8/18,1.047040113,1.038545923,1.035103849
2016/8/19,1.045209323,1.036622406,1.032392463
2016/8/22,1.044061662,1.036853773,1.033329923
2016/8/23,1.045992885,1.039010065,1.035071618
2016/8/24,1.042817414,1.035649276,1.032435735
2016/8/25,1.041761769,1.035204265,1.03102347
2016/8/26,1.039754318,1.033444702,1.029540517
2016/8/29,1.043615053,1.03683127,1.030913069
2016/8/30,1.04276722,1.035688848,1.030355771
2016/8/31,1.040739669,1.033678443,1.02897949
2016/9/1,1.041926634,1.035179076,1.029777322
2016/9/2,1.045976491,1.039127094,1.032570724
2016/9/6,1.050410727,1.042391475,1.038558207
2016/9/7,1.050721327,1.042613548,1.039213208
2016/9/8,1.048816742,1.039981092,1.03648625
2016/9/9,1.033887033,1.025146607,1.024137038
2016/9/12,1.039029184,1.032393178,1.025029137
2016/9/13,1.029844835,1.02296191,1.017764169
2016/9/14,1.029597611,1.023282495,1.018165042
2016/9/15,1.03582225,1.029496287,1.021513939
2016/9/16,1.033016422,1.027036278,1.019014724
2016/9/19,1.034844757,1.02798897,1.0217426
2016/9/20,1.035287729,1.028148526,1.022127547
2016/9/21,1.04345747,1.036498093,1.028030265
2016/9/22,1.048665873,1.041673182,1.035189247
2016/9/23,1.045324586,1.038221454,1.032549573
2016/9/26,1.039759288,1.033758518,1.028436184
2016/9/27,1.043247648,1.03711585,1.030906466
2016/9/28,1.047459062,1.041145697,1.032322152
2016/9/29,1.041976129,1.035754664,1.031179532
2016/9/30,1.04599484,1.039817712,1.030905511
2016/10/3,1.045182646,1.037966848,1.030413684
2016/10/4,1.04177666,1.034410919,1.027895245
2016/10/5,1.04461391,1.036807082,1.028123236
2016/10/6,1.044332273,1.036314738,1.027080561
2016/10/7,1.042948049,1.034358283,1.025453743
2016/10/10,1.0442753,1.034358283,1.027525524
