,SmartGlobal Max-Growth,Benchmark-Growth
2016/3/31,1,1
2016/4/1,0.999623939,0.996442896
2016/4/4,0.996198337,0.997032776
2016/4/5,0.989443075,0.989723602
2016/4/6,0.997320592,0.993810581
2016/4/7,0.988693267,0.991237048
2016/4/8,0.995141887,0.994662816
2016/4/11,0.997205691,0.995372648
2016/4/12,1.004810428,0.998992289
2016/4/13,1.013188836,1.007664981
2016/4/14,1.01220104,1.009435865
2016/4/15,1.010904822,1.009668282
2016/4/18,1.014870641,1.010744857
2016/4/19,1.021500463,1.017184955
2016/4/20,1.019885922,1.016562199
2016/4/21,1.015296619,1.015210713
2016/4/22,1.015811339,1.012986262
2016/4/25,1.012517453,1.01118863
2016/4/26,1.016690922,1.011993568
2016/4/27,1.019710095,1.013334943
2016/4/28,1.013974815,1.011076943
2016/4/29,1.012486209,1.00918976
2016/5/2,1.015210798,1.009571147
2016/5/3,1.006447587,1.004087606
2016/5/4,1.000813739,0.998911683
2016/5/5,1.001593743,0.998399118
2016/5/6,1.001732452,0.998290878
2016/5/9,0.99799926,0.998223923
2016/5/10,1.007104899,1.005084068
2016/5/11,1.003525637,1.002694397
2016/5/12,1.003280131,1.000816754
2016/5/13,0.997007026,0.996359721
2016/5/16,1.003989125,0.999687904
2016/5/17,1.000036723,0.997642567
2016/5/18,0.996862369,0.994639866
2016/5/19,0.993459381,0.990159588
2016/5/20,0.99861593,0.99432943
2016/5/23,0.997293278,0.993315399
2016/5/24,1.004122423,0.999119699
2016/5/25,1.009260962,1.004584949
2016/5/26,1.01020897,1.006985552
2016/5/27,1.01134704,1.008471255
2016/5/31,1.012801372,1.008132549
2016/6/1,1.012790298,1.007335291
2016/6/2,1.015250244,1.008471755
2016/6/3,1.019561964,1.012561113
2016/6/6,1.023304959,1.015352191
2016/6/7,1.027111785,1.019217226
2016/6/8,1.029926338,1.021624823
2016/6/9,1.025633931,1.018366905
2016/6/10,1.014504291,1.010315066
2016/6/13,1.007559736,1.003165179
2016/6/14,1.005014651,0.997572212
2016/6/15,1.007610751,0.999464005
2016/6/16,1.007768964,0.997512528
2016/6/17,1.009545784,0.999596206
2016/6/20,1.01658919,1.009443089
2016/6/21,1.018679518,1.010858713
2016/6/22,1.018753705,1.011073399
2016/6/23,1.029664842,1.018562143
2016/6/24,1.000130592,0.991571266
2016/6/27,0.990420524,0.980830774
2016/6/28,1.003588235,0.990640797
2016/6/29,1.015559189,1.003400354
2016/6/30,1.02314034,1.010407615
2016/7/1,1.025872108,1.013950268
2016/7/5,1.019042033,1.010591202
2016/7/6,1.021850498,1.00765787
2016/7/7,1.020236633,1.009557157
2016/7/8,1.030748047,1.016269542
2016/7/11,1.034579729,1.021297278
2016/7/12,1.041695484,1.025427888
2016/7/13,1.04141866,1.027748559
2016/7/14,1.045133505,1.030275451
2016/7/15,1.042659645,1.028483633
2016/7/18,1.044606517,1.029934644
2016/7/19,1.041337435,1.028593739
2016/7/20,1.04479026,1.031190524
2016/7/21,1.042978628,1.030865096
2016/7/22,1.045057711,1.031200456
2016/7/25,1.042235491,1.030052887
2016/7/26,1.044554107,1.030871524
2016/7/27,1.045522669,1.032176754
2016/7/28,1.045723556,1.032739392
2016/7/29,1.049768331,1.038302691
2016/8/1,1.045560944,1.03678487
2016/8/2,1.042512671,1.03185014
2016/8/3,1.044389409,1.030152604
2016/8/4,1.04717807,1.033133305
2016/8/5,1.050802102,1.035401037
2016/8/8,1.052970637,1.037447783
2016/8/9,1.056685272,1.041473712
2016/8/10,1.055625568,1.042189864
2016/8/11,1.059356823,1.043897205
2016/8/12,1.060115385,1.045296482
2016/8/15,1.065347884,1.046197062
2016/8/16,1.062414208,1.04304296
2016/8/17,1.06230486,1.043285724
2016/8/18,1.066058852,1.046086168
2016/8/19,1.062442286,1.043198563
2016/8/22,1.060711082,1.043861796
2016/8/23,1.062208739,1.045991134
2016/8/24,1.059847094,1.042783963
2016/8/25,1.058489053,1.04125789
2016/8/26,1.055029148,1.04002848
2016/8/29,1.059482165,1.04091382
2016/8/30,1.058226324,1.040327594
2016/8/31,1.055629593,1.038616287
2016/9/1,1.05742275,1.039644433
2016/9/2,1.063537532,1.043366643
2016/9/6,1.069816543,1.050065299
2016/9/7,1.070018871,1.050835887
2016/9/8,1.068082588,1.048358126
2016/9/9,1.050569733,1.033862408
2016/9/12,1.056776895,1.034933241
2016/9/13,1.043705054,1.026665753
2016/9/14,1.044171423,1.026695054
2016/9/15,1.051321807,1.030873799
2016/9/16,1.047375183,1.027812413
