,SmartGlobal Max-Growth,Benchmark-Growth
2016/3/1,1,1
2016/3/2,1.004716971,1.005765623
2016/3/3,1.010013414,1.010751792
2016/3/4,1.014960692,1.014257441
2016/3/7,1.015865656,1.014404834
2016/3/8,1.006545122,1.010305336
2016/3/9,1.009935724,1.011046063
2016/3/10,1.009335283,1.010514576
2016/3/11,1.021953546,1.0209599
2016/3/14,1.020195629,1.022257497
2016/3/15,1.015147398,1.018424653
2016/3/16,1.024088164,1.019984503
2016/3/17,1.030928944,1.030325234
2016/3/18,1.033740244,1.032677456
2016/3/21,1.034459599,1.031372026
2016/3/22,1.032966493,1.031398207
2016/3/23,1.025672914,1.027769259
2016/3/24,1.023903495,1.023481655
2016/3/28,1.02490865,1.025757083
2016/3/29,1.032663636,1.0299596
2016/3/30,1.036835386,1.037136469
2016/3/31,1.035938164,1.036699439
2016/4/1,1.036192178,1.032962074
2016/4/4,1.032812861,1.033569131
2016/4/5,1.025288655,1.025837847
2016/4/6,1.033697956,1.030158479
2016/4/7,1.025012213,1.027400705
2016/4/8,1.030887965,1.031028901
2016/4/11,1.032255108,1.031768202
2016/4/12,1.040399782,1.035610676
2016/4/13,1.049067557,1.044718349
2016/4/14,1.048191035,1.046590898
2016/4/15,1.047100697,1.046810214
2016/4/18,1.051576435,1.04795501
2016/4/19,1.057674956,1.054732591
2016/4/20,1.056802953,1.054119676
2016/4/21,1.052279043,1.052703571
2016/4/22,1.052636221,1.050370393
2016/4/25,1.04931632,1.048486857
2016/4/26,1.053303685,1.049350535
2016/4/27,1.056371043,1.050714635
2016/4/28,1.050013347,1.048318836
2016/4/29,1.048098272,1.046311182
2016/5/2,1.051318517,1.046747022
2016/5/3,1.04192857,1.040930022
2016/5/4,1.036222431,1.035475929
2016/5/5,1.036888866,1.034908407
2016/5/6,1.037941578,1.034813085
2016/5/9,1.035159999,1.034728559
2016/5/10,1.044613373,1.04194594
2016/5/11,1.040452096,1.03941259
2016/5/12,1.040034465,1.037462327
2016/5/13,1.033476452,1.03273583
2016/5/16,1.040861653,1.036273529
2016/5/17,1.036418473,1.034125361
2016/5/18,1.033583425,1.031055768
2016/5/19,1.029970615,1.026306321
2016/5/20,1.035311535,1.03069836
2016/5/23,1.034073913,1.02962706
2016/5/24,1.041860491,1.035746297
2016/5/25,1.047609621,1.0415042
2016/5/26,1.048656509,1.043987172
2016/5/27,1.050376961,1.045558919
2016/5/31,1.050862417,1.045194352
2016/6/1,1.051461748,1.044363511
2016/6/2,1.054048349,1.045533175
2016/6/3,1.05722947,1.049757776
2016/6/6,1.061516413,1.052706676
2016/6/7,1.065271785,1.056761924
2016/6/8,1.06835416,1.059284197
2016/6/9,1.064298983,1.055831394
2016/6/10,1.053211733,1.047333517
2016/6/13,1.046300458,1.0397952
2016/6/14,1.04384891,1.033915087
2016/6/15,1.045885502,1.035889825
2016/6/16,1.046261586,1.033814658
2016/6/17,1.04725831,1.036043425
2016/6/20,1.054278028,1.046428182
2016/6/21,1.05647912,1.047934313
2016/6/22,1.056027831,1.048152373
2016/6/23,1.067518588,1.056064358
2016/6/24,1.036931144,1.027565635
2016/6/27,1.025626396,1.016174283
2016/6/28,1.03986713,1.026496049
2016/6/29,1.052700742,1.039925432
2016/6/30,1.061241606,1.047303169
2016/7/1,1.06441922,1.050997855
2016/7/5,1.057028478,1.047382934
2016/7/6,1.060349004,1.044312015
2016/7/7,1.058828679,1.04630031
2016/7/8,1.070329352,1.053342366
2016/7/11,1.07415917,1.058667235
2016/7/12,1.081043763,1.063060701
2016/7/13,1.080494826,1.06546569
2016/7/14,1.084439024,1.068168464
2016/7/15,1.082133369,1.066324824
2016/7/18,1.084367537,1.067844724
2016/7/19,1.081350255,1.066413087
2016/7/20,1.084882477,1.069162197
2016/7/21,1.082659305,1.06880929
2016/7/22,1.085220919,1.069163307
2016/7/25,1.081959003,1.067961514
2016/7/26,1.083715676,1.068822364
2016/7/27,1.084908011,1.070158801
2016/7/28,1.085203042,1.070749003
2016/7/29,1.089245762,1.076561479
2016/8/1,1.08499023,1.074997767
2016/8/2,1.081342817,1.069838103
2016/8/3,1.084068894,1.068052975
2016/8/4,1.086536213,1.071150996
2016/8/5,1.090990503,1.073591853
2016/8/8,1.093097939,1.075737271
2016/8/9,1.096050162,1.079938789
2016/8/10,1.094400443,1.080660628
2016/8/11,1.098610773,1.082511171
2016/8/12,1.099059024,1.083939889
2016/8/15,1.103466161,1.084912378
2016/8/16,1.100265711,1.081607093
2016/8/17,1.100598085,1.081844646
2016/8/18,1.10484964,1.08476843
2016/8/19,1.101472989,1.08176113
2016/8/22,1.099773901,1.082423995
2016/8/23,1.101679821,1.08466441
2016/8/24,1.098719581,1.081291051
2016/8/25,1.097567405,1.079699889
2016/8/26,1.094393553,1.078448607
2016/8/29,1.099342026,1.079322731
2016/8/30,1.097671954,1.078712812
2016/8/31,1.09451458,1.076910155
2016/9/1,1.096027592,1.077995753
2016/9/2,1.103334481,1.081934368
2016/9/6,1.110567619,1.08893746
2016/9/7,1.110818665,1.089746058
2016/9/8,1.1087607,1.087201038
2016/9/9,1.089030096,1.071992747
