,SmartXray Offshore-Growth,Benchmark Offshore-Growth
2018-12-31,1,1
2019-01-02,0.999441525,0.999092802
2019-01-03,0.999176647,0.992388653
2019-01-04,1.004322969,1.008187911
2019-01-07,1.013010992,1.013513706
2019-01-08,1.014855369,1.017815896
2019-01-09,1.024401363,1.02387317
2019-01-10,1.025841799,1.026230037
2019-01-11,1.028772358,1.026030817
2019-01-14,1.027372729,1.023262632
2019-01-15,1.028681798,1.02788489
2019-01-16,1.030002199,1.028288341
2019-01-17,1.029604662,1.030853799
2019-01-18,1.036522926,1.038365844
2019-01-21,1.038291173,1.0383573
2019-01-22,1.035961586,1.031980259
2019-01-23,1.033415075,1.032641957
2019-01-24,1.032697085,1.034311982
2019-01-25,1.036278037,1.040799012
2019-01-28,1.03984027,1.037414827
2019-01-29,1.043032953,1.037676564
2019-01-30,1.046010789,1.044783654
2019-01-31,1.051800403,1.0528006
2019-02-01,1.05386509,1.052155211
2019-02-04,1.054086854,1.053623897
2019-02-08,1.046074037,1.048310225
2019-02-11,1.046626366,1.047344499
2019-02-12,1.047896421,1.054878148
2019-02-13,1.052958058,1.056961608
2019-02-14,1.053076934,1.055564065
2019-02-15,1.055104133,1.061889377
2019-02-18,1.057666543,1.064415296
2019-02-19,1.059130471,1.066218028
2019-02-20,1.062143563,1.068898006
2019-02-21,1.063657316,1.06638834
2019-02-22,1.065264874,1.069909837
2019-02-25,1.069161506,1.071499603
2019-02-26,1.068252572,1.072072024
2019-02-27,1.068574156,1.071663438
