,SmartXray Offshore-Growth,Benchmark Offshore-Growth
2015/12/31,1,1
2016/1/4,0.998813182,0.988827406
2016/1/5,0.999785845,0.98807893
2016/1/6,0.992226708,0.981977959
2016/1/7,0.984106145,0.970599589
2016/1/8,0.982718711,0.966452801
2016/1/11,0.967646264,0.964326535
2016/1/12,0.958631349,0.965415334
2016/1/13,0.954994036,0.959827927
2016/1/14,0.950151149,0.960663411
2016/1/15,0.937475605,0.952745024
2016/1/18,0.934904459,0.949093187
2016/1/19,0.928552968,0.951102516
2016/1/20,0.911734456,0.9418648
2016/1/21,0.920715841,0.942825704
2016/1/22,0.942936218,0.956613809
2016/1/25,0.938344829,0.951150952
2016/1/26,0.945976532,0.957255056
2016/1/27,0.956130171,0.955769122
2016/1/28,0.965953104,0.95746744
2016/1/29,0.978086246,0.967162346
2016/2/1,0.981547603,0.969369062
2016/2/2,0.968603825,0.96055168
2016/2/3,0.979552757,0.964771827
2016/2/4,1.003864838,0.969563687
2016/2/5,1.004439058,0.960132408
2016/2/11,0.99105568,0.947000597
2016/2/12,1.003986655,0.950026619
2016/2/15,1.010292181,0.954405582
2016/2/16,1.00735209,0.960378792
2016/2/17,1.017182848,0.968682445
2016/2/18,1.023521864,0.969735829
2016/2/19,1.020657535,0.9682727
2016/2/22,1.032907726,0.974947904
2016/2/23,1.026083572,0.969280708
2016/2/24,1.022523874,0.967876633
2016/2/25,1.02752834,0.974760678
2016/2/26,1.035796068,0.972398071
2016/2/29,1.037824424,0.970730353
2016/3/1,1.044265953,0.979742087
2016/3/2,1.054856633,0.983819213
2016/3/3,1.071300864,0.98954344
2016/3/4,1.090865153,0.993404929
2016/3/7,1.099165574,0.993527583
2016/3/8,1.085126251,0.991424788
2016/3/9,1.085375002,0.990910325
2016/3/10,1.094685181,0.99090878
2016/3/11,1.111015529,1.001908534
2016/3/14,1.104124166,1.002487787
2016/3/15,1.092248057,0.999387464
2016/3/16,1.101666583,0.99984971
2016/3/17,1.133263424,1.013996774
2016/3/18,1.133574935,1.015613428
2016/3/21,1.129171747,1.013833035
2016/3/22,1.129554053,1.0132259
2016/3/23,1.108473513,1.007883873
2016/3/24,1.100789374,1.003947266
2016/3/29,1.101077828,1.010222265
2016/3/30,1.119361428,1.019311199
2016/3/31,1.119094339,1.018302725
2016/4/1,1.107816672,1.014732121
2016/4/5,1.097070516,1.009191721
2016/4/6,1.104767328,1.014378078
2016/4/7,1.108610722,1.01230264
2016/4/8,1.12468544,1.016113395
2016/4/11,1.136675122,1.017249952
2016/4/12,1.150135129,1.019748811
2016/4/13,1.159384529,1.026825774
2016/4/14,1.15523045,1.028340906
2016/4/15,1.149232742,1.029091017
2016/4/18,1.154515159,1.031121909
2016/4/19,1.177350096,1.037985571
2016/4/20,1.183641634,1.038352729
2016/4/21,1.180390172,1.035168435
2016/4/22,1.184608115,1.031500964
2016/4/25,1.174163524,1.030320616
2016/4/26,1.177509665,1.031656393
2016/4/27,1.189573138,1.031967299
2016/4/28,1.196597628,1.031747125
2016/4/29,1.207367001,1.032120902
2016/5/3,1.189198906,1.029483164
2016/5/4,1.1754093,1.023042349
2016/5/5,1.175860667,1.021269925
2016/5/6,1.177320498,1.022571671
2016/5/9,1.162317452,1.020997068
2016/5/10,1.169019768,1.027642594
2016/5/11,1.181887525,1.025490026
2016/5/12,1.183960483,1.023440232
2016/5/13,1.174947817,1.017126042
2016/5/16,1.179768782,1.021734168
2016/5/17,1.189446532,1.019512762
2016/5/18,1.179411425,1.016890152
2016/5/19,1.157602922,1.010889154
2016/5/20,1.166479694,1.01503541
2016/5/23,1.16591747,1.013997783
2016/5/24,1.162473406,1.020340399
2016/5/25,1.168033207,1.025645387
2016/5/26,1.174059936,1.028450118
2016/5/27,1.168782277,1.028994881
2016/5/30,1.164764133,1.028291209
2016/5/31,1.165161372,1.027737504
2016/6/1,1.163278785,1.028289393
2016/6/2,1.164251767,1.029673823
2016/6/3,1.182682441,1.036214727
2016/6/6,1.204781907,1.03900176
2016/6/7,1.214565326,1.042613613
2016/6/8,1.226060901,1.045646312
2016/6/10,1.211396784,1.032836743
2016/6/13,1.203848608,1.026120093
2016/6/14,1.195727159,1.019751787
2016/6/15,1.196614941,1.021900048
2016/6/16,1.192771368,1.020453549
2016/6/17,1.203214197,1.023447384
2016/6/20,1.213091059,1.034812848
2016/6/21,1.21151429,1.035413435
2016/6/22,1.213505173,1.035174053
2016/6/23,1.21848499,1.043733116
2016/6/24,1.208086135,1.014141505
2016/6/27,1.2001028,1.000483696
2016/6/28,1.211917452,1.011331354
2016/6/29,1.230874987,1.025498431
2016/6/30,1.237704078,1.032389126
2016/7/4,1.260094726,1.03671632
2016/7/5,1.253296597,1.03243289
2016/7/6,1.256419184,1.030402488
2016/7/7,1.258855233,1.031893103
2016/7/8,1.260894689,1.038857889
2016/7/11,1.27409355,1.041925883
2016/7/12,1.282091659,1.045298112
2016/7/13,1.279932606,1.048217915
2016/7/14,1.283852906,1.049975581
