,SmartXray Onshore-Growth,Benchmark-Growth
2018-12-28,1,1
2019-01-02,0.989649037,0.995907319
2019-01-03,0.983975674,0.996979281
2019-01-04,0.996935279,1.007242982
2019-01-07,1.001522845,1.010602069
2019-01-08,1.000767196,1.009856553
2019-01-09,1.007798863,1.013601108
2019-01-10,1.00688847,1.011779193
2019-01-11,1.010913211,1.015303192
2019-01-14,1.003147082,1.011697215
2019-01-15,1.019052623,1.018112161
2019-01-16,1.021215076,1.018671126
2019-01-17,1.017871165,1.017547057
2019-01-18,1.02987003,1.02452606
2019-01-21,1.034601696,1.027258302
2019-01-22,1.025654032,1.021023896
2019-01-23,1.02612714,1.021311255
2019-01-24,1.030012687,1.023550789
2019-01-25,1.035016534,1.025124159
2019-01-28,1.035802108,1.024124922
2019-01-29,1.037735354,1.023809453
2019-01-30,1.030708855,1.020533496
2019-01-31,1.03755432,1.022597018
2019-02-01,1.049408188,1.029491658
2019-02-11,1.065862831,1.037449787
2019-02-12,1.071721986,1.041187003
2019-02-13,1.0819682,1.051036971
2019-02-14,1.086620028,1.050735009
2019-02-15,1.074593103,1.043525743
2019-02-18,1.095857853,1.057458479
2019-02-19,1.091774129,1.057217086
2019-02-20,1.092317001,1.058540994
2019-02-21,1.090487881,1.056547626
2019-02-22,1.102167539,1.066809984
2019-02-25,1.13568993,1.097475047
2019-02-26,1.127878724,1.092549201
2019-02-27,1.125397017,1.094866856
2019-02-28,1.130384648,1.092588079
