,SmartXray Onshore-Growth,Benchmark-Growth
2015/12/31,1,1
2016/1/4,0.956324106,0.958459705
2016/1/5,0.954242059,0.956259384
2016/1/6,0.964049396,0.96905832
2016/1/7,0.923225377,0.92973867
2016/1/8,0.931721445,0.940311879
2016/1/11,0.902477696,0.911945658
2016/1/12,0.904927288,0.913746589
2016/1/13,0.894768807,0.902525344
2016/1/14,0.908468312,0.912861644
2016/1/15,0.893156273,0.894446523
2016/1/18,0.897149966,0.89611241
2016/1/19,0.912781603,0.911774422
2016/1/20,0.904649925,0.906077128
2016/1/21,0.887043319,0.889838119
2016/1/22,0.892123238,0.896542111
2016/1/25,0.895544817,0.899318551
2016/1/26,0.865483446,0.866960738
2016/1/27,0.861957098,0.864364306
2016/1/28,0.848751373,0.850732961
2016/1/29,0.864959241,0.865457005
2016/2/1,0.860838478,0.857430163
2016/2/2,0.873846795,0.867986539
2016/2/3,0.873437202,0.865860441
2016/2/4,0.881538737,0.873185645
2016/2/5,0.87835757,0.870019435
2016/2/15,0.877310571,0.867957969
2016/2/16,0.892828077,0.88313748
2016/2/17,0.896271084,0.888500563
2016/2/18,0.893134203,0.887773049
2016/2/19,0.893353385,0.887693305
2016/2/22,0.904826891,0.899103778
2016/2/23,0.901950227,0.894797855
2016/2/24,0.901853723,0.89913239
2016/2/25,0.868363457,0.86728071
2016/2/26,0.871447209,0.87156921
2016/2/29,0.855312834,0.858537999
2016/3/1,0.863791719,0.866642589
2016/3/2,0.884355361,0.886394539
2016/3/3,0.884842333,0.888582891
2016/3/4,0.885005404,0.891225601
2016/3/7,0.888582425,0.895330709
2016/3/8,0.890327319,0.895453836
2016/3/9,0.885402662,0.889418316
2016/3/10,0.877589549,0.880350502
2016/3/11,0.87749777,0.881696565
2016/3/14,0.887340943,0.89011065
2016/3/15,0.888787392,0.891110483
2016/3/16,0.888182815,0.892706931
2016/3/17,0.897808473,0.898661415
2016/3/18,0.908152569,0.907596838
2016/3/21,0.919684737,0.918528909
2016/3/22,0.917588597,0.915036099
2016/3/23,0.919328208,0.917159443
2016/3/24,0.912574866,0.909129104
2016/3/25,0.916217172,0.912522469
2016/3/28,0.913652989,0.908486783
2016/3/29,0.906423441,0.90244801
2016/3/30,0.920716681,0.916547723
2016/3/31,0.92140424,0.917261282
2016/4/1,0.920221785,0.91814566
2016/4/5,0.929098849,0.925781611
2016/4/6,0.930837428,0.925018891
2016/4/7,0.923456504,0.917534896
2016/4/8,0.9191553,0.913224992
2016/4/11,0.928670719,0.921791359
2016/4/12,0.925619378,0.919862909
2016/4/13,0.931016202,0.926822134
2016/4/14,0.933788244,0.929007361
2016/4/15,0.932624826,0.928292045
2016/4/18,0.925980691,0.921203853
2016/4/19,0.92739671,0.922780659
2016/4/20,0.912674743,0.910385284
2016/4/21,0.909430099,0.906735807
2016/4/22,0.914759342,0.90780468
2016/4/25,0.913129822,0.905461422
2016/4/26,0.916656857,0.907972464
2016/4/27,0.91600028,0.906110669
2016/4/28,0.915478684,0.905136333
2016/4/29,0.916404141,0.90412105
2016/5/3,0.930896115,0.913697379
2016/5/4,0.93044221,0.913154768
2016/5/5,0.931823566,0.914055845
2016/5/6,0.916278264,0.899628697
2016/5/9,0.905086256,0.885749364
2016/5/10,0.907427917,0.886375273
2016/5/11,0.910534419,0.887057853
2016/5/12,0.911758686,0.886965024
2016/5/13,0.908610488,0.885633561
