,SmartDeposit,Benchmark
2016/3/31,1,1
2016/4/1,0.999896695,0.999995372
2016/4/4,1.000187736,1.000009255
2016/4/5,1.000238395,1.000004628
2016/4/6,1.000261242,1.000004628
2016/4/7,1.000657574,1.000009255
2016/4/8,1.000569169,1.000032395
2016/4/11,1.000595988,1.000023139
2016/4/12,1.000743992,1.000018511
2016/4/13,1.000714193,1.000027767
2016/4/14,1.000843324,1.000041651
2016/4/15,1.001246609,1.000069418
2016/4/18,1.001238663,1.000078673
2016/4/19,1.001104565,1.000083301
2016/4/20,1.001444279,1.000078673
2016/4/21,1.00155851,1.000092556
2016/4/22,1.001895243,1.000115696
2016/4/25,1.001840611,1.00010644
2016/4/26,1.002167411,1.00010644
2016/4/27,1.002086953,1.000120324
2016/4/28,1.002452492,1.000143463
2016/4/29,1.002270716,1.000180486
2016/5/3,1.0024217,1.00019437
2016/5/4,1.002585596,1.00019437
2016/5/5,1.002514078,1.000185114
2016/5/6,1.002847831,1.000198998
2016/5/9,1.002935243,1.000175858
2016/5/10,1.002877631,1.000148091
2016/5/11,1.003004775,1.000148091
2016/5/12,1.002942196,1.000152719
2016/5/13,1.002897497,1.000189742
2016/5/16,1.00292829,1.000189742
2016/5/17,1.003129932,1.000185114
2016/5/18,1.002975969,1.000185114
2016/5/19,1.003149799,1.000189742
2016/5/20,1.003070334,1.000222137
2016/5/23,1.003378261,1.000203625
2016/5/24,1.003283896,1.000203625
2016/5/25,1.003322635,1.000222137
2016/5/26,1.003738834,1.000273043
2016/5/27,1.003820286,1.000286926
2016/5/31,1.003686188,1.000286926
2016/6/1,1.003819292,1.000342461
2016/6/2,1.003948423,1.000379484
2016/6/3,1.0044719,1.000384112
2016/6/6,1.004032855,1.000379484
2016/6/7,1.004147086,1.000379484
2016/6/8,1.004224564,1.000388739
2016/6/9,1.004239464,1.000388739
2016/6/10,1.004369588,1.000411878
2016/6/13,1.004353695,1.000393367
2016/6/14,1.004325882,1.000393367
2016/6/15,1.004393428,1.000416506
2016/6/16,1.00478082,1.000421134
2016/6/17,1.004581164,1.000448901
2016/6/20,1.004581164,1.000435018
2016/6/21,1.004548385,1.000439645
2016/6/22,1.004582157,1.000444273
2016/6/23,1.004549378,1.000435018
2016/6/24,1.004452033,1.000490552
2016/6/27,1.004806646,1.000504436
2016/6/28,1.004571231,1.000518319
2016/6/29,1.004832473,1.000527575
2016/6/30,1.004910944,1.000532203
2016/7/1,1.004909951,1.000536831
2016/7/4,1.004911938,1.000536831
2016/7/5,1.004911938,1.000532203
2016/7/6,1.004809626,1.000536831
2016/7/7,1.004928824,1.000536831
2016/7/8,1.005094708,1.000559969
2016/7/11,1.005056962,1.000555341
2016/7/12,1.005063915,1.000550714
2016/7/13,1.005054975,1.000546086
2016/7/14,1.00532317,1.000546086
2016/7/15,1.005404621,1.000578481
2016/7/18,1.005692683,1.000596992
2016/7/19,1.005530772,1.000606248
2016/7/20,1.005650963,1.000615504
2016/7/21,1.005617191,1.000629388
2016/7/22,1.005576465,1.000652527
2016/7/25,1.005733408,1.000661783
