,SmartXray Offshore-Growth,Benchmark Offshore-Growth
2018/12/31,1,1
2019/1/2,0.999675638,0.999092802
2019/1/3,0.999494489,0.992388653
2019/1/4,1.004547672,1.008187911
2019/1/7,1.012956905,1.013513787
2019/1/8,1.014897466,1.017815896
2019/1/9,1.024339018,1.02387317
2019/1/10,1.02574709,1.026230118
2019/1/11,1.028642587,1.026030817
2019/1/14,1.027362081,1.023262632
2019/1/15,1.028613222,1.02788489
2019/1/16,1.030044467,1.028288341
2019/1/17,1.029727343,1.030853799
2019/1/18,1.03653597,1.038365844
2019/1/21,1.038221594,1.0383573
2019/1/22,1.035895329,1.031980259
2019/1/23,1.033572327,1.032641957
2019/1/24,1.032966446,1.034311901
2019/1/25,1.03649257,1.040799012
2019/1/28,1.040018509,1.037414827
2019/1/29,1.043182319,1.037676564
2019/1/30,1.046036198,1.044783654
2019/1/31,1.051890804,1.0528006
2019/2/1,1.053927287,1.052155211
2019/2/4,1.054215255,1.053623897
2019/2/8,1.046260252,1.048310225
2019/2/11,1.046687271,1.047344499
2019/2/12,1.047994445,1.054878148
2019/2/13,1.052839873,1.056961608
2019/2/14,1.05299788,1.055564065
2019/2/15,1.05505084,1.061889377
2019/2/18,1.057514691,1.064415296
2019/2/19,1.059023909,1.066218028
2019/2/20,1.0618494,1.068898006
2019/2/21,1.063270562,1.06638834
2019/2/22,1.064958674,1.069909837
2019/2/25,1.068770286,1.071499603
2019/2/26,1.067871554,1.072072024
2019/2/27,1.068270719,1.071663438
2019/2/28,1.066352408,1.06911792
2019/3/1,1.065886058,1.071555268
2019/3/4,1.065601546,1.069321154
2019/3/5,1.064723848,1.068158956
2019/3/6,1.063873227,1.066193475
2019/3/7,1.05700615,1.060955441
2019/3/8,1.05263428,1.057858456
2019/3/11,1.057890227,1.065485153
2019/3/12,1.062641097,1.069181757
2019/3/13,1.065422319,1.073753823
2019/3/14,1.068214531,1.073523025
2019/3/15,1.067988478,1.078236035
2019/3/18,1.071113314,1.081685898
2019/3/19,1.072593508,1.082647764
2019/3/20,1.070621079,1.080587919
2019/3/21,1.070602889,1.08664739
2019/3/22,1.068120407,1.077471767
2019/3/25,1.061981476,1.075612176
2019/3/26,1.065831963,1.079976347
2019/3/27,1.063951038,1.077622715
2019/3/28,1.064125623,1.077488001
2019/3/29,1.066200616,1.081136706
