date,SPX Index,LBUSTRUU Index
1949-01-15,15.24,
1949-02-15,14.65,
1949-03-15,14.98,
1949-04-15,14.99,
1949-05-15,14.88,
1949-06-15,13.9,
1949-07-15,14.76,
1949-08-15,15.25,
1949-09-15,15.61,
1949-10-15,15.91,
1949-11-15,15.75,
1949-12-15,16.68,
1950-01-15,16.67,
1950-02-15,17.06,
1950-03-15,17.45,
1950-04-15,17.96,
1950-05-15,18.26,
1950-06-15,18.93,
1950-07-15,16.87,
1950-08-15,18.32,
1950-09-15,19.29,
1950-10-15,19.85,
1950-11-15,19.82,
1950-12-15,19.33,
1951-01-15,21.3,
1951-02-15,22.0,
1951-03-15,21.29,
1951-04-15,22.09,
1951-05-15,21.76,
1951-06-15,22.04,
1951-07-15,21.98,
1951-08-15,22.79,
1951-09-15,23.69,
1951-10-15,23.85,
1951-11-15,22.84,
1951-12-15,23.37,
1952-01-15,24.06,
1952-02-15,23.86,
1952-03-15,23.75,
1952-04-15,23.65,
1952-05-15,23.6,
1952-06-15,24.37,
1952-07-15,25.16,
1952-08-15,25.2,
1952-09-15,24.45,
1952-10-15,24.06,
1952-11-15,24.75,
1952-12-15,26.04,
1953-01-15,26.13,
1953-02-15,25.74,
1953-03-15,26.18,
1953-04-15,24.96,
1953-05-15,24.84,
1953-06-15,23.62,
1953-07-15,24.15,
1953-08-15,24.62,
1953-09-15,22.9,
1953-10-15,23.95,
1953-11-15,24.54,
1953-12-15,24.71,
1954-01-15,25.43,
1954-02-15,26.04,
1954-03-15,26.57,
1954-04-15,27.94,
1954-05-15,28.8,
1954-06-15,28.83,
1954-07-15,30.19,
1954-08-15,30.72,
1954-09-15,31.29,
1954-10-15,31.71,
1954-11-15,33.47,
1954-12-15,34.56,
1955-01-15,35.28,
1955-02-15,36.89,
1955-03-15,35.71,
1955-04-15,37.96,
1955-05-15,37.44,
1955-06-15,39.89,
1955-07-15,42.4,
1955-08-15,42.17,
1955-09-15,44.75,
1955-10-15,41.22,
1955-11-15,46.21,
1955-12-15,45.06,
1956-01-15,44.67,
1956-02-15,44.04,
1956-03-15,47.99,
1956-04-15,47.95,
1956-05-15,46.37,
1956-06-15,46.37,
1956-07-15,48.72,
1956-08-15,48.99,
1956-09-15,47.21,
1956-10-15,46.86,
1956-11-15,45.72,
1956-12-15,46.54,
1957-01-15,45.18,
1957-02-15,43.51,
1957-03-15,44.05,
1957-04-15,44.95,
1957-05-15,46.83,
1957-06-15,48.15,
1957-07-15,49.13,
1957-08-15,45.75,
1957-09-15,44.8,
1957-10-15,41.67,
1957-11-15,40.37,
1957-12-15,40.73,
1958-01-15,40.99,
1958-02-15,41.33,
1958-03-15,42.33,
1958-04-15,42.43,
1958-05-15,43.34,
1958-06-15,45.02,
1958-07-15,45.11,
1958-08-15,47.5,
1958-09-15,48.96,
1958-10-15,50.58,
1958-11-15,53.09,
1958-12-15,53.37,
1959-01-15,55.83,
1959-02-15,54.42,
1959-03-15,56.67,
1959-04-15,56.96,
1959-05-15,58.16,
1959-06-15,56.99,
1959-07-15,59.59,
1959-08-15,59.29,
1959-09-15,56.68,
1959-10-15,56.87,
1959-11-15,56.85,
1959-12-15,58.9,
1960-01-15,58.38,
1960-02-15,55.17,
1960-03-15,54.74,
1960-04-15,56.43,
1960-05-15,55.3,
1960-06-15,57.57,
1960-07-15,56.05,
1960-08-15,56.61,
1960-09-15,55.22,
1960-10-15,54.86,
1960-11-15,55.81,
1960-12-15,56.68,
1961-01-15,59.6,
1961-02-15,61.92,
1961-03-15,63.57,
1961-04-15,66.37,
1961-05-15,66.83,
1961-06-15,65.69,
1961-07-15,65.28,
1961-08-15,67.55,
1961-09-15,67.65,
1961-10-15,68.04,
1961-11-15,71.67,
1961-12-15,72.01,
1962-01-15,69.47,
1962-02-15,70.74,
1962-03-15,71.06,
1962-04-15,67.9,
1962-05-15,64.29,
1962-06-15,55.89,
1962-07-15,57.83,
1962-08-15,58.66,
1962-09-15,58.89,
1962-10-15,57.27,
1962-11-15,59.97,
1962-12-15,62.57,
1963-01-15,65.11,
1963-02-15,66.41,
1963-03-15,65.93,
1963-04-15,69.09,
1963-05-15,70.43,
1963-06-15,70.25,
1963-07-15,69.2,
1963-08-15,71.38,
1963-09-15,73.17,
1963-10-15,72.4,
1963-11-15,72.35,
1963-12-15,74.06,
1964-01-15,76.64,
1964-02-15,77.48,
1964-03-15,79.14,
1964-04-15,80.09,
1964-05-15,81.1,
1964-06-15,79.97,
1964-07-15,83.34,
1964-08-15,82.35,
1964-09-15,83.0,
1964-10-15,84.25,
1964-11-15,85.21,
1964-12-15,83.22,
1965-01-15,86.21,
1965-02-15,86.07,
1965-03-15,87.24,
1965-04-15,88.15,
1965-05-15,90.1,
1965-06-15,84.49,
1965-07-15,85.72,
1965-08-15,86.77,
1965-09-15,89.52,
1965-10-15,91.38,
1965-11-15,92.63,
1965-12-15,92.02,
1966-01-15,93.5,
1966-02-15,93.17,
1966-03-15,87.35,
1966-04-15,91.99,
1966-05-15,85.47,
1966-06-15,86.73,
1966-07-15,87.08,
1966-08-15,82.74,
1966-09-15,80.08,
1966-10-15,76.6,
1966-11-15,81.69,
1966-12-15,81.64,
1967-01-15,84.53,
1967-02-15,88.27,
1967-03-15,89.19,
1967-04-15,90.43,
1967-05-15,92.71,
1967-06-15,92.49,
1967-07-15,92.74,
1967-08-15,94.77,
1967-09-15,96.27,
1967-10-15,96.0,
1967-11-15,91.76,
1967-12-15,95.03,
1968-01-15,96.42,
1968-02-15,90.3,
1968-03-15,89.1,
1968-04-15,96.59,
1968-05-15,98.07,
1968-06-15,101.13,
1968-07-15,102.26,
1968-08-15,98.07,
1968-09-15,100.86,
1968-10-15,103.53,
1968-11-15,105.78,
1968-12-15,107.58,
1969-01-15,101.62,
1969-02-15,103.61,
1969-03-15,98.0,
1969-04-15,101.53,
1969-05-15,105.85,
1969-06-15,98.65,
1969-07-15,94.24,
1969-08-15,94.0,
1969-09-15,94.87,
1969-10-15,95.72,
1969-11-15,97.07,
1969-12-15,90.54,
1970-01-15,91.68,
1970-02-15,86.54,
1970-03-15,87.86,
1970-04-15,86.73,
1970-05-15,76.9,
1970-06-15,74.38,
1970-07-15,75.23,
1970-08-15,75.18,
1970-09-15,81.36,
1970-10-15,84.65,
1970-11-15,83.37,
1970-12-15,89.66,
1971-01-15,93.03,
1971-02-15,98.43,
1971-03-15,100.71,
1971-04-15,103.52,
1971-05-15,102.21,
1971-06-15,100.32,
1971-07-15,99.28,
1971-08-15,95.69,
1971-09-15,99.77,
1971-10-15,97.79,
1971-11-15,91.81,
1971-12-15,98.54,
1972-01-15,103.39,
1972-02-15,105.03,
1972-03-15,107.75,
1972-04-15,109.84,
1972-05-15,106.86,
1972-06-15,108.44,
1972-07-15,106.8,
1972-08-15,112.06,
1972-09-15,108.81,
1972-10-15,107.92,
1972-11-15,114.5,
1972-12-15,118.26,
1973-01-15,118.44,
1973-02-15,114.45,
1973-03-15,114.12,
1973-04-15,112.08,
1973-05-15,106.57,
1973-06-15,105.1,
1973-07-15,104.09,
1973-08-15,103.01,
1973-09-15,104.44,
1973-10-15,110.05,
1973-11-15,102.43,
1973-12-15,93.29,
1974-01-15,94.23,
1974-02-15,92.27,
1974-03-15,99.28,
1974-04-15,92.05,
1974-05-15,90.45,
1974-06-15,91.3,
1974-07-15,83.78,
1974-08-15,76.3,
1974-09-15,65.2,
1974-10-15,71.44,
1974-11-15,71.91,
1974-12-15,67.07,
1975-01-15,72.14,
1975-02-15,81.5,
1975-03-15,84.76,
1975-04-15,86.3,
1975-05-15,91.41,
1975-06-15,90.52,
1975-07-15,95.61,
1975-08-15,86.36,
1975-09-15,82.88,
1975-10-15,89.23,
1975-11-15,90.97,
1975-12-15,88.09,
1976-01-15,96.61,
1976-02-15,99.67,101.95
1976-03-15,99.8,102.72
1976-04-15,100.67,103.95
1976-05-15,101.34,104.53
1976-06-15,101.46,103.58
1976-07-15,105.2,105.05
1976-08-15,104.25,106.28
1976-09-15,104.25,108.18
1976-10-15,100.85,109.67
1976-11-15,99.9,110.85
1976-12-15,105.14,113.53
1977-01-15,104.01,115.6
1977-02-15,101.04,113.38
1977-03-15,101.98,113.81
1977-04-15,101.04,114.66
1977-05-15,99.03,115.7
1977-06-15,99.61,116.5
1977-07-15,100.18,118.15
1977-08-15,98.18,118.08
1977-09-15,96.8,119.21
1977-10-15,93.56,119.21
1977-11-15,95.93,118.58
1977-12-15,93.55,119.64
1978-01-15,89.69,119.11
1978-02-15,88.83,118.83
1978-03-15,89.12,119.29
1978-04-15,92.92,119.67
1978-05-15,98.76,119.84
1978-06-15,98.34,119.3
1978-07-15,97.58,119.27
1978-08-15,103.85,120.63
1978-09-15,104.12,122.54
1978-10-15,104.66,122.49
1978-11-15,92.71,120.76
1978-12-15,95.33,121.94
1979-01-15,100.69,120.77
1979-02-15,98.73,123.03
1979-03-15,99.86,122.51
1979-04-15,102.0,123.77
1979-05-15,98.14,123.57
1979-06-15,102.09,125.88
1979-07-15,102.32,128.62
1979-08-15,108.25,128.68
1979-09-15,108.76,128.35
1979-10-15,103.36,127.01
1979-11-15,104.13,119.29
1979-12-15,108.92,122.77
1980-01-15,111.14,123.1
1980-02-15,115.41,119.35
1980-03-15,105.43,112.29
1980-04-15,102.63,112.38
1980-05-15,106.99,125.12
1980-06-15,115.81,131.02
1980-07-15,119.3,133.49
1980-08-15,125.72,130.73
1980-09-15,125.67,126.05
1980-10-15,133.7,124.73
1980-11-15,137.15,123.3
1980-12-15,129.45,123.07
1981-01-15,134.22,126.43
1981-02-15,126.98,126.49
1981-03-15,133.11,124.09
1981-04-15,134.17,127.04
