,history_date,history_value
0,2012-12-30,1.0000
1,2012-12-31,1.0000
2,2013-01-31,1.0132
3,2013-02-28,1.0163
4,2013-03-31,1.0151
5,2013-04-30,1.0266
6,2013-05-31,1.0409
7,2013-06-30,0.9887
8,2013-07-31,1.0324
9,2013-08-31,1.0292
10,2013-09-30,1.0701
11,2013-10-31,1.0887
12,2013-11-30,1.1049
13,2013-12-31,1.0984
14,2014-01-31,1.0891
15,2014-02-28,1.1172
16,2014-03-31,1.1077
17,2014-04-30,1.1134
18,2014-05-31,1.1361
19,2014-06-30,1.1514
20,2014-07-31,1.1623
21,2014-08-31,1.1788
22,2014-09-30,1.1602
23,2014-10-31,1.1712
24,2014-11-30,1.1957
25,2014-12-31,1.2177
26,2015-01-31,1.2346
27,2015-02-28,1.2699
28,2015-03-31,1.2953
29,2015-04-30,1.3676
30,2015-05-31,1.3960
31,2015-06-30,1.3261
32,2015-07-31,1.2868
33,2015-08-31,1.2142
34,2015-09-30,1.1948
35,2015-10-31,1.2741
36,2015-11-30,1.2645
37,2015-12-31,1.2601
38,2016-01-31,1.1876
39,2016-02-29,1.1982
40,2016-03-31,1.2634
41,2016-04-30,1.2718
42,2016-05-31,1.2717
43,2016-06-30,1.2706
44,2016-07-31,1.3076
45,2016-08-31,1.3232
46,2016-09-30,1.3183
47,2016-10-31,1.3065
48,2016-11-30,1.2964
49,2016-12-31,1.2830
50,2017-01-31,1.3228
51,2017-02-28,1.3445
52,2017-03-31,1.3558
53,2017-04-30,1.3736
54,2017-05-31,1.4029
55,2017-06-30,1.4167
56,2017-07-31,1.4460
57,2017-08-31,1.4697
58,2017-09-30,1.4717
59,2017-10-31,1.4952
60,2017-11-30,1.5047
61,2017-12-31,1.5285
62,2018-01-31,1.5909
63,2018-02-28,1.5420
64,2018-03-31,1.5260
65,2018-04-04,1.5157
66,2018-04-06,1.5264
67,2018-04-09,1.5315
68,2018-04-10,1.5407
69,2018-04-11,1.5437
70,2018-04-12,1.5391
71,2018-04-13,1.5423
72,2018-04-16,1.5371
73,2018-04-17,1.5366
74,2018-04-18,1.5482
75,2018-04-19,1.5515
76,2018-04-20,1.5394
77,2018-04-23,1.5274
78,2018-04-24,1.5343
79,2018-04-25,1.5261
80,2018-04-26,1.5178
81,2018-04-27,1.5289
82,2018-04-30,1.5326
83,2018-05-02,1.5287
84,2018-05-03,1.5245
85,2018-05-04,1.5214
86,2018-05-07,1.5284
87,2018-05-08,1.5300
88,2018-05-09,1.5323
89,2018-05-10,1.5417
90,2018-05-11,1.5458
91,2018-05-14,1.5510
92,2018-05-15,1.5465
93,2018-05-16,1.5412
94,2018-05-17,1.5404
95,2018-05-18,1.5422
96,2018-05-21,1.5411
97,2018-05-23,1.5332
98,2018-05-24,1.5387
99,2018-05-25,1.5356
100,2018-05-28,1.5377
101,2018-05-29,1.5248
102,2018-05-30,1.5195
103,2018-05-31,1.5301
104,2018-06-01,1.5266
105,2018-06-04,1.5360
106,2018-06-05,1.5390
107,2018-06-06,1.5433
108,2018-06-07,1.5493
109,2018-06-08,1.5369
110,2018-06-11,1.5410
111,2018-06-12,1.5466
112,2018-06-13,1.5411
113,2018-06-14,1.5359
114,2018-06-15,1.5314
115,2018-06-19,1.5139
116,2018-06-20,1.5177
117,2018-06-21,1.5051
118,2018-06-22,1.5066
119,2018-06-25,1.4949
120,2018-06-26,1.4904
121,2018-06-27,1.4802
122,2018-06-28,1.4806
123,2018-06-29,1.4944
124,2018-07-03,1.4831
125,2018-07-04,1.4793
126,2018-07-05,1.4794
127,2018-07-06,1.4829
128,2018-07-09,1.4985
129,2018-07-10,1.5024
130,2018-07-11,1.4894
131,2018-07-12,1.4935
132,2018-07-13,1.5007
133,2018-07-16,1.4994
134,2018-07-17,1.4958
135,2018-07-18,1.4944
136,2018-07-19,1.4929
137,2018-07-20,1.4930
138,2018-07-23,1.4910
139,2018-07-24,1.4956
140,2018-07-25,1.5019
141,2018-07-26,1.5041
142,2018-07-27,1.5048
143,2018-07-30,1.4967
144,2018-07-31,1.4951
145,2018-08-01,1.4919
146,2018-08-02,1.4775
147,2018-08-03,1.4779
148,2018-08-06,1.4797
149,2018-08-07,1.4927
150,2018-08-08,1.4904
151,2018-08-09,1.4949
152,2018-08-10,1.4847
153,2018-08-13,1.4763
154,2018-08-14,1.4747
155,2018-08-15,1.4663
156,2018-08-16,1.4608
