date,HKD,CNY
2012-12-31,7.7503,6.2306
2013-01-01,7.7507,6.2376
2013-01-02,7.7507,6.2331
2013-01-03,7.7507,6.2325
2013-01-04,7.7513,6.2306
2013-01-07,7.7508,6.2298
2013-01-08,7.7513,6.2241
2013-01-09,7.7522,6.2261
2013-01-10,7.7512,6.2245
2013-01-11,7.7518,6.2158
2013-01-14,7.7523,6.2203
2013-01-15,7.7518,6.2157
2013-01-16,7.7522,6.2184
2013-01-17,7.7523,6.2153
2013-01-18,7.7524999999999995,6.2181
2013-01-21,7.7532,6.2217
2013-01-22,7.7537,6.2206
2013-01-23,7.7528,6.2185
2013-01-24,7.7534,6.2204
2013-01-25,7.7542,6.2224
2013-01-28,7.7571,6.2247
2013-01-29,7.7584,6.2264
2013-01-30,7.7581,6.2204
2013-01-31,7.7551,6.219
2013-02-01,7.7572,6.2273
2013-02-04,7.7537,6.2327
2013-02-05,7.7548,6.2311
2013-02-06,7.7542,6.232
2013-02-07,7.755,6.233
2013-02-08,7.7552,6.2354
2013-02-11,7.7554,6.2324
2013-02-12,7.755,6.2323
2013-02-13,7.7562,6.2325
2013-02-14,7.754,6.2326
2013-02-15,7.7545,6.2372
2013-02-18,7.7544,6.2425
2013-02-19,7.7542,6.2445
2013-02-20,7.7544,6.2379
2013-02-21,7.7557,6.2398
2013-02-22,7.7566,6.2389
2013-02-25,7.7561,6.2334
2013-02-26,7.7586,6.2296
2013-02-27,7.7572,6.227
2013-02-28,7.7551,6.2217
2013-03-01,7.7548,6.223
2013-03-04,7.7553,6.2251
2013-03-05,7.7556,6.2211
2013-03-06,7.7558,6.218
2013-03-07,7.7564,6.2201
2013-03-08,7.7569,6.2163
2013-03-11,7.7571,6.2185
2013-03-12,7.7568,6.2163
2013-03-13,7.7588,6.2142
2013-03-14,7.7583,6.2159
2013-03-15,7.7632,6.217
2013-03-18,7.7620000000000005,6.2144
2013-03-19,7.7622,6.2158
2013-03-20,7.7626,6.2118
2013-03-21,7.7626,6.214
2013-03-22,7.7639,6.212
2013-03-25,7.7618,6.2107
2013-03-26,7.7603,6.2118
2013-03-27,7.7635,6.2138
2013-03-28,7.7626,6.2143
2013-03-29,7.7636,6.2102
2013-04-01,7.763,6.2083
2013-04-02,7.7621,6.1996
2013-04-03,7.7617,6.2014
2013-04-04,7.7633,6.206
2013-04-05,7.7651,6.206
2013-04-08,7.7635,6.2038
2013-04-09,7.7637,6.2023
2013-04-10,7.7629,6.1939
2013-04-11,7.7611,6.1962
2013-04-12,7.7620000000000005,6.1921
2013-04-15,7.7623999999999995,6.1869
2013-04-16,7.7627,6.1832
2013-04-17,7.763,6.1727
2013-04-18,7.7643,6.1811
2013-04-19,7.7642,6.1777
2013-04-22,7.764,6.1818
2013-04-23,7.7647,6.179
2013-04-24,7.7644,6.1781
2013-04-25,7.7647,6.1706
2013-04-26,7.7633,6.1651
2013-04-29,7.7611,6.165
2013-04-30,7.7602,6.1658
2013-05-01,7.7603,6.1658
2013-05-02,7.7593,6.1556
2013-05-03,7.7588,6.1562
2013-05-06,7.7596,6.1666
2013-05-07,7.7605,6.1537
2013-05-08,7.7597000000000005,6.1413
2013-05-09,7.7591,6.1309
2013-05-10,7.7609,6.1417
2013-05-13,7.7613,6.1463
2013-05-14,7.7619,6.1429
2013-05-15,7.7618,6.1461
2013-05-16,7.7633,6.149
2013-05-17,7.7631,6.1411999999999995
2013-05-20,7.7626,6.1393
2013-05-21,7.7613,6.1371
2013-05-22,7.7611,6.1312
2013-05-23,7.7629,6.1345
2013-05-24,7.7629,6.1328
2013-05-27,7.7635,6.1211
2013-05-28,7.7638,6.1218
2013-05-29,7.7644,6.1269
2013-05-30,7.7638,6.1315
2013-05-31,7.7626,6.1345
2013-06-03,7.7622,6.1313
2013-06-04,7.7597000000000005,6.1287
2013-06-05,7.7613,6.1275
2013-06-06,7.7632,6.136
2013-06-07,7.7628,6.1332
2013-06-10,7.7641,6.1332
2013-06-11,7.7643,6.1332
2013-06-12,7.7643,6.1332
2013-06-13,7.7645,6.1349
2013-06-14,7.7612,6.1309
2013-06-17,7.7596,6.1244
2013-06-18,7.7585,6.1287
2013-06-19,7.7575,6.1273
2013-06-20,7.757,6.1286
2013-06-21,7.7583,6.1329
2013-06-24,7.7577,6.1445
2013-06-25,7.7583,6.1449
2013-06-26,7.7593,6.1476
2013-06-27,7.7582,6.1489
2013-06-28,7.7565,6.1375
2013-07-01,7.7558,6.133
2013-07-02,7.7532,6.1335
2013-07-03,7.7541,6.1305
2013-07-04,7.7536000000000005,6.1254
2013-07-05,7.7546,6.1328
2013-07-08,7.7564,6.1338
2013-07-09,7.7568,6.1298
2013-07-10,7.7571,6.1345
2013-07-11,7.7566,6.1317
2013-07-12,7.7589,6.1382
2013-07-15,7.759,6.1378
2013-07-16,7.7578,6.1350999999999996
