,ACC1,HI1,KM1,MES1,NH1,PT1,SP1,SXO1,XP1
2012-12-31,,1711794.2536,942093.53702,7826835.47,2291845.0546,1198988.8431,13164588.22,9213203.2355,1305565.8049
2013-01-01,,1711816.8447,942226.4009,7835705.5,2288410.5894,1201403.9682,13164588.22,9217019.9178,1308457.8413
2013-01-02,,1758684.0408,961479.7455,7974364.96,2279214.9097,1216253.6724,13495251.16,9399154.1537,1335044.9735
2013-01-03,,1764884.531,955576.45996,8018240.41,2284986.4023,1212638.4662,13466586.53,9392130.7488,1348659.8056
2013-01-04,,1760687.929,951211.87031,7991931.56,2329512.5725,1219484.7348,13532846.41,9380349.5149,1337222.3826
2013-01-07,,1757960.4686,949964.25951,7967883.19,2323798.6737,1213582.5134,13490746.94,9378255.4246,1338518.9082
2013-01-08,,1743156.2786,942096.1618,7930983.41,2309908.0517,1213171.2259,13446204.21,9341309.5684,1330049.9122
2013-01-09,,1751564.7979,941577.37955,7959357.12,2309260.8986,1214904.7812,13482198.27,9403509.9593,1337924.6762
2013-01-10,,1762867.3530000001,950983.7072,7993717.57,2329617.9438,1225222.2899,13582369.76,9514198.716,1353546.7105
2013-01-11,,1755076.1094,947535.3346,7956448.97,2332789.9618,1228497.9152,13583045.76,9575156.3049,1344430.3979
2013-01-14,,1766320.5284,952072.59034,8014938.57,2327828.8012,1228395.6513,13570498.46,9549489.5539,1349978.135
2013-01-15,,1761959.985,939934.30691,7976223.65,2366557.8035,1232500.508,13588143.63,9530256.1655,1348903.9225
2013-01-16,,1758670.1064,936312.56201,7961324.17,2316416.7497,1226286.1198,13590190.42,9501735.4171,1355229.5578
2013-01-17,,1756543.9488,936079.06185,7988150.07,2294614.3607,1234095.064,13669305.54,9606880.0974,1359091.6812
2013-01-18,,1777318.5769999998,941416.94858,8041402.26,2344640.8297,1230372.6833,13717333.93,9563596.491,1358055.7157
2013-01-21,,1776386.9004,935701.6991200001,8027390.15,2329040.71,1238200.7652,13717333.93,9590251.6745,1360883.9632
2013-01-22,,1780098.7966,941434.69756,8025395.0,2347544.7349,1241601.0472,13777006.49,9570816.5009,1366977.6872
2013-01-23,,1779070.0374,930706.39949,8014326.62,2310077.0628,1230805.5639,13795747.62,9584712.8954,1367132.2701
2013-01-24,,1772966.5936,920614.4436299999,7981143.82,2300155.6093,1231078.7637,13797749.95,9667823.9639,1361501.0723
2013-01-25,,1769765.7923,902022.80362,7958891.62,2330539.9936,1224457.7716,13871318.25,9751597.5977,1362026.9318
2013-01-28,,1775274.5695,888483.0421600001,7928158.33,2326919.8698,1228394.2766,13842662.47,9736620.2269,1361896.0180000002
2013-01-29,,1776102.6474,903820.27139,7981710.17,2352390.9611,1232390.3509,13912877.33,9788328.0339,1384998.5948
2013-01-30,,1788696.4143,904806.05748,7970779.68,2380757.6399,1227346.5722,13861323.82,9801177.6287,1382085.4951
2013-01-31,,1781961.0624,902594.2503200001,7968163.21,2388969.8451,1220914.5608,13828877.59,9754659.9601,1379089.4433
2013-02-01,,1781077.3872,896119.6185799999,7997984.86,2367434.1659999997,1227520.2804,13966257.83,9853944.1973,1387574.3527
2013-02-04,,1779817.1172,896788.5608399999,7977405.78,2404947.8985,1222814.0955,13804341.06,9607868.8234,1384278.0633
2013-02-05,,1742165.9402,893260.0651700001,7959006.3,2344460.3198,1227499.248,13947997.82,9676588.8506,1375020.707
2013-02-06,,1749076.0204,888405.1965200001,7922098.06,2421006.9742,1229366.9743,13955880.89,9616569.6738,1373245.9629
2013-02-07,,1742339.3336,886390.12097,7881110.89,2416531.5063,1225245.8196,13931027.83,9504974.9561,1373241.5072
2013-02-08,,1744076.9538,894237.94712,7887863.66,2403670.9311,1225011.9617,14007747.54,9584286.2639,1387621.8388
2013-02-11,,1744076.9538,892702.60644,7867416.35,2383625.3487,1226098.9666,13998794.45,9564471.5631,1381947.8462
2013-02-12,,1744166.9138,897063.17445,7881616.32,2423492.0864,1234988.5287,14019645.67,9664680.6422,1385808.0171
2013-02-13,,1743942.0312,912652.1579100001,7919219.55,2392246.3021,1234788.3387,14027526.08,9704175.0763,1402299.0667
2013-02-14,,1759204.0443,916534.1904799999,7917859.2,2397664.8688,1228611.915,14042790.45,9602891.9764,1410588.2141
2013-02-15,,1765113.9998,919869.47271,7911393.64,2352816.8877,1218492.0083,14024134.88,9605760.22,1402846.9535
2013-02-18,,1761023.2006,918238.8944299999,7895808.24,2393471.6527,1213072.7416,14024134.88,9583185.9206,1410169.8366
2013-02-19,,1742281.256,924435.36645,7905244.33,2402251.9025,1225170.3367,14121025.84,9705310.912999999,1424449.8159
2013-02-20,,1753637.7469,942285.30177,7924109.35,2422783.3224,1212430.6785,13947049.27,9658430.1237,1417114.3594
2013-02-21,,1724160.9613,930919.09468,7813670.2,2410816.9951,1199269.1779,13861546.52,9413388.0992,1381650.2736
2013-02-22,,1715466.7354,935780.71283,7829474.79,2398555.7354,1201612.8717,13978746.75,9515002.4754,1400848.8801
2013-02-25,,1717941.313,929614.16418,7831352.94,2448910.9606,1192433.9347,13717683.98,9539643.3509,1406767.5925
2013-02-26,,1695547.8216,922450.4028299999,7744046.36,2452453.7358,1192027.0533,13795707.29,9304132.2353,1383531.3396
2013-02-27,,1698933.9212,928259.48696,7782255.11,2411267.3699,1204189.8351,13962626.41,9416992.8703,1389047.5899
2013-02-28,,1732413.4374,937013.90103,7830548.29,2456526.0998,1207686.0307,13940467.29,9489405.0954,1412152.4362
2013-03-01,,1721192.2323,937401.98064,7815512.99,2441437.4454,1205054.9557,13974878.9,9425052.8785,1402701.4785
2013-03-04,,1703550.7078,925452.21531,7736329.58,2464593.301,1197127.1845,14043167.51,9408909.906,1376992.3384
2013-03-05,,1705753.0396,930848.30541,7798949.03,2454944.3229,1202367.6528,14179270.51,9581112.6377,1404019.9837
2013-03-06,,1722144.7175,935064.97097,7862888.25,2479576.5451,1205262.6987,14191192.45,9530412.981,1415063.1431
2013-03-07,,1720940.1269,925146.0052100001,7863048.32,2456573.7682,1206963.0709,14215081.14,9603153.779,1417943.7631
2013-03-08,,1745207.9519,919483.08322,7923928.52,2479493.1806,1208647.2819,14277076.74,9611350.3767,1416142.5795
2013-03-11,,1744408.4926,915813.55917,7914549.01,2510511.7561,1214195.5928,14326384.42,9629680.4979,1427483.7659999998
2013-03-12,,1729200.5621,911126.88392,7875153.43,2511456.5945,1215659.2925,14293881.01,9629797.8178,1426876.5077
2013-03-13,,1703108.7282,911278.0381299999,7802905.98,2498102.8419999997,1199842.3051,14312967.12,9577874.7645,1419896.2456
2013-03-14,,1708343.4302,904615.12077,7801586.35,2517459.3087,1210914.336,14390790.51,9708221.6761,1412673.7946
2013-03-15,,1699117.3477,893314.7361600001,7760907.19,2555453.3556,1217588.3046,14368542.86,9708401.5459,1439134.4753
2013-03-18,,1665973.949,882985.52495,7675277.1,2494205.8246,1208211.4219,14287701.26,9630090.4353,1412701.1474
2013-03-19,,1662509.0188,886786.70435,7619958.96,2550678.3192,1202068.2946,14253437.84,9524503.5,1401887.3125
2013-03-20,,1680750.0548,876649.5778600001,7631132.12,2531213.5986,1211541.9877,14349470.67,9607917.9904,1398782.0234
