factor_list,factor_display_name,factor_category,effect_direction
EVA,Analyst_Positive_View,Analyst View,Positive
ESTPE,Valuation,Valuation,Negative
ESTPEG,Valuation,Valuation,Negative
ESTINSTNUM,Analyst_attention,Analyst View,Positive
ESTMEDIANROA,Analyst_Positive_View,Analyst View,Positive
ESTMEDIANROE,Analyst_Positive_View,Analyst View,Positive
PETTM,Valuation,Valuation,Negative
PSTTM,Valuation,Valuation,Negative
PEDYNAMIC,Valuation,Valuation,Negative
PCFCFOTTM,Valuation,Valuation,Negative
RATINGTARGETPRICE,Analyst_Positive_View,Analyst View,Positive
WRATINGINSTNUM,Analyst_attention,Analyst View,Positive
WRATINGNUMOFBUY,Analyst_Positive_View,Analyst View,Positive
WRATINGNUMOFOUTPERFORM,Analyst_Positive_View,Analyst View,Positive
WRATINGNUMOFHOLD,Analyst_Positive_View,Analyst View,Positive
WRATINGNUMOFUNDERPERFORM,Analyst_Negative_View,Analyst View,Negative
WRATINGNUMOFSELL,Analyst_Negative_View,Analyst View,Negative
PPERIODUNLOCKAMT,Unlock_Amount,Unlock Event,Negative
MARKET_CAP,Size,Size,Positive
ROE,profitability,Profitability,Positive
ROA,profitability,Profitability,Positive
GPOE,profitability,Profitability,Positive
GPOA,profitability,Profitability,Positive
SOE,profitability,Profitability,Positive
SOA,profitability,Profitability,Positive
OPOE,profitability,Profitability,Positive
OPOA,profitability,Profitability,Positive
CFOOE,cashflow_generation,Profitability,Positive
CFOOA,cashflow_generation,Profitability,Positive
ARTOS,earnings_inflation,Earnings Management,Negative
sales,sales,Sales,Positive
gross_profitability,profitability,Profitability,Positive
operating_profitability,profitability,Profitability,Positive
net_profitability,profitability,Profitability,Positive
cashflow_generation,cashflow_generation,Profitability,Positive
profitability,profitability,Profitability,Positive
ROE_gr_1yr,profitability_growth,Growth,Positive
ROA_gr_1yr,profitability_growth,Growth,Positive
GPOE_gr_1yr,profitability_growth,Growth,Positive
GPOA_gr_1yr,profitability_growth,Growth,Positive
SOE_gr_1yr,sales_growth,Growth,Positive
SOA_gr_1yr,sales_growth,Growth,Positive
OPOE_gr_1yr,profitability_growth,Growth,Positive
OPOA_gr_1yr,profitability_growth,Growth,Positive
CFOOE_gr_1yr,cashflow_growth,Growth,Positive
CFOOA_gr_1yr,cashflow_growth,Growth,Positive
ARTOS_gr_1yr,earnings_inflation,Earnings Management,Negative
S_gr_1yr,sales_growth,Growth,Positive
ROE_gr_2yr,profitability_growth,Growth,Positive
ROA_gr_2yr,profitability_growth,Growth,Positive
GPOE_gr_2yr,profitability_growth,Growth,Positive
GPOA_gr_2yr,profitability_growth,Growth,Positive
SOE_gr_2yr,sales_growth,Growth,Positive
SOA_gr_2yr,sales_growth,Growth,Positive
OPOE_gr_2yr,profitability_growth,Growth,Positive
OPOA_gr_2yr,profitability_growth,Growth,Positive
CFOOE_gr_2yr,cashflow_growth,Growth,Positive
CFOOA_gr_2yr,cashflow_growth,Growth,Positive
ARTOS_gr_2yr,earnings_inflation,Earnings Management,Negative
S_gr_2yr,sales_growth,Growth,Positive
ROE_Abnormal,profitability_growth,Growth,Positive
ROA_Abnormal,profitability_growth,Growth,Positive
GPOE_Abnormal,profitability_growth,Growth,Positive
GPOA_Abnormal,profitability_growth,Growth,Positive
SOE_Abnormal,sales_growth,Growth,Positive
SOA_Abnormal,sales_growth,Growth,Positive
OPOE_Abnormal,profitability_growth,Growth,Positive
OPOA_Abnormal,profitability_growth,Growth,Positive
CFOOE_Abnormal,cashflow_growth,Growth,Positive
CFOOA_Abnormal,cashflow_growth,Growth,Positive
ARTOS_Abnormal,earnings_inflation,Earnings Management,Negative
S_Abnormal,sales_growth,Growth,Positive
profitability_growth,profitability_growth,Growth,Positive
sales_growth,sales_growth,Growth,Positive
cashflow_growth,cashflow_growth,Growth,Positive
noncashsales_growth,earnings_inflation,Earnings Management,Negative
ROE_Semi,profitability,Profitability,Positive
ROA_Semi,profitability,Profitability,Positive
GPOE_Semi,profitability,Profitability,Positive
GPOA_Semi,profitability,Profitability,Positive
SOE_Semi,profitability,Profitability,Positive
SOA_Semi,profitability,Profitability,Positive
OPOE_Semi,profitability,Profitability,Positive
OPOA_Semi,profitability,Profitability,Positive
CFOOE_Semi,cashflow_generation,Profitability,Positive
CFOOA_Semi,cashflow_generation,Profitability,Positive
ARTOS_Semi,earnings_inflation,Earnings Management,Negative
sales_Semi,sales,Sales,Positive
gross_profitability_Semi,profitability,Profitability,Positive
operating_profitability_Semi,profitability,Profitability,Positive
net_profitability_Semi,profitability,Profitability,Positive
cashflow_generation_Semi,cashflow_generation,Profitability,Positive
profitability_Semi,profitability,Profitability,Positive
ROE_Semi_gr_1yr,profitability_growth,Growth,Positive
ROA_Semi_gr_1yr,profitability_growth,Growth,Positive
GPOE_Semi_gr_1yr,profitability_growth,Growth,Positive
GPOA_Semi_gr_1yr,profitability_growth,Growth,Positive
SOE_Semi_gr_1yr,sales_growth,Growth,Positive
SOA_Semi_gr_1yr,sales_growth,Growth,Positive
OPOE_Semi_gr_1yr,profitability_growth,Growth,Positive
OPOA_Semi_gr_1yr,profitability_growth,Growth,Positive
CFOOE_Semi_gr_1yr,cashflow_growth,Growth,Positive
CFOOA_Semi_gr_1yr,cashflow_growth,Growth,Positive
ARTOS_Semi_gr_1yr,earnings_inflation,Earnings Management,Negative
S_Semi_gr_1yr,sales_growth,Growth,Positive
ROE_Semi_gr_2yr,profitability_growth,Growth,Positive
ROA_Semi_gr_2yr,profitability_growth,Growth,Positive
GPOE_Semi_gr_2yr,profitability_growth,Growth,Positive
GPOA_Semi_gr_2yr,profitability_growth,Growth,Positive
SOE_Semi_gr_2yr,sales_growth,Growth,Positive
SOA_Semi_gr_2yr,sales_growth,Growth,Positive
OPOE_Semi_gr_2yr,profitability_growth,Growth,Positive
OPOA_Semi_gr_2yr,profitability_growth,Growth,Positive
CFOOE_Semi_gr_2yr,cashflow_growth,Growth,Positive
CFOOA_Semi_gr_2yr,cashflow_growth,Growth,Positive
ARTOS_Semi_gr_2yr,earnings_inflation,Earnings Management,Negative
S_Semi_gr_2yr,sales_growth,Growth,Positive
ROE_Semi_Abnormal,profitability_growth,Growth,Positive
ROA_Semi_Abnormal,profitability_growth,Growth,Positive
GPOE_Semi_Abnormal,profitability_growth,Growth,Positive
GPOA_Semi_Abnormal,profitability_growth,Growth,Positive
SOE_Semi_Abnormal,sales_growth,Growth,Positive
SOA_Semi_Abnormal,sales_growth,Growth,Positive
OPOE_Semi_Abnormal,profitability_growth,Growth,Positive
OPOA_Semi_Abnormal,profitability_growth,Growth,Positive
CFOOE_Semi_Abnormal,cashflow_growth,Growth,Positive
CFOOA_Semi_Abnormal,cashflow_growth,Growth,Positive
ARTOS_Semi_Abnormal,earnings_inflation,Earnings Management,Negative
S_Semi_Abnormal,sales_growth,Growth,Positive
profitability_growth_Semi,profitability_growth,Growth,Positive
sales_growth_Semi,sales_growth,Growth,Positive
cashflow_growth_Semi,cashflow_growth,Growth,Positive
noncashsales_growth_Semi,earnings_inflation,Earnings Management,Negative
ROE_TTM,profitability,Profitability,Positive
ROA_TTM,profitability,Profitability,Positive
GPOE_TTM,profitability,Profitability,Positive
GPOA_TTM,profitability,Profitability,Positive
SOE_TTM,profitability,Profitability,Positive
SOA_TTM,profitability,Profitability,Positive
OPOE_TTM,profitability,Profitability,Positive
OPOA_TTM,profitability,Profitability,Positive
CFOOE_TTM,cashflow_generation,Profitability,Positive
CFOOA_TTM,cashflow_generation,Profitability,Positive
ARTOS_TTM,earnings_inflation,Earnings Management,Negative
sales_TTM,sales,Sales,Positive
gross_profitability_TTM,profitability,Profitability,Positive
operating_profitability_TTM,profitability,Profitability,Positive
net_profitability_TTM,profitability,Profitability,Positive
cashflow_generation_TTM,cashflow_generation,Profitability,Positive
profitability_TTM,profitability,Profitability,Positive
ROE_TTM_gr_1yr,profitability_growth,Growth,Positive
ROA_TTM_gr_1yr,profitability_growth,Growth,Positive
GPOE_TTM_gr_1yr,profitability_growth,Growth,Positive
GPOA_TTM_gr_1yr,profitability_growth,Growth,Positive
SOE_TTM_gr_1yr,sales_growth,Growth,Positive
SOA_TTM_gr_1yr,sales_growth,Growth,Positive
OPOE_TTM_gr_1yr,profitability_growth,Growth,Positive
OPOA_TTM_gr_1yr,profitability_growth,Growth,Positive
CFOOE_TTM_gr_1yr,cashflow_growth,Growth,Positive
CFOOA_TTM_gr_1yr,cashflow_growth,Growth,Positive
ARTOS_TTM_gr_1yr,earnings_inflation,Earnings Management,Negative
S_TTM_gr_1yr,sales_growth,Growth,Positive
ROE_TTM_gr_2yr,profitability_growth,Growth,Positive
ROA_TTM_gr_2yr,profitability_growth,Growth,Positive
GPOE_TTM_gr_2yr,profitability_growth,Growth,Positive
GPOA_TTM_gr_2yr,profitability_growth,Growth,Positive
SOE_TTM_gr_2yr,sales_growth,Growth,Positive
SOA_TTM_gr_2yr,sales_growth,Growth,Positive
OPOE_TTM_gr_2yr,profitability_growth,Growth,Positive
OPOA_TTM_gr_2yr,profitability_growth,Growth,Positive
CFOOE_TTM_gr_2yr,cashflow_growth,Growth,Positive
CFOOA_TTM_gr_2yr,cashflow_growth,Growth,Positive
ARTOS_TTM_gr_2yr,earnings_inflation,Earnings Management,Negative
S_TTM_gr_2yr,sales_growth,Growth,Positive
ROE_TTM_Abnormal,profitability_growth,Growth,Positive
ROA_TTM_Abnormal,profitability_growth,Growth,Positive
GPOE_TTM_Abnormal,profitability_growth,Growth,Positive
GPOA_TTM_Abnormal,profitability_growth,Growth,Positive
