formation_date,yyyy,mm,dd
1/31/2008,2008,1,31
4/30/2008,2008,4,30
7/31/2008,2008,7,31
10/31/2008,2008,10,31
1/31/2009,2009,1,31
4/30/2009,2009,4,30
7/31/2009,2009,7,31
10/31/2009,2009,10,31
1/31/2010,2010,1,31
4/30/2010,2010,4,30
7/31/2010,2010,7,31
10/31/2010,2010,10,31
1/31/2011,2011,1,31
4/30/2011,2011,4,30
7/31/2011,2011,7,31
10/31/2011,2011,10,31
1/31/2012,2012,1,31
4/30/2012,2012,4,30
7/31/2012,2012,7,31
10/31/2012,2012,10,31
1/31/2013,2013,1,31
4/30/2013,2013,4,30
7/31/2013,2013,7,31
10/31/2013,2013,10,31
1/31/2014,2014,1,31
4/30/2014,2014,4,30
7/31/2014,2014,7,31
10/31/2014,2014,10,31
1/31/2015,2015,1,31
4/30/2015,2015,4,30
7/31/2015,2015,7,31
10/31/2015,2015,10,31
1/31/2016,2016,1,31
4/30/2016,2016,4,30
7/31/2016,2016,7,31
10/31/2016,2016,10,31
1/31/2017,2017,1,31
4/30/2017,2017,4,30
7/31/2017,2017,7,31
10/31/2017,2017,10,31
1/31/2018,2018,1,31
4/30/2018,2018,4,30
7/31/2018,2018,7,31
10/31/2018,2018,10,31
1/31/2019,2019,1,31
4/30/2019,2019,4,30
7/31/2019,2019,7,31
10/31/2019,2019,10,31
1/31/2020,2020,1,31
4/30/2020,2020,4,30
7/31/2020,2020,7,31
10/31/2020,2020,10,31
1/31/2021,2021,1,31
4/30/2021,2021,4,30
7/31/2021,2021,7,31
10/31/2021,2021,10,31
1/31/2022,2022,1,31
4/30/2022,2022,4,30
7/31/2022,2022,7,31
10/31/2022,2022,10,31
1/31/2023,2023,1,31
4/30/2023,2023,4,30
7/31/2023,2023,7,31
10/31/2023,2023,10,31
1/31/2024,2024,1,31
4/30/2024,2024,4,30
7/31/2024,2024,7,31
10/31/2024,2024,10,31
1/31/2025,2025,1,31
4/30/2025,2025,4,30
7/31/2025,2025,7,31
10/31/2025,2025,10,31
1/31/2026,2026,1,31
4/30/2026,2026,4,30
7/31/2026,2026,7,31
10/31/2026,2026,10,31
1/31/2027,2027,1,31
4/30/2027,2027,4,30
7/31/2027,2027,7,31
10/31/2027,2027,10,31
1/31/2028,2028,1,31
4/30/2028,2028,4,30
7/31/2028,2028,7,31
10/31/2028,2028,10,31
1/31/2029,2029,1,31
4/30/2029,2029,4,30
7/31/2029,2029,7,31
10/31/2029,2029,10,31
1/31/2030,2030,1,31
4/30/2030,2030,4,30
7/31/2030,2030,7,31
10/31/2030,2030,10,31
