factor_list,factor_category
TO_1M,Liquidity
TO_3M,Liquidity
TO_6M,Liquidity
TO_12M,Liquidity
Abnm_TO,Liquidity
LNTO_1M,Liquidity
ILLIQ,Liquidity
LIQU,Liquidity
ps_liq,Liquidity
EQY_SH_OUT,Share_Num
VOLUME,Liquidity
MARKET_CAP,Size
REVS_1M,Trend
REVS_2M,Trend
REVS_3M,Trend
REVS10,Trend
REVS20,Trend
Momentum_2_7,Trend
Momentum_2_12,Trend
Momentum_2_15,Trend
Momentum_2_18,Trend
Momentum_2_24,Trend
Momentum_3_7,Trend
Momentum_3_12,Trend
Momentum_3_15,Trend
Momentum_3_18,Trend
Momentum_3_24,Trend
Momentum_6_12,Trend
Momentum_6_15,Trend
Momentum_6_18,Trend
Momentum_6_24,Trend
Momentum_12_18,Trend
Momentum_12_24,Trend
REVS_12_36,Trend
REVS_12_48,Trend
REVS_12_60,Trend
REVS_24_36,Trend
REVS_24_48,Trend
REVS_24_60,Trend
REVS_37_60,Trend
REVS10_path,Trend
REVS20_path,Trend
Momentum_2_7_path,Trend
Momentum_2_12_path,Trend
PPReversal,Trend
1m_average_price,Lottery
MaxRet,Lottery
RealizedVol_1M,Volatility
RealizedVol_3M,Volatility
RealizedVol_6M,Volatility
RealizedVol_12M,Volatility
RealizedSkew_1M,Volatility
RealizedSkew_3M,Volatility
RealizedSkew_6M,Volatility
RealizedSkew_12M,Volatility
ivol_1,Volatility
skew_1,Skewness
beta_1,Beta
semivar_1,SemiVar
ivol_2,Volatility
skew_2,Skewness
beta_2,Beta
semivar_2,SemiVar
ivol_6,Volatility
skew_6,Skewness
beta_6,Beta
semivar_6,SemiVar
ivol_12,Volatility
skew_12,Skewness
beta_12,Beta
semivar_12,SemiVar
coskew_1,Coskewness
coskew_2,Coskewness
coskew_6,Coskewness
coskew_12,Coskewness
rsj_1,RSJ
rsj_2,RSJ
rsj_6,RSJ
rsj_12,RSJ
