Stkcd,Indcd,Nindcd,Nnindcd
000001.SZ,1,I01,J66
000002.SZ,3,J,K70
000004.SZ,2,G87,I65
000005.SZ,2,K99,N77
000006.SZ,3,J,K70
000007.SZ,3,J,K70
000008.SZ,5,C75,C37
000009.SZ,4,M,S90
000010.SZ,3,E01,E48
000011.SZ,3,J,K70
000012.SZ,5,C61,C30
000014.SZ,3,J,K70
000016.SZ,5,G,C39
000017.SZ,5,C75,C37
000018.SZ,4,E05,E50
000019.SZ,6,H,F51
000020.SZ,5,G,C39
000021.SZ,5,G,C39
000022.SZ,2,F07,G55
000023.SZ,5,C61,C30
000024.SZ,3,J,K70
000025.SZ,6,H,F51
000026.SZ,6,H11,F52
000027.SZ,5,D01,D44
000028.SZ,6,H,F51
000029.SZ,3,J,K70
000030.SZ,5,C75,C36
000031.SZ,3,J,K70
000032.SZ,6,H,F51
000033.SZ,6,K32,H61
000034.SZ,6,H,F51
000035.SZ,2,K99,N77
000036.SZ,3,J,K70
000037.SZ,5,D01,D44
000038.SZ,2,K99,L72
000039.SZ,5,C69,C33
000040.SZ,5,D01,D44
000042.SZ,3,J,K70
000043.SZ,3,J,K70
000045.SZ,5,G,C39
000046.SZ,1,I99,J69
000048.SZ,5,C01,C13
000049.SZ,5,C76,C38
000050.SZ,5,G,C39
000055.SZ,5,C69,C33
000056.SZ,2,K99,L72
000058.SZ,2,K99,L72
000059.SZ,5,C41,C25
000060.SZ,5,C67,C32
000061.SZ,2,K99,L72
000062.SZ,6,H,F51
000063.SZ,5,G,C39
000065.SZ,3,E01,E48
000066.SZ,5,G,C39
000068.SZ,2,K20,M74
000069.SZ,3,J,K70
000070.SZ,5,C76,C38
000078.SZ,6,H11,F52
000088.SZ,2,F03,G54
000089.SZ,2,F09,G56
000090.SZ,3,E01,E48
000096.SZ,6,H,F51
000099.SZ,2,F09,G56
000100.SZ,5,G,C39
000150.SZ,2,K37,Q83
000151.SZ,6,H,F51
000153.SZ,5,C81,C27
000155.SZ,5,D01,D44
000156.SZ,2,L10,R86
000157.SZ,5,C73,C35
000158.SZ,2,G87,I65
000159.SZ,6,H,F51
000166.SZ,1,I21,J67
000301.SZ,5,C47,C28
000333.SZ,5,C76,C38
000338.SZ,5,C75,C36
000400.SZ,5,C76,C38
000401.SZ,5,C61,C30
000402.SZ,3,J,K70
000403.SZ,5,C81,C27
000404.SZ,5,C71,C34
000407.SZ,5,D03,D45
000408.SZ,5,C43,C26
000409.SZ,4,M,S90
000410.SZ,5,C71,C34
000411.SZ,6,H,F51
000413.SZ,5,G,C39
000415.SZ,2,K39,L71
000416.SZ,1,I99,J69
000417.SZ,6,H11,F52
000418.SZ,5,C76,C38
000419.SZ,6,H11,F52
000420.SZ,5,C47,C28
000421.SZ,5,D03,D45
000422.SZ,5,C43,C26
000423.SZ,5,C81,C27
000425.SZ,5,C73,C35
000426.SZ,5,B07,B09
000428.SZ,6,K32,H61
000429.SZ,2,F03,G54
000430.SZ,2,K01,N78
000488.SZ,5,C31,C22
000498.SZ,3,E01,E48
000501.SZ,6,H11,F52
000502.SZ,3,J,K70
000503.SZ,2,G87,I64
000504.SZ,2,K20,M75
000505.SZ,5,C01,C13
000506.SZ,5,B07,B09
000507.SZ,2,F07,G55
000509.SZ,5,C4,C29
000510.SZ,5,C43,C26
000511.SZ,5,C61,C30
000513.SZ,5,C81,C27
000514.SZ,3,J,K70
000515.SZ,5,C43,C26
000516.SZ,2,K37,Q83
000517.SZ,3,J,K70
000518.SZ,5,C81,C27
000519.SZ,5,C73,C35
000520.SZ,2,F07,G55
000521.SZ,5,C76,C38
000522.SZ,5,C81,C27
000523.SZ,5,C43,C26
000524.SZ,6,K32,H61
000525.SZ,5,C43,C26
000526.SZ,2,K99,P82
000527.SZ,5,C76,C38
000528.SZ,5,C73,C35
000529.SZ,5,C01,C13
000530.SZ,5,C71,C34
000531.SZ,5,D01,D44
000532.SZ,4,M,S90
000533.SZ,5,C76,C38
000534.SZ,5,C81,C27
000536.SZ,5,G,C39
000537.SZ,3,J,K70
000538.SZ,5,C81,C27
000539.SZ,5,D01,D44
000540.SZ,3,J,K70
000541.SZ,5,C76,C38
000543.SZ,5,D01,D44
000544.SZ,2,D05,D46
000545.SZ,5,C43,C26
000546.SZ,2,K99,N77
000547.SZ,5,G,C39
000548.SZ,2,F03,G54
000549.SZ,5,C75,C36
000550.SZ,5,C75,C36
000551.SZ,4,M,S90
000552.SZ,5,B01,B06
000553.SZ,5,C43,C26
000554.SZ,6,H,F51
000555.SZ,2,G87,I65
000557.SZ,2,F01,G53
000558.SZ,3,J,K70
000559.SZ,5,C75,C36
000560.SZ,3,J,K70
000561.SZ,5,G,C39
000562.SZ,1,I21,J67
000563.SZ,1,I99,J69
000564.SZ,6,H11,F52
000565.SZ,5,C43,C26
000566.SZ,5,C81,C27
000567.SZ,1,I99,J69
000568.SZ,5,C05,C15
000569.SZ,5,C65,C31
000570.SZ,5,C71,C34
000571.SZ,4,M,S90
000572.SZ,5,C75,C36
000573.SZ,3,J,K70
000576.SZ,5,C73,C35
000578.SZ,5,C43,C26
000581.SZ,5,C75,C36
000582.SZ,2,F07,G55
000583.SZ,2,G87,I65
000584.SZ,5,C73,C35
000585.SZ,5,C76,C38
000586.SZ,5,G,C39
000587.SZ,5,C99,C41
000589.SZ,5,C4,C29
000590.SZ,5,C81,C27
000591.SZ,5,D01,D44
000592.SZ,4,A03,A02
000593.SZ,5,D03,D45
000594.SZ,6,H,F51
000595.SZ,5,C71,C34
000596.SZ,5,C05,C15
000597.SZ,5,C81,C27
000598.SZ,2,D05,D46
000599.SZ,5,C4,C29
000600.SZ,5,D01,D44
000601.SZ,5,D01,D44
000602.SZ,5,D01,D44
000603.SZ,5,B07,B09
000605.SZ,2,D05,D46
000606.SZ,2,G87,I64
000607.SZ,2,L01,R85
000608.SZ,3,J,K70
000609.SZ,4,M,S90
000610.SZ,2,K01,N78
000611.SZ,5,C11,C17
000612.SZ,5,C67,C32
000613.SZ,6,K32,H61
000615.SZ,3,J,K70
000616.SZ,3,J,K70
000617.SZ,1,I21,J67
000619.SZ,5,C4,C29
000620.SZ,3,J,K70
000622.SZ,5,C73,C35
000623.SZ,5,C81,C27
000625.SZ,5,C75,C36
000626.SZ,6,H,F51
000627.SZ,1,I11,J68
000628.SZ,3,E01,E47
000629.SZ,5,C67,C32
000630.SZ,5,C67,C32
000631.SZ,3,J,K70
000632.SZ,6,H,F51
000633.SZ,5,C67,C32
000635.SZ,5,C43,C26
000636.SZ,5,G,C39
000637.SZ,5,C41,C25
000638.SZ,2,G87,I65
000639.SZ,5,C01,C13
000650.SZ,5,C81,C27
000651.SZ,5,C76,C38
000652.SZ,6,H,F51
000655.SZ,5,B05,B08
000656.SZ,3,J,K70
000657.SZ,5,C67,C32
000659.SZ,5,C4,C29
000661.SZ,5,C81,C27
000662.SZ,2,G87,I65
000663.SZ,5,C25,C21
000665.SZ,2,L10,R86
000666.SZ,1,I21,J67
000667.SZ,3,J,K70
000668.SZ,3,J,K70
000669.SZ,5,D03,D45
000670.SZ,5,G,C39
000671.SZ,3,J,K70
000672.SZ,5,C61,C30
000673.SZ,2,L15,R87
000676.SZ,2,G87,I64
000677.SZ,5,C47,C28
000678.SZ,5,C71,C34
000679.SZ,6,H11,F52
000680.SZ,5,C73,C35
000681.SZ,2,L15,R87
