,SECUCODE
0,000001.SZ
1,000002.SZ
2,000004.SZ
3,000005.SZ
4,000006.SZ
5,000007.SZ
6,000008.SZ
7,000009.SZ
8,000010.SZ
9,000011.SZ
10,000012.SZ
11,000014.SZ
12,000016.SZ
13,000017.SZ
14,000018.SZ
15,000019.SZ
16,000020.SZ
17,000021.SZ
18,000022.SZ
19,000023.SZ
20,000025.SZ
21,000026.SZ
22,000027.SZ
23,000028.SZ
24,000029.SZ
25,000030.SZ
26,000031.SZ
27,000032.SZ
28,000033.SZ
29,000034.SZ
30,000035.SZ
31,000036.SZ
32,000037.SZ
33,000038.SZ
34,000039.SZ
35,000040.SZ
36,000042.SZ
37,000043.SZ
38,000045.SZ
39,000046.SZ
40,000048.SZ
41,000049.SZ
42,000050.SZ
43,000055.SZ
44,000056.SZ
45,000058.SZ
46,000059.SZ
47,000060.SZ
48,000061.SZ
49,000062.SZ
50,000063.SZ
51,000065.SZ
52,000066.SZ
53,000068.SZ
54,000069.SZ
55,000070.SZ
56,000078.SZ
57,000088.SZ
58,000089.SZ
59,000090.SZ
60,000096.SZ
61,000099.SZ
62,000100.SZ
63,000150.SZ
64,000151.SZ
65,000153.SZ
66,000155.SZ
67,000156.SZ
68,000157.SZ
69,000158.SZ
70,000159.SZ
71,000166.SZ
72,000301.SZ
73,000333.SZ
74,000338.SZ
75,000400.SZ
76,000401.SZ
77,000402.SZ
78,000403.SZ
79,000404.SZ
80,000407.SZ
81,000408.SZ
82,000409.SZ
83,000410.SZ
84,000411.SZ
85,000413.SZ
86,000415.SZ
87,000416.SZ
88,000417.SZ
89,000418.SZ
90,000419.SZ
91,000420.SZ
92,000421.SZ
93,000422.SZ
94,000423.SZ
95,000425.SZ
96,000426.SZ
97,000428.SZ
98,000429.SZ
99,000430.SZ
100,000488.SZ
101,000498.SZ
102,000501.SZ
103,000502.SZ
104,000503.SZ
105,000504.SZ
106,000505.SZ
107,000506.SZ
108,000507.SZ
109,000509.SZ
110,000510.SZ
111,000511.SZ
112,000513.SZ
113,000514.SZ
114,000516.SZ
115,000517.SZ
116,000518.SZ
117,000519.SZ
118,000520.SZ
119,000521.SZ
120,000523.SZ
121,000524.SZ
122,000525.SZ
123,000526.SZ
124,000528.SZ
125,000529.SZ
126,000530.SZ
127,000531.SZ
128,000532.SZ
129,000533.SZ
130,000534.SZ
131,000536.SZ
132,000537.SZ
133,000538.SZ
134,000539.SZ
135,000540.SZ
136,000541.SZ
137,000543.SZ
138,000544.SZ
139,000545.SZ
140,000546.SZ
141,000547.SZ
142,000548.SZ
143,000550.SZ
144,000551.SZ
145,000552.SZ
146,000553.SZ
147,000554.SZ
148,000555.SZ
149,000557.SZ
150,000558.SZ
151,000559.SZ
152,000560.SZ
153,000561.SZ
154,000563.SZ
155,000564.SZ
156,000565.SZ
157,000566.SZ
158,000567.SZ
159,000568.SZ
