,SECUCODE
0,000001.SZ
1,000002.SZ
2,000006.SZ
3,000008.SZ
4,000009.SZ
5,000012.SZ
6,000016.SZ
7,000019.SZ
8,000021.SZ
9,000025.SZ
10,000027.SZ
11,000028.SZ
12,000030.SZ
13,000031.SZ
14,000032.SZ
15,000034.SZ
16,000035.SZ
17,000039.SZ
18,000046.SZ
19,000049.SZ
20,000050.SZ
21,000058.SZ
22,000059.SZ
23,000060.SZ
24,000061.SZ
25,000062.SZ
26,000063.SZ
27,000065.SZ
28,000066.SZ
29,000069.SZ
30,000070.SZ
31,000078.SZ
32,000089.SZ
33,000090.SZ
34,000100.SZ
35,000156.SZ
36,000157.SZ
37,000158.SZ
38,000166.SZ
39,000301.SZ
40,000333.SZ
41,000338.SZ
42,000400.SZ
43,000401.SZ
44,000402.SZ
45,000413.SZ
46,000415.SZ
47,000423.SZ
48,000425.SZ
49,000488.SZ
50,000501.SZ
51,000513.SZ
52,000516.SZ
53,000517.SZ
54,000519.SZ
55,000528.SZ
56,000537.SZ
57,000538.SZ
58,000540.SZ
59,000543.SZ
60,000544.SZ
61,000546.SZ
62,000547.SZ
63,000550.SZ
64,000553.SZ
65,000555.SZ
66,000559.SZ
67,000560.SZ
68,000563.SZ
69,000564.SZ
70,000568.SZ
71,000581.SZ
72,000582.SZ
73,000591.SZ
74,000596.SZ
75,000597.SZ
76,000598.SZ
77,000600.SZ
78,000601.SZ
79,000603.SZ
80,000617.SZ
81,000620.SZ
82,000623.SZ
83,000625.SZ
84,000627.SZ
85,000629.SZ
86,000630.SZ
87,000650.SZ
88,000651.SZ
89,000652.SZ
90,000656.SZ
91,000661.SZ
92,000667.SZ
93,000671.SZ
94,000672.SZ
95,000676.SZ
96,000681.SZ
97,000682.SZ
98,000683.SZ
99,000685.SZ
100,000686.SZ
101,000688.SZ
102,000690.SZ
103,000700.SZ
104,000703.SZ
105,000708.SZ
106,000709.SZ
107,000710.SZ
108,000712.SZ
109,000717.SZ
110,000718.SZ
111,000719.SZ
112,000720.SZ
113,000723.SZ
114,000725.SZ
115,000728.SZ
116,000729.SZ
117,000732.SZ
118,000733.SZ
119,000735.SZ
120,000738.SZ
121,000739.SZ
122,000750.SZ
123,000756.SZ
124,000758.SZ
125,000766.SZ
126,000768.SZ
127,000776.SZ
128,000778.SZ
129,000783.SZ
130,000785.SZ
131,000786.SZ
132,000789.SZ
133,000793.SZ
134,000795.SZ
135,000796.SZ
136,000799.SZ
137,000800.SZ
138,000802.SZ
139,000807.SZ
140,000810.SZ
141,000818.SZ
142,000823.SZ
143,000825.SZ
144,000826.SZ
145,000829.SZ
146,000830.SZ
147,000831.SZ
148,000839.SZ
149,000848.SZ
150,000858.SZ
151,000860.SZ
152,000869.SZ
153,000875.SZ
154,000876.SZ
155,000877.SZ
156,000878.SZ
157,000881.SZ
158,000883.SZ
159,000887.SZ
