,SECUCODE
0,000001.SZ
1,000002.SZ
2,000006.SZ
3,000008.SZ
4,000009.SZ
5,000012.SZ
6,000016.SZ
7,000019.SZ
8,000021.SZ
9,000025.SZ
10,000027.SZ
11,000028.SZ
12,000029.SZ
13,000030.SZ
14,000031.SZ
15,000032.SZ
16,000034.SZ
17,000035.SZ
18,000039.SZ
19,000046.SZ
20,000049.SZ
21,000050.SZ
22,000058.SZ
23,000059.SZ
24,000060.SZ
25,000061.SZ
26,000062.SZ
27,000063.SZ
28,000065.SZ
29,000066.SZ
30,000069.SZ
31,000070.SZ
32,000078.SZ
33,000089.SZ
34,000090.SZ
35,000100.SZ
36,000156.SZ
37,000157.SZ
38,000158.SZ
39,000166.SZ
40,000301.SZ
41,000333.SZ
42,000338.SZ
43,000400.SZ
44,000401.SZ
45,000402.SZ
46,000413.SZ
47,000415.SZ
48,000423.SZ
49,000425.SZ
50,000488.SZ
51,000501.SZ
52,000513.SZ
53,000516.SZ
54,000517.SZ
55,000519.SZ
56,000528.SZ
57,000537.SZ
58,000538.SZ
59,000540.SZ
60,000543.SZ
61,000544.SZ
62,000546.SZ
63,000547.SZ
64,000550.SZ
65,000553.SZ
66,000555.SZ
67,000559.SZ
68,000560.SZ
69,000563.SZ
70,000564.SZ
71,000568.SZ
72,000581.SZ
73,000582.SZ
74,000591.SZ
75,000596.SZ
76,000597.SZ
77,000598.SZ
78,000600.SZ
79,000601.SZ
80,000603.SZ
81,000617.SZ
82,000620.SZ
83,000623.SZ
84,000625.SZ
85,000627.SZ
86,000629.SZ
87,000630.SZ
88,000650.SZ
89,000651.SZ
90,000652.SZ
91,000656.SZ
92,000661.SZ
93,000667.SZ
94,000671.SZ
95,000672.SZ
96,000676.SZ
97,000681.SZ
98,000682.SZ
99,000683.SZ
100,000685.SZ
101,000686.SZ
102,000688.SZ
103,000690.SZ
104,000700.SZ
105,000703.SZ
106,000708.SZ
107,000709.SZ
108,000710.SZ
109,000712.SZ
110,000717.SZ
111,000718.SZ
112,000719.SZ
113,000720.SZ
114,000723.SZ
115,000725.SZ
116,000728.SZ
117,000729.SZ
118,000732.SZ
119,000733.SZ
120,000735.SZ
121,000738.SZ
122,000739.SZ
123,000750.SZ
124,000756.SZ
125,000758.SZ
126,000766.SZ
127,000768.SZ
128,000776.SZ
129,000778.SZ
130,000783.SZ
131,000785.SZ
132,000786.SZ
133,000789.SZ
134,000793.SZ
135,000795.SZ
136,000796.SZ
137,000799.SZ
138,000800.SZ
139,000802.SZ
140,000807.SZ
141,000810.SZ
142,000818.SZ
143,000823.SZ
144,000825.SZ
145,000826.SZ
146,000829.SZ
147,000830.SZ
148,000831.SZ
149,000839.SZ
150,000848.SZ
151,000858.SZ
152,000860.SZ
153,000869.SZ
154,000875.SZ
155,000876.SZ
156,000877.SZ
157,000878.SZ
158,000881.SZ
159,000883.SZ
