CCY1,CCY2,FixingDate,SettlementDate,Amount1,Amount2,Portfolio
USD,SEK,SPOT,SPOT,,0,AQM
USD,NOK,SPOT,SPOT,,5049000,AQM
USD,JPY,SPOT,SPOT,,187507000,AQM
USD,CHF,SPOT,SPOT,,1007000,AQM
USD,CAD,SPOT,SPOT,,-2819000,AQM
NZD,USD,SPOT,SPOT,-2403000,,AQM
GBP,USD,SPOT,SPOT,-1200000,,AQM
EUR,USD,SPOT,SPOT,-3423000,,AQM
AUD,USD,SPOT,SPOT,-1490000,,AQM
USD,SGD,SPOT,SPOT,,-4672000,AQM
USD,THB,SPOT,SPOT,,-43634000,AQM
USD,KRW,16/12/2019,18/12/2019,,6418108000,AQM
USD,TWD,16/12/2019,18/12/2019,,-90034000,AQM
USD,INR,16/12/2019,18/12/2019,,118229000,AQM
USD,IDR,16/12/2019,18/12/2019,,-12236481000,AQM
