,25%,50%,75%,count,diff_stat_p,end,freq_day,max,mean,min,missing_pct,raw_stat_p,start,std
AS51 Index,2815.45,4076.884,5263.907,6939.0,0.0,2019-10-23,1.4424906313058519,6845.0830000000005,4000.506556996688,1358.5,0.0,0.794051678849992,1992-05-29,1433.770663085596
AUDI1M Curncy,2.0267,2.45,3.0638,2381.0,6.312772496366224e-17,2019-10-23,1.4,4.9569,2.7803501889962177,0.701,0.0,0.8369271241189684,2010-09-08,1.0476911237350026
AUDI3M Curncy,3.354125,4.976649999999999,6.2326,7778.0,,2019-10-23,1.3998971325704,18.9236,5.255264682437643,0.8802,0.0,0.00045623906072534006,1990-01-01,2.6674853224341484
AUSTLA CDS USD SR 5Y D14 Corp,27.187250000000002,43.49,58.173,2028.0,2.2200858226195306e-12,2019-10-23,2.0123334977799705,167.4,48.02579783037482,11.907,0.0,0.19941005632013342,2008-08-22,26.062021163246804
BISBAUN Index,83.44,89.07,95.525,6139.0,0.0,2019-10-22,1.4001303356142065,112.71,89.3713487538686,66.04,0.0,0.2803797977024787,1996-04-11,10.090737722599936
BISBAUR Index,75.48,87.17,93.6,309.0,3.325477228207133e-22,2019-09-30,30.431818181818183,111.57,86.01802588996757,64.79,0.0,0.39882667230272,1994-01-31,11.847634962604126
BISBCAN Index,75.285,84.5,95.24,6139.0,0.0,2019-10-22,1.4001303356142065,112.54,85.69208665906476,68.87,0.0,0.4734295168917465,1996-04-11,10.649084312940797
BISBCAR Index,80.18,83.14,95.0,309.0,3.349181083948644e-26,2019-09-30,30.431818181818183,106.76,86.36051779935278,71.81,0.0,0.47732281424006845,1994-01-31,9.119591177103656
BISBCHN Index,84.72,90.46,114.44,6139.0,2.1895908009089086e-30,2019-10-22,1.4001303356142065,135.24,98.41026714448607,74.16,0.0,0.919337968354714,1996-04-11,16.73834663055799
BISBCHR Index,95.27,100.01,104.85,309.0,9.027971710584428e-29,2019-09-30,30.431818181818183,120.59,100.29695792880266,87.84,0.0,0.21471092201407105,1994-01-31,6.184064234467207
