,25%,50%,75%,count,end,freq_day,max,mean,min,missing_pct,start,std
ADP CHNG Index,54.2,163.9,212.9,209.0,2019-09-30,30.4375,359.7,96.40622009569377,-705.7,0.0,2002-05-31,194.41408105651058
AHE MOM% Index,0.1,0.2,0.3,162.0,2019-09-30,30.440993788819874,0.6,0.2024691358024692,-0.2,0.0,2006-04-30,0.1478418734269117
ANZCWMOM Index,-1.0,0.3,1.4,357.0,2019-09-30,30.43258426966292,12.6,0.24201680672268894,-7.4,0.0,1990-01-31,2.44046513565927
AUBAC Index,-3.9,-0.05,4.5,356.0,2019-09-30,30.43258426966292,31.6,0.30056179775280917,-21.9,0.0028011204481792618,1990-01-31,7.3599295556259134
AUBAY Index,-10.774999999999999,1.2,15.425,356.0,2019-09-30,30.43258426966292,63.8,2.1348314606741563,-43.6,0.0028011204481792618,1990-01-31,19.395463974558997
AUCABAL Index,-13907.25,-9415.5,-5240.25,118.0,2019-09-30,91.3135593220339,5900.0,-9922.440677966102,-22240.0,0.008403361344537785,1990-03-31,5482.950554081451
AUCANXP Index,-0.5,0.1,0.525,40.0,2019-09-30,91.3,1.5,0.01999999999999998,-2.4,0.024390243902439046,2009-09-30,0.7864884630839173
AUCECHG Index,-2.35,1.2,4.475,118.0,2019-09-30,91.3135593220339,15.7,1.246610169491525,-8.6,0.008403361344537785,1990-03-31,4.791742937246095
AUCPICHG Index,0.3,0.55,0.8,118.0,2019-09-30,89.79166666666667,3.8,0.6228813559322037,-0.4,0.024793388429752095,1990-03-31,0.5618058515742806
AUCPIYOY Index,1.6250000000000002,2.4,3.1,118.0,2019-09-30,90.54621848739495,8.7,2.607627118644068,-0.4,0.01666666666666672,1990-03-31,1.5428443473934537
AUHFCHG Index,-1.3,0.1,1.5,205.0,2019-08-31,30.43404255319149,7.9,0.008780487804878058,-7.7,0.1313559322033898,2000-01-31,2.680214539190473
AUITGSB Index,-1565.75,-643.0,80.5,356.0,2019-09-30,29.682191780821917,7947.0,-535.8005617977528,-4271.0,0.02732240437158473,1990-01-31,1657.9832419342767
AULFEMPC Index,-0.6,12.2,33.2,357.0,2019-09-30,30.01108033240997,81.9,14.328011204481788,-74.9,0.013812154696132617,1990-01-31,25.959908582617377
AULFUNEM Index,5.3,6.0,7.8,357.0,2019-09-30,29.601092896174862,11.2,6.599719887955178,4.0,0.027247956403269713,1990-01-31,1.8366967570877384
AUNAGDPC Index,0.4,0.7,1.0,118.0,2019-09-30,91.3135593220339,3.0,0.7381355932203393,-1.3,0.008403361344537785,1990-03-31,0.5919574210151813
AUNAGDPY Index,2.2,2.9,4.074999999999999,118.0,2019-09-30,91.3135593220339,5.6,3.015254237288135,-1.4,0.008403361344537785,1990-03-31,1.3692363033709964
AUPGOP Index,-0.2,2.1,4.5,99.0,2019-09-30,91.3030303030303,34.7,2.2696969696969687,-11.2,0.010000000000000009,1994-12-31,5.8276514425458785
AUPPFYOY Index,1.2750000000000001,1.95,3.2500000000000004,80.0,2019-09-30,91.3125,6.3,2.2687499999999985,-1.5,0.012345679012345734,1999-09-30,1.4224772250184543
AURBA$ Index,47.0,60.0,98.0,357.0,2019-09-30,30.43258426966292,149.4,74.06890756302525,41.2,0.0,1990-01-31,28.764216068761897
AURSTSA Index,0.0,0.3,0.8,356.0,2019-09-30,30.43258426966292,8.1,0.39859550561797746,-10.6,0.0028011204481792618,1990-01-31,1.072038071839196
AUWCQSA Index,0.61,0.79,0.95,87.0,2019-09-30,91.29885057471265,1.24,0.7897701149425287,0.4,0.011363636363636354,1997-12-31,0.19763118699548018
AUWCYSA Index,2.6,3.3499999999999996,3.8,84.0,2019-09-30,91.30952380952381,4.3,3.2130952380952387,1.9,0.0117647058823529,1998-09-30,0.7214075535301138
BAKEOIL Index,237.0,356.0,659.0,1553.0,2019-10-18,7.009020618556701,1609.0,501.83129426915644,98.0,0.0,1990-01-05,382.11017784780756
BOJDBBAL Index,0.1,0.1,0.1,5.0,2016-12-20,46.57142857142857,0.1,0.1,0.1,0.375,2016-01-29,0.0
BOJDMBAL Index,0.0,0.0,0.0,5.0,2016-12-20,46.57142857142857,0.0,0.0,0.0,0.375,2016-01-29,0.0
BOJDPBAL index,-0.1,0.1,0.1,2853.0,2019-10-23,1.405680224403927,0.3,0.034945671223273266,-0.1,0.0,2008-10-31,0.09881116012029813
BOJDPRLT Index,0.0,0.0,0.0,25.0,2019-09-19,45.541666666666664,0.0,0.0,0.0,0.0,2016-09-21,0.0
