CCY1,CCY2,FixingDate,SettlementDate,Amount1,Amount2,Portfolio
USD,SEK,SPOT,SPOT,,-3289000,AQM
USD,NOK,SPOT,SPOT,,-4924000,AQM
USD,JPY,SPOT,SPOT,,98292000,AQM
USD,CHF,SPOT,SPOT,,1247000,AQM
USD,CAD,SPOT,SPOT,,371000,AQM
NZD,USD,SPOT,SPOT,1467000,,AQM
GBP,USD,SPOT,SPOT,327000,,AQM
EUR,USD,SPOT,SPOT,1657000,,AQM
AUD,USD,SPOT,SPOT,395000,,AQM
USD,SGD,SPOT,SPOT,,2160000,AQM
USD,THB,SPOT,SPOT,,3988000,AQM
USD,KRW,16/12/2019,18/12/2019,,122581000,AQM
USD,TWD,16/12/2019,18/12/2019,,4648000,AQM
USD,INR,16/12/2019,18/12/2019,,62890000,AQM
USD,IDR,16/12/2019,18/12/2019,,4816497000,AQM
