Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2011-12-05,1132.63,1132.63,1132.63
2011-12-06,1134.42,1134.42,1134.42
2011-12-07,1128.0,1128.0,1128.0
2011-12-08,1133.86,1133.86,1133.86
2011-12-09,1150.26,1150.26,1150.26
2011-12-12,1149.67,1149.67,1149.67
2011-12-13,1157.05,1157.05,1157.05
2011-12-14,1158.75,1158.75,1158.75
2011-12-15,1165.45,1165.45,1165.45
2011-12-16,1161.47,1161.47,1161.47
2011-12-19,1177.58,1177.58,1177.58
2011-12-20,1164.58,1164.58,1164.58
2011-12-21,1150.63,1150.63,1150.63
2011-12-22,1158.45,1158.45,1158.45
2011-12-23,1152.15,1152.15,1152.15
2011-12-26,1157.87,1157.87,1157.87
2011-12-27,1160.8,1160.8,1160.8
2011-12-28,1157.75,1157.75,1157.75
2011-12-29,1154.74,1154.74,1154.74
2011-12-30,1155.23,1155.23,1155.23
2012-01-02,1158.65,1158.65,1158.65
2012-01-03,1153.38,1153.38,1153.38
2012-01-04,1151.27,1151.27,1151.27
2012-01-05,1154.84,1154.84,1154.84
2012-01-06,1165.13,1165.13,1165.13
2012-01-09,1166.28,1166.28,1166.28
2012-01-10,1159.28,1159.28,1159.28
2012-01-11,1161.33,1161.33,1161.33
2012-01-12,1160.41,1160.41,1160.41
2012-01-13,1150.73,1150.73,1150.73
2012-01-16,1157.51,1157.51,1157.51
2012-01-17,1148.06,1148.06,1148.06
2012-01-18,1144.48,1144.48,1144.48
2012-01-19,1140.13,1140.13,1140.13
2012-01-20,1136.9,1136.9,1136.9
2012-01-23,1133.58,1133.58,1133.58
2012-01-24,1130.5,1130.5,1130.5
2012-01-25,1128.5,1128.5,1128.5
2012-01-26,1124.34,1124.34,1124.34
2012-01-27,1125.91,1125.91,1125.91
2012-01-30,1129.91,1129.91,1129.91
2012-01-31,1126.07,1126.07,1126.07
2012-02-01,1129.18,1129.18,1129.18
2012-02-02,1121.24,1121.24,1121.24
2012-02-03,1120.26,1120.26,1120.26
2012-02-06,1123.34,1123.34,1123.34
2012-02-07,1121.23,1121.23,1121.23
2012-02-08,1118.16,1118.16,1118.16
2012-02-09,1118.12,1118.12,1118.12
2012-02-10,1126.23,1126.23,1126.23
2012-02-13,1124.43,1124.43,1124.43
2012-02-14,1126.24,1126.24,1126.24
2012-02-15,1123.69,1123.69,1123.69
2012-02-16,1134.24,1134.24,1134.24
2012-02-17,1127.77,1127.77,1127.77
2012-02-20,1125.73,1125.73,1125.73
2012-02-21,1124.94,1124.94,1124.94
2012-02-22,1128.34,1128.34,1128.34
2012-02-23,1131.25,1131.25,1131.25
2012-02-24,1127.7,1127.7,1127.7
2012-02-27,1131.81,1131.81,1131.81
