Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-02-28,,,1.3214
2007-03-01,,,1.3221
2007-03-02,,,1.3173
2007-03-05,,,1.3159999999999998
2007-03-06,,,1.311
2007-03-07,,,1.3126
2007-03-08,,,1.3173
2007-03-09,,,1.3151
2007-03-12,,,1.3121
2007-03-13,,,1.3177
2007-03-14,,,1.32
2007-03-15,,,1.3222
2007-03-16,,,1.3292
2007-03-19,,,1.33
2007-03-20,,,1.3301
2007-03-21,,,1.3316
2007-03-22,,,1.3386
2007-03-23,,,1.3326
2007-03-26,,,1.3272
2007-03-27,,,1.3329
2007-03-28,,,1.335
2007-03-29,,,1.3324
2007-03-30,,,1.3341
2007-04-02,,,1.335
2007-04-03,,,1.3356
2007-04-04,,,1.3336
2007-04-05,,,1.3359
2007-04-06,,,1.3417
2007-04-09,,,1.3358
2007-04-10,,,1.3418
2007-04-11,,,1.3430000000000002
2007-04-12,,,1.3462
2007-04-13,,,1.3514
2007-04-16,,,1.3545
2007-04-17,,,1.3542
2007-04-18,,,1.3589
2007-04-19,,,1.3593
2007-04-20,,,1.3613
2007-04-23,,,1.3582
2007-04-24,,,1.3568
2007-04-25,,,1.3638
2007-04-26,,,1.3651
2007-04-27,,,1.3593
2007-04-30,,,1.3634
2007-05-01,,,1.365
2007-05-02,,,1.3591
2007-05-03,,,1.3605
2007-05-04,,,1.3559
2007-05-07,,,1.3608
2007-05-08,,,1.3617
2007-05-09,,,1.3548
2007-05-10,,,1.3546
2007-05-11,,,1.3479
2007-05-14,,,1.3545
2007-05-15,,,1.3539
2007-05-16,,,1.3607
2007-05-17,,,1.3527
2007-05-18,,,1.3486
2007-05-21,,,1.3515
2007-05-22,,,1.3466
2007-05-23,,,1.3461
2007-05-24,,,1.3458
2007-05-25,,,1.3425
2007-05-28,,,1.3452
2007-05-29,,,1.3439
2007-05-30,,,1.3443
2007-05-31,,,1.3433
2007-06-01,,,1.345
2007-06-04,,,1.3455
2007-06-05,,,1.3493
2007-06-06,,,1.3528
2007-06-07,,,1.3509
2007-06-08,,,1.3427
2007-06-11,,,1.3356
2007-06-12,,,1.3363
2007-06-13,,,1.3313
2007-06-14,,,1.3313
2007-06-15,,,1.3321
2007-06-18,,,1.3389
2007-06-19,,,1.3435
2007-06-20,,,1.3425
2007-06-21,,,1.34
2007-06-22,,,1.3401
2007-06-25,,,1.3458
2007-06-26,,,1.3465
2007-06-27,,,1.3436
2007-06-28,,,1.3462
2007-06-29,,,1.3452
2007-07-02,,,1.3538
2007-07-03,,,1.3621
2007-07-04,,,1.3621
2007-07-05,,,1.3615
2007-07-06,,,1.3584
2007-07-09,,,1.362
2007-07-10,,,1.3607
2007-07-11,,,1.3756
2007-07-12,,,1.3758
2007-07-13,,,1.3779
2007-07-16,,,1.379
2007-07-17,,,1.3785
2007-07-18,,,1.3814
2007-07-19,,,1.379
2007-07-20,,,1.3801
2007-07-23,,,1.3841
2007-07-24,,,1.3823
2007-07-25,,,1.3815
2007-07-26,,,1.3722
2007-07-27,,,1.3732
2007-07-30,,,1.3644
2007-07-31,,,1.3698
2007-08-01,,,1.3653
2007-08-02,,,1.3663
2007-08-03,,,1.3705
2007-08-06,,,1.3812
2007-08-07,,,1.3803
2007-08-08,,,1.3747
2007-08-09,,,1.3807
2007-08-10,,,1.3665
2007-08-13,,,1.3687
2007-08-14,,,1.3618
2007-08-15,,,1.3485
2007-08-16,,,1.3423
2007-08-17,,,1.3417
2007-08-20,,,1.3501
2007-08-21,,,1.3475
2007-08-22,,,1.348
2007-08-23,,,1.355
2007-08-24,,,1.3567
2007-08-27,,,1.3677
2007-08-28,,,1.3625
2007-08-29,,,1.3584
2007-08-30,,,1.3656
2007-08-31,,,1.3667
2007-09-03,,,1.3645
2007-09-04,,,1.3624
2007-09-05,,,1.3578
2007-09-06,,,1.3644
2007-09-07,,,1.3675
2007-09-10,,,1.3781
2007-09-11,,,1.3786
2007-09-12,,,1.3866
2007-09-13,,,1.3892
2007-09-14,,,1.3871
2007-09-17,,,1.388
2007-09-18,,,1.3854
2007-09-19,,,1.3979
2007-09-20,,,1.3979
2007-09-21,,,1.4094
2007-09-24,,,1.4118
2007-09-25,,,1.4084
2007-09-26,,,1.4141
2007-09-27,,,1.4138
2007-09-28,,,1.4163
2007-10-01,,,1.4256
2007-10-02,,,1.4218
2007-10-03,,,1.4164
2007-10-04,,,1.4086
2007-10-05,,,1.4128
2007-10-08,,,1.4137
2007-10-09,,,1.4025
2007-10-10,,,1.4102
2007-10-11,,,1.4168
2007-10-12,,,1.4187
2007-10-15,,,1.4177
2007-10-16,,,1.4212
2007-10-17,,,1.4176
2007-10-18,,,1.4232
2007-10-19,,,1.4311
2007-10-22,,,1.4319
2007-10-23,,,1.4207
2007-10-24,,,1.4252
2007-10-25,,,1.4261
2007-10-26,,,1.4332
2007-10-29,,,1.4423
2007-10-30,,,1.4404
2007-10-31,,,1.4444
2007-11-01,,,1.4469
2007-11-02,,,1.4435
2007-11-05,,,1.4486
2007-11-06,,,1.4497
2007-11-07,,,1.4646
2007-11-08,,,1.4628
2007-11-09,,,1.4721
2007-11-12,,,1.4639
2007-11-13,,,1.4581
2007-11-14,,,1.466
2007-11-15,,,1.4677
2007-11-16,,,1.4618
2007-11-19,,,1.4675
2007-11-20,,,1.4673
2007-11-21,,,1.4837
2007-11-22,,,1.4862
2007-11-23,,,1.4929
2007-11-26,,,1.4818
2007-11-27,,,1.4857
2007-11-28,,,1.4814
2007-11-29,,,1.4823
2007-11-30,,,1.4751
2007-12-03,,,1.4666
2007-12-04,,,1.4667
2007-12-05,,,1.4748
2007-12-06,,,1.4605
2007-12-07,,,1.4611
2007-12-10,,,1.4645
2007-12-11,,,1.4722
2007-12-12,,,1.4680000000000002
2007-12-13,,,1.4721
2007-12-14,,,1.464
2007-12-17,,,1.444
2007-12-18,,,1.4403
2007-12-19,,,1.4418
2007-12-20,,,1.4369999999999998
2007-12-21,,,1.4365
2007-12-24,,,1.4387
2007-12-25,,,1.4393
2007-12-26,,,1.4412
2007-12-27,,,1.4513
2007-12-28,,,1.4617
2007-12-31,,,1.4743
2008-01-01,,,1.459
2008-01-02,,,1.4657
2008-01-03,,,1.4708
2008-01-04,,,1.4737
2008-01-07,,,1.4732
2008-01-08,,,1.4701
2008-01-09,,,1.4725
2008-01-10,,,1.4684
2008-01-11,,,1.4809999999999999
2008-01-14,,,1.4815
2008-01-15,,,1.4873
2008-01-16,,,1.484
2008-01-17,,,1.4647
2008-01-18,,,1.4642
2008-01-21,,,1.4538
2008-01-22,,,1.4436
2008-01-23,,,1.4637
2008-01-24,,,1.462
2008-01-25,,,1.4745
2008-01-28,,,1.4676
2008-01-29,,,1.4772
2008-01-30,,,1.4766
2008-01-31,,,1.4883
2008-02-01,,,1.4863
2008-02-04,,,1.4813
2008-02-05,,,1.4816
2008-02-06,,,1.4646
2008-02-07,,,1.4618
2008-02-08,,,1.4477
2008-02-11,,,1.4556
2008-02-12,,,1.4523
2008-02-13,,,1.4576
2008-02-14,,,1.4566
2008-02-15,,,1.4643
2008-02-18,,,1.4681
2008-02-19,,,1.4699
2008-02-20,,,1.4712
2008-02-21,,,1.472
2008-02-22,,,1.4808
2008-02-25,,,1.4815
2008-02-26,,,1.4813
2008-02-27,,,1.4999
2008-02-28,,,1.5114
2008-02-29,,,1.5183
2008-03-03,,,1.5212
2008-03-04,,,1.5186
2008-03-05,,,1.5194
2008-03-06,,,1.5295999999999998
2008-03-07,,,1.5398
2008-03-10,,,1.5372
2008-03-11,,,1.5362
2008-03-12,,,1.5364
2008-03-13,,,1.556
2008-03-14,,,1.5632
2008-03-17,,,1.5852
2008-03-18,,,1.577
