Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-02-28,0.6999,0.6999,0.6999
2007-03-01,0.7002,0.7002,0.7002
2007-03-02,0.6935,0.6935,0.6935
2007-03-05,0.6816,0.6816,0.6816
2007-03-06,0.6804,0.6804,0.6804
2007-03-07,0.6826,0.6826,0.6826
2007-03-08,0.6819,0.6819,0.6819
2007-03-09,0.6885,0.6885,0.6885
2007-03-12,0.6933,0.6933,0.6933
2007-03-13,0.6933,0.6933,0.6933
2007-03-14,0.6864,0.6864,0.6864
2007-03-15,0.6921,0.6921,0.6921
2007-03-16,0.695,0.695,0.695
2007-03-19,0.6977,0.6977,0.6977
2007-03-20,0.7014,0.7014,0.7014
2007-03-21,0.7052,0.7052,0.7052
2007-03-22,0.7086,0.7086,0.7086
2007-03-23,0.7112,0.7112,0.7112
2007-03-26,0.7109,0.7109,0.7109
2007-03-27,0.7181,0.7181,0.7181
2007-03-28,0.7129,0.7129,0.7129
2007-03-29,0.7124,0.7124,0.7124
2007-03-30,0.7135,0.7135,0.7135
2007-04-02,0.7176,0.7176,0.7176
2007-04-03,0.7204,0.7204,0.7204
2007-04-04,0.7188,0.7188,0.7188
2007-04-05,0.7203,0.7203,0.7203
2007-04-06,0.7233,0.7233,0.7233
2007-04-09,0.7215,0.7215,0.7215
2007-04-10,0.7246,0.7246,0.7246
2007-04-11,0.7273,0.7273,0.7273
2007-04-12,0.7265,0.7265,0.7265
2007-04-13,0.7345,0.7345,0.7345
2007-04-16,0.7383,0.7383,0.7383
2007-04-17,0.7399,0.7399,0.7399
2007-04-18,0.7489,0.7489,0.7489
2007-04-19,0.7398,0.7398,0.7398
2007-04-20,0.7445,0.7445,0.7445
2007-04-23,0.7438,0.7438,0.7438
2007-04-24,0.7405,0.7405,0.7405
2007-04-25,0.7443,0.7443,0.7443
2007-04-26,0.7473,0.7473,0.7473
2007-04-27,0.7389,0.7389,0.7389
2007-04-30,0.7391,0.7391,0.7391
2007-05-01,0.7417,0.7417,0.7417
2007-05-02,0.7384,0.7384,0.7384
2007-05-03,0.7378,0.7378,0.7378
2007-05-04,0.7344,0.7344,0.7344
2007-05-07,0.7377,0.7377,0.7377
2007-05-08,0.7401,0.7401,0.7401
2007-05-09,0.7368,0.7368,0.7368
2007-05-10,0.7335,0.7335,0.7335
2007-05-11,0.7309,0.7309,0.7309
2007-05-14,0.7371,0.7371,0.7371
2007-05-15,0.7381,0.7381,0.7381
2007-05-16,0.7384,0.7384,0.7384
2007-05-17,0.7326,0.7326,0.7326
2007-05-18,0.7281,0.7281,0.7281
2007-05-21,0.7308,0.7308,0.7308
2007-05-22,0.7286,0.7286,0.7286
2007-05-23,0.727,0.727,0.727
2007-05-24,0.7274,0.7274,0.7274
2007-05-25,0.7259,0.7259,0.7259
2007-05-28,0.7266,0.7266,0.7266
2007-05-29,0.7261,0.7261,0.7261
2007-05-30,0.7281,0.7281,0.7281
2007-05-31,0.7311,0.7311,0.7311
2007-06-01,0.7407,0.7407,0.7407
2007-06-04,0.7455,0.7455,0.7455
2007-06-05,0.7492,0.7492,0.7492
2007-06-06,0.7543,0.7543,0.7543
2007-06-07,0.7562,0.7562,0.7562
2007-06-08,0.7538,0.7538,0.7538
2007-06-11,0.7511,0.7511,0.7511
2007-06-12,0.7524,0.7524,0.7524
2007-06-13,0.7506,0.7506,0.7506
2007-06-14,0.7507,0.7507,0.7507
2007-06-15,0.7513,0.7513,0.7513
2007-06-18,0.7549,0.7549,0.7549
2007-06-19,0.7554,0.7554,0.7554
2007-06-20,0.7589,0.7589,0.7589
