Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-02-28,1.2194,1.2194,1.2194
2007-03-01,1.2187,1.2187,1.2187
2007-03-02,1.2237,1.2237,1.2237
2007-03-05,1.2136,1.2136,1.2136
2007-03-06,1.2224,1.2224,1.2224
2007-03-07,1.2238,1.2238,1.2238
2007-03-08,1.2198,1.2198,1.2198
2007-03-09,1.2275,1.2275,1.2275
2007-03-12,1.2339,1.2339,1.2339
2007-03-13,1.2255,1.2255,1.2255
2007-03-14,1.2169,1.2169,1.2169
2007-03-15,1.2167,1.2167,1.2167
2007-03-16,1.2113,1.2113,1.2113
2007-03-19,1.2088,1.2088,1.2088
2007-03-20,1.2131,1.2131,1.2131
2007-03-21,1.2118,1.2118,1.2118
2007-03-22,1.2093,1.2093,1.2093
2007-03-23,1.2151,1.2151,1.2151
2007-03-26,1.219,1.219,1.219
2007-03-27,1.216,1.216,1.216
2007-03-28,1.2108,1.2108,1.2108
2007-03-29,1.2162,1.2162,1.2162
2007-03-30,1.2162,1.2162,1.2162
2007-04-02,1.2155,1.2155,1.2155
2007-04-03,1.2164,1.2164,1.2164
2007-04-04,1.2219,1.2219,1.2219
2007-04-05,1.2206,1.2206,1.2206
2007-04-06,1.2159,1.2159,1.2159
2007-04-09,1.2232,1.2232,1.2232
2007-04-10,1.2204,1.2204,1.2204
2007-04-11,1.2175,1.2175,1.2175
2007-04-12,1.2195,1.2195,1.2195
2007-04-13,1.2141,1.2141,1.2141
2007-04-16,1.2144,1.2144,1.2144
2007-04-17,1.2127,1.2127,1.2127
2007-04-18,1.2066,1.2066,1.2066
2007-04-19,1.2025,1.2025,1.2025
2007-04-20,1.2054,1.2054,1.2054
2007-04-23,1.2078,1.2078,1.2078
2007-04-24,1.2089,1.2089,1.2089
2007-04-25,1.2015,1.2015,1.2015
2007-04-26,1.2042,1.2042,1.2042
2007-04-27,1.2088,1.2088,1.2088
2007-04-30,1.2053,1.2053,1.2053
2007-05-01,1.2076,1.2076,1.2076
2007-05-02,1.2142,1.2142,1.2142
2007-05-03,1.2113,1.2113,1.2113
2007-05-04,1.2145,1.2145,1.2145
2007-05-07,1.2087,1.2087,1.2087
2007-05-08,1.2109999999999999,1.2109999999999999,1.2109999999999999
2007-05-09,1.2176,1.2176,1.2176
2007-05-10,1.2179,1.2179,1.2179
2007-05-11,1.2208,1.2208,1.2208
2007-05-14,1.2172,1.2172,1.2172
2007-05-15,1.219,1.219,1.219
2007-05-16,1.2141,1.2141,1.2141
2007-05-17,1.2229999999999999,1.2229999999999999,1.2229999999999999
2007-05-18,1.2277,1.2277,1.2277
2007-05-21,1.2279,1.2279,1.2279
2007-05-22,1.2304,1.2304,1.2304
2007-05-23,1.2291,1.2291,1.2291
2007-05-24,1.2271,1.2271,1.2271
2007-05-25,1.2284,1.2284,1.2284
2007-05-28,1.227,1.227,1.227
2007-05-29,1.2281,1.2281,1.2281
2007-05-30,1.2244,1.2244,1.2244
2007-05-31,1.225,1.225,1.225
2007-06-01,1.2262,1.2262,1.2262
2007-06-04,1.2291,1.2291,1.2291
2007-06-05,1.2233,1.2233,1.2233
2007-06-06,1.217,1.217,1.217
2007-06-07,1.2171,1.2171,1.2171
