Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-02-28,6.1321,6.1321,6.1321
2007-03-01,6.1405,6.1405,6.1405
2007-03-02,6.154,6.154,6.154
2007-03-05,6.1809,6.1809,6.1809
2007-03-06,6.2444,6.2444,6.2444
2007-03-07,6.212999999999999,6.212999999999999,6.212999999999999
2007-03-08,6.1848,6.1848,6.1848
2007-03-09,6.1885,6.1885,6.1885
2007-03-12,6.1687,6.1687,6.1687
2007-03-13,6.1416,6.1416,6.1416
2007-03-14,6.1475,6.1475,6.1475
2007-03-15,6.1358,6.1358,6.1358
2007-03-16,6.1179,6.1179,6.1179
2007-03-19,6.1289,6.1289,6.1289
2007-03-20,6.1291,6.1291,6.1291
2007-03-21,6.1527,6.1527,6.1527
2007-03-22,6.1066,6.1066,6.1066
2007-03-23,6.0933,6.0933,6.0933
2007-03-26,6.1152,6.1152,6.1152
2007-03-27,6.087999999999999,6.087999999999999,6.087999999999999
2007-03-28,6.0778,6.0778,6.0778
2007-03-29,6.085,6.085,6.085
2007-03-30,6.085,6.085,6.085
2007-04-02,6.0829999999999975,6.0829999999999975,6.0829999999999975
2007-04-03,6.1110000000000015,6.1110000000000015,6.1110000000000015
2007-04-04,6.1272,6.1272,6.1272
2007-04-05,6.1185,6.1185,6.1185
2007-04-06,6.0783,6.0783,6.0783
2007-04-09,6.1023,6.1023,6.1023
2007-04-10,6.0724,6.0724,6.0724
2007-04-11,6.0257,6.0257,6.0257
2007-04-12,6.0117,6.0117,6.0117
2007-04-13,5.985,5.985,5.985
2007-04-16,5.9766,5.9766,5.9766
2007-04-17,5.9614,5.9614,5.9614
2007-04-18,5.9516,5.9516,5.9516
2007-04-19,5.9604,5.9604,5.9604
2007-04-20,5.9507,5.9507,5.9507
2007-04-23,5.9708,5.9708,5.9708
2007-04-24,5.971,5.971,5.971
2007-04-25,5.9415,5.9415,5.9415
2007-04-26,5.9605,5.9605,5.9605
2007-04-27,5.985,5.985,5.985
2007-04-30,5.968,5.968,5.968
2007-05-01,5.9522,5.9522,5.9522
2007-05-02,5.9765,5.9765,5.9765
2007-05-03,5.9698,5.9698,5.9698
2007-05-04,5.9882,5.9882,5.9882
2007-05-07,5.9663,5.9663,5.9663
2007-05-08,5.9649,5.9649,5.9649
2007-05-09,6.0062,6.0062,6.0062
2007-05-10,6.0068,6.0068,6.0068
2007-05-11,6.0704,6.0704,6.0704
2007-05-14,6.0275,6.0275,6.0275
2007-05-15,6.0522,6.0522,6.0522
2007-05-16,6.0036,6.0036,6.0036
2007-05-17,6.0482,6.0482,6.0482
2007-05-18,6.061,6.061,6.061
2007-05-21,6.0427,6.0427,6.0427
2007-05-22,6.0518,6.0518,6.0518
2007-05-23,6.039,6.039,6.039
2007-05-24,6.028,6.028,6.028
2007-05-25,6.0373,6.0373,6.0373
2007-05-28,6.0136,6.0136,6.0136
2007-05-29,6.0213,6.0213,6.0213
2007-05-30,6.0363,6.0363,6.0363
