Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-02-28,,,7.2646
2007-03-01,,,7.2245
2007-03-02,,,7.2782
2007-03-05,,,7.4864
2007-03-06,,,7.4412
2007-03-07,,,7.375
2007-03-08,,,7.4163
2007-03-09,,,7.3457
2007-03-12,,,7.335
2007-03-13,,,7.3563
2007-03-14,,,7.516
2007-03-15,,,7.4267
2007-03-16,,,7.419
2007-03-19,,,7.4415
2007-03-20,,,7.403
2007-03-21,,,7.391199999999999
2007-03-22,,,7.2819
2007-03-23,,,7.2037
2007-03-26,,,7.2223
2007-03-27,,,7.2232
2007-03-28,,,7.3148
2007-03-29,,,7.3306
2007-03-30,,,7.2828
2007-04-02,,,7.2588
2007-04-03,,,7.2415
2007-04-04,,,7.1856
2007-04-05,,,7.1478
2007-04-06,,,7.1284
2007-04-09,,,7.1305
2007-04-10,,,7.1497
2007-04-11,,,7.1577
2007-04-12,,,7.1469
2007-04-13,,,7.1433
2007-04-16,,,7.1635
2007-04-17,,,7.1057
2007-04-18,,,7.0314
2007-04-19,,,7.0956
2007-04-20,,,7.0416
2007-04-23,,,7.0515
2007-04-24,,,7.0955
2007-04-25,,,7.0344
2007-04-26,,,6.9658
2007-04-27,,,7.0526
2007-04-30,,,7.1275
2007-05-01,,,7.0678
2007-05-02,,,7.0497
2007-05-03,,,7.0121
2007-05-04,,,6.9894
2007-05-07,,,6.934
2007-05-08,,,6.8759
2007-05-09,,,6.9129999999999985
2007-05-10,,,6.9073
2007-05-11,,,7.0203
2007-05-14,,,6.9528
2007-05-15,,,6.9681
2007-05-16,,,6.9253
2007-05-17,,,6.9763
2007-05-18,,,7.0702
2007-05-21,,,7.0004
2007-05-22,,,7.0048
2007-05-23,,,7.0652
2007-05-24,,,7.0658
2007-05-25,,,7.1411
2007-05-28,,,7.0819
2007-05-29,,,7.093
2007-05-30,,,7.1688
2007-05-31,,,7.1522
2007-06-01,,,7.1105
2007-06-04,,,7.1169
2007-06-05,,,7.1523
2007-06-06,,,7.1712
2007-06-07,,,7.1708
2007-06-08,,,7.2639
2007-06-11,,,7.2457
2007-06-12,,,7.2247
2007-06-13,,,7.2781
2007-06-14,,,7.2178
2007-06-15,,,7.1787
2007-06-18,,,7.1137
2007-06-19,,,7.0887
2007-06-20,,,7.0818
2007-06-21,,,7.1453
2007-06-22,,,7.129
2007-06-25,,,7.1482
2007-06-26,,,7.1785
2007-06-27,,,7.211
2007-06-28,,,7.129
2007-06-29,,,7.089
2007-07-02,,,7.0505
2007-07-03,,,6.9555
2007-07-04,,,6.9915
2007-07-05,,,6.9708
2007-07-06,,,7.0181
2007-07-09,,,6.9879
2007-07-10,,,6.9805
2007-07-11,,,7.0296
2007-07-12,,,7.0158
2007-07-13,,,6.9595
2007-07-16,,,6.9663
2007-07-17,,,6.9742
2007-07-18,,,6.975
2007-07-19,,,6.9384
2007-07-20,,,6.8774
2007-07-23,,,6.8251
2007-07-24,,,6.823
2007-07-25,,,6.8557
2007-07-26,,,6.886
2007-07-27,,,7.0725
2007-07-30,,,7.105
2007-07-31,,,7.115
2007-08-01,,,7.2175
2007-08-02,,,7.1025
2007-08-03,,,7.0901
2007-08-06,,,7.1433
2007-08-07,,,7.0388
2007-08-08,,,7.0468
2007-08-09,,,7.0183
2007-08-10,,,7.1875
2007-08-13,,,7.1729
2007-08-14,,,7.2113
2007-08-15,,,7.3949
2007-08-16,,,7.441
2007-08-17,,,7.5184
2007-08-20,,,7.3488
2007-08-21,,,7.395
2007-08-22,,,7.3722
2007-08-23,,,7.2283
2007-08-24,,,7.2826
2007-08-27,,,7.1565
2007-08-28,,,7.2395
2007-08-29,,,7.3032
2007-08-30,,,7.1868
2007-08-31,,,7.1322
2007-09-03,,,7.1379
2007-09-04,,,7.2433
2007-09-05,,,7.2547
2007-09-06,,,7.2509
2007-09-07,,,7.1956
2007-09-10,,,7.2744
2007-09-11,,,7.2119
2007-09-12,,,7.166
2007-09-13,,,7.1513
2007-09-14,,,7.1549
2007-09-17,,,7.1712
2007-09-18,,,7.2293
2007-09-19,,,7.1048
2007-09-20,,,7.0779
2007-09-21,,,7.0448
2007-09-24,,,6.9951
2007-09-25,,,7.0037
2007-09-26,,,6.9875
2007-09-27,,,6.9453
2007-09-28,,,6.8847000000000005
2007-10-01,,,6.874
2007-10-02,,,6.855
2007-10-03,,,6.9184
2007-10-04,,,6.9555
2007-10-05,,,6.9124
2007-10-08,,,6.8074
2007-10-09,,,6.8764
2007-10-10,,,6.8358
2007-10-11,,,6.8664
2007-10-12,,,6.7416
2007-10-15,,,6.7346
2007-10-16,,,6.8274
2007-10-17,,,6.8858
