date,open,high,close,low
2019-11-25 05:37:00+00:00,1.2809,1.2809,1.2809,1.2809
2019-11-25 05:38:00+00:00,1.2809,1.2809,1.2809,1.2808
2019-11-25 05:39:00+00:00,1.2809,1.2809,1.2807,1.2807
2019-11-25 05:40:00+00:00,1.2807,1.2808,1.2806,1.2805
2019-11-25 05:41:00+00:00,1.2806,1.2807,1.2806,1.2805
2019-11-25 05:42:00+00:00,1.2806,1.2806,1.2805,1.2805
2019-11-25 05:43:00+00:00,1.2805,1.2806,1.2805,1.2805
2019-11-25 05:44:00+00:00,1.2805,1.2806,1.2805,1.2805
2019-11-25 05:45:00+00:00,1.2805,1.2806,1.2805,1.2805
2019-11-25 05:46:00+00:00,1.2805,1.2806,1.2806,1.2805
2019-11-25 05:47:00+00:00,1.2806,1.281,1.2809,1.2806
2019-11-25 05:48:00+00:00,1.2809,1.2813,1.2813,1.2809
2019-11-25 05:49:00+00:00,1.2813,1.2814,1.2813,1.2813
2019-11-25 05:50:00+00:00,1.2813,1.2813,1.2812,1.2811
2019-11-25 05:51:00+00:00,1.2812,1.2813,1.2812,1.2812
2019-11-25 05:52:00+00:00,1.2812,1.2814,1.2814,1.2811
