date,open,high,close,low
2019-11-25 05:38:00+00:00,9.6217,9.6218,9.6215,9.6211
2019-11-25 05:39:00+00:00,9.6215,9.6217,9.6217,9.6214
2019-11-25 05:40:00+00:00,9.6217,9.6217,9.6216,9.6215
2019-11-25 05:41:00+00:00,9.6216,9.6216,9.6209,9.6209
2019-11-25 05:42:00+00:00,9.6209,9.621,9.6208,9.6205
2019-11-25 05:43:00+00:00,9.6208,9.6209,9.6184,9.6181
2019-11-25 05:44:00+00:00,9.6184,9.6189,9.6185,9.6181
2019-11-25 05:45:00+00:00,9.6185,9.6199,9.6193,9.6185
2019-11-25 05:46:00+00:00,9.6193,9.6194,9.619,9.6189
2019-11-25 05:47:00+00:00,9.619,9.6192,9.6191,9.6187
2019-11-25 05:48:00+00:00,9.6191,9.6191,9.6186,9.6186
2019-11-25 05:49:00+00:00,9.6186,9.619,9.6168,9.6166
2019-11-25 05:50:00+00:00,9.6168,9.6174,9.6173,9.6168
2019-11-25 05:51:00+00:00,9.6173,9.6178,9.6177,9.6173
2019-11-25 05:52:00+00:00,9.6177,9.6179,9.6176,9.6175
2019-11-25 05:53:00+00:00,9.6176,9.6176,9.6175,9.6172
