CCY1,CCY2,TargetRatio,Portfolio
USD,SEK,0.0,AQM
USD,NOK,0.08109687068459788,AQM
USD,JPY,-0.1395605804927975,AQM
USD,CHF,-0.0750882419500612,AQM
USD,CAD,-0.1473184212687368,AQM
NZD,USD,0.15618511263465906,AQM
GBP,USD,0.15618511263465906,AQM
EUR,USD,0.21891147053314416,AQM
AUD,USD,0.0750882419500612,AQM
USD,SGD,-0.2489674562805949,AQM
USD,THB,-0.15618511263465906,AQM
USD,KRW,-0.08109687068459788,AQM
USD,TWD,-0.09090808165607564,AQM
USD,INR,-0.15618511263465906,AQM
USD,IDR,-0.21929066281896123,AQM
