Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-08-22,1.1542,1.1542,1.1542
2007-08-28,1.1645,1.1645,1.1645
2007-08-29,1.1692,1.1692,1.1692
2007-08-30,1.1645,1.1645,1.1645
2007-08-31,1.1656,1.1656,1.1656
2007-09-03,1.169,1.169,1.169
2007-09-04,1.1741,1.1741,1.1741
2007-09-05,1.1888,1.1888,1.1888
2007-09-06,1.1938,1.1938,1.1938
2007-09-07,1.1954,1.1954,1.1954
2007-09-10,1.1939,1.1939,1.1939
2007-09-11,1.1886,1.1886,1.1886
2007-09-12,1.1849,1.1849,1.1849
2007-09-13,1.1833,1.1833,1.1833
2007-09-14,1.1782,1.1782,1.1782
2007-09-17,1.1816,1.1816,1.1816
2007-09-18,1.1806,1.1806,1.1806
2007-09-19,1.1677,1.1677,1.1677
2007-09-20,1.17,1.17,1.17
2007-09-21,1.1673,1.1673,1.1673
2007-09-24,1.1653,1.1653,1.1653
2007-09-25,1.1688,1.1688,1.1688
2007-09-26,1.1754,1.1754,1.1754
2007-09-27,1.1732,1.1732,1.1732
2007-09-28,1.1662,1.1662,1.1662
2007-10-01,1.1631,1.1631,1.1631
2007-10-02,1.1629,1.1629,1.1629
2007-10-03,1.1688,1.1688,1.1688
2007-10-04,1.1713,1.1713,1.1713
2007-10-05,1.1753,1.1753,1.1753
2007-10-08,1.1783,1.1783,1.1783
2007-10-09,1.1735,1.1735,1.1735
2007-10-10,1.1783,1.1783,1.1783
2007-10-11,1.176,1.176,1.176
2007-10-12,1.1677,1.1677,1.1677
2007-10-15,1.1714,1.1714,1.1714
2007-10-16,1.1796,1.1796,1.1796
2007-10-17,1.1901,1.1901,1.1901
2007-10-18,1.1878,1.1878,1.1878
2007-10-19,1.1924,1.1924,1.1924
2007-10-22,1.1927,1.1927,1.1927
2007-10-23,1.1847,1.1847,1.1847
2007-10-24,1.1946,1.1946,1.1946
2007-10-25,1.1961,1.1961,1.1961
