Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-08-28,1.1371,1.1371,1.1371
2007-08-29,1.128,1.128,1.128
2007-08-30,1.1299,1.1299,1.1299
2007-08-31,1.1369,1.1369,1.1369
2007-09-03,1.1468,1.1468,1.1468
2007-09-04,1.1473,1.1473,1.1473
2007-09-05,1.1526,1.1526,1.1526
2007-09-06,1.1459,1.1459,1.1459
2007-09-07,1.1424,1.1424,1.1424
2007-09-10,1.1205,1.1205,1.1205
2007-09-11,1.1325,1.1325,1.1325
2007-09-12,1.1371,1.1371,1.1371
2007-09-13,1.144,1.144,1.144
2007-09-14,1.1462,1.1462,1.1462
2007-09-17,1.1561,1.1561,1.1561
2007-09-18,1.1567,1.1567,1.1567
2007-09-19,1.1674,1.1674,1.1674
2007-09-20,1.1663,1.1663,1.1663
2007-09-21,1.1726,1.1726,1.1726
2007-09-24,1.1711,1.1711,1.1711
2007-09-25,1.1695,1.1695,1.1695
2007-09-26,1.1582,1.1582,1.1582
2007-09-27,1.1669,1.1669,1.1669
2007-09-28,1.1707,1.1707,1.1707
2007-10-01,1.1746,1.1746,1.1746
2007-10-02,1.1773,1.1773,1.1773
2007-10-03,1.1783,1.1783,1.1783
2007-10-04,1.1799,1.1799,1.1799
2007-10-05,1.1781,1.1781,1.1781
2007-10-08,1.2001,1.2001,1.2001
2007-10-09,1.2037,1.2037,1.2037
2007-10-10,1.2065,1.2065,1.2065
2007-10-11,1.204,1.204,1.204
2007-10-12,1.2078,1.2078,1.2078
2007-10-15,1.217,1.217,1.217
2007-10-16,1.2096,1.2096,1.2096
2007-10-17,1.2035,1.2035,1.2035
2007-10-18,1.2101,1.2101,1.2101
2007-10-19,1.1988,1.1988,1.1988
2007-10-22,1.2032,1.2032,1.2032
2007-10-23,1.2042,1.2042,1.2042
2007-10-24,1.2114,1.2114,1.2114
2007-10-25,1.2097,1.2097,1.2097
2007-10-26,1.2091,1.2091,1.2091
2007-10-29,1.2124,1.2124,1.2124
2007-10-30,1.221,1.221,1.221
2007-10-31,1.2133,1.2133,1.2133
2007-11-01,1.2285,1.2285,1.2285
2007-11-02,1.2176,1.2176,1.2176
2007-11-05,1.2327,1.2327,1.2327
2007-11-06,1.2356,1.2356,1.2356
2007-11-07,1.2494,1.2494,1.2494
2007-11-08,1.2174,1.2174,1.2174
2007-11-09,1.2098,1.2098,1.2098
2007-11-12,1.1854,1.1854,1.1854
2007-11-13,1.171,1.171,1.171
2007-11-14,1.1707,1.1707,1.1707
2007-11-15,1.1657,1.1657,1.1657
2007-11-16,1.1376,1.1376,1.1376
2007-11-19,1.1489,1.1489,1.1489
2007-11-20,1.137,1.137,1.137
2007-11-21,1.1258,1.1258,1.1258
2007-11-22,1.1215,1.1215,1.1215
2007-11-23,1.1122,1.1122,1.1122
2007-11-26,1.1236,1.1236,1.1236
2007-11-27,1.1153,1.1153,1.1153
2007-11-28,1.111,1.111,1.111
2007-11-29,1.1271,1.1271,1.1271
2007-11-30,1.1237,1.1237,1.1237
2007-12-03,1.1275,1.1275,1.1275
2007-12-04,1.1242,1.1242,1.1242
2007-12-05,1.1007,1.1007,1.1007
2007-12-06,1.1134,1.1134,1.1134
2007-12-07,1.1205,1.1205,1.1205
2007-12-10,1.1224,1.1224,1.1224
2007-12-11,1.1198,1.1198,1.1198
2007-12-12,1.1208,1.1208,1.1208
2007-12-13,1.1187,1.1187,1.1187
2007-12-14,1.1206,1.1206,1.1206
2007-12-17,1.133,1.133,1.133
2007-12-18,1.1448,1.1448,1.1448
