Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-08-28,2.4126,2.4126,2.4126
2007-08-29,2.404,2.404,2.404
2007-08-30,2.4161,2.4161,2.4161
2007-08-31,2.4237,2.4237,2.4237
2007-09-03,2.4362,2.4362,2.4362
2007-09-04,2.4383,2.4383,2.4383
2007-09-05,2.4352,2.4352,2.4352
2007-09-06,2.4358,2.4358,2.4358
2007-09-07,2.4281,2.4281,2.4281
2007-09-10,2.4071,2.4071,2.4071
2007-09-11,2.4096,2.4096,2.4096
2007-09-12,2.4118,2.4118,2.4118
2007-09-13,2.4033,2.4033,2.4033
2007-09-14,2.3949,2.3949,2.3949
2007-09-17,2.3814,2.3814,2.3814
2007-09-18,2.362,2.362,2.362
2007-09-19,2.3795,2.3795,2.3795
2007-09-20,2.3631,2.3631,2.3631
2007-09-21,2.3518,2.3518,2.3518
2007-09-24,2.3736,2.3736,2.3736
2007-09-25,2.3613,2.3613,2.3613
2007-09-26,2.3534,2.3534,2.3534
2007-09-27,2.3607,2.3607,2.3607
2007-09-28,2.3685,2.3685,2.3685
2007-10-01,2.3883,2.3883,2.3883
2007-10-02,2.3889,2.3889,2.3889
2007-10-03,2.3973,2.3973,2.3973
2007-10-04,2.3946,2.3946,2.3946
2007-10-05,2.3956,2.3956,2.3956
2007-10-08,2.4036,2.4036,2.4036
2007-10-09,2.4131,2.4131,2.4131
2007-10-10,2.4131,2.4131,2.4131
2007-10-11,2.4104,2.4104,2.4104
2007-10-12,2.3998,2.3998,2.3998
2007-10-15,2.4102,2.4102,2.4102
2007-10-16,2.4104,2.4104,2.4104
2007-10-17,2.3981,2.3981,2.3981
2007-10-18,2.4046,2.4046,2.4046
2007-10-19,2.39,2.39,2.39
2007-10-22,2.3871,2.3871,2.3871
2007-10-23,2.3931,2.3931,2.3931
2007-10-24,2.401,2.401,2.401
2007-10-25,2.3972,2.3972,2.3972
2007-10-26,2.3911,2.3911,2.3911
2007-10-29,2.3885,2.3885,2.3885
2007-10-30,2.4011,2.4011,2.4011
2007-10-31,2.3956,2.3956,2.3956
2007-11-01,2.4117,2.4117,2.4117
2007-11-02,2.4036,2.4036,2.4036
2007-11-05,2.4074,2.4074,2.4074
2007-11-06,2.4007,2.4007,2.4007
2007-11-07,2.3799,2.3799,2.3799
2007-11-08,2.3779,2.3779,2.3779
2007-11-09,2.3684,2.3684,2.3684
2007-11-12,2.339,2.339,2.339
2007-11-13,2.3262,2.3262,2.3262
2007-11-14,2.3322,2.3322,2.3322
2007-11-15,2.3084,2.3084,2.3084
2007-11-16,2.2945,2.2945,2.2945
2007-11-19,2.2943,2.2943,2.2943
2007-11-20,2.2896,2.2896,2.2896
2007-11-21,2.2814,2.2814,2.2814
2007-11-22,2.2762,2.2762,2.2762
2007-11-23,2.263,2.263,2.263
2007-11-26,2.2824,2.2824,2.2824
2007-11-27,2.2796,2.2796,2.2796
