date,open,high,close,low
2019-11-27 23:59:00+00:00,9.5814,9.5814,9.5808,9.5808
2019-11-28 00:00:00+00:00,9.5808,9.5809,9.5801,9.5801
2019-11-28 00:01:00+00:00,9.5801,9.5814,9.5813,9.58
2019-11-28 00:02:00+00:00,9.5813,9.5818,9.5817,9.5807
2019-11-28 00:03:00+00:00,9.5817,9.5819,9.5818,9.5815
2019-11-28 00:04:00+00:00,9.5818,9.5822,9.5817,9.5814
2019-11-28 00:05:00+00:00,9.5817,9.5819,9.5813,9.5812
2019-11-28 00:06:00+00:00,9.5813,9.5813,9.5812,9.5811
2019-11-28 00:07:00+00:00,9.5812,9.5812,9.581,9.581
2019-11-28 00:08:00+00:00,9.581,9.5812,9.5806,9.5805
2019-11-28 00:09:00+00:00,9.5806,9.5806,9.5801,9.58
2019-11-28 00:10:00+00:00,9.5801,9.5801,9.5798,9.5795
2019-11-28 00:11:00+00:00,9.5798,9.5798,9.5796,9.5793
2019-11-28 00:12:00+00:00,9.5796,9.5802,9.5802,9.5795
2019-11-28 00:13:00+00:00,9.5802,9.5805,9.5801,9.58
2019-11-28 00:14:00+00:00,9.5801,9.5802,9.5801,9.58
2019-11-28 00:15:00+00:00,9.5801,9.5805,9.5803,9.58
2019-11-28 00:16:00+00:00,9.5803,9.5812,9.5811,9.5803
2019-11-28 00:17:00+00:00,9.5811,9.5812,9.5808,9.5806
2019-11-28 00:18:00+00:00,9.5809,9.581,9.5805,9.5805
2019-11-28 00:19:00+00:00,9.5805,9.5805,9.5799,9.5795
2019-11-28 00:20:00+00:00,9.5799,9.5799,9.5795,9.5792
2019-11-28 00:21:00+00:00,9.5795,9.5796,9.5791,9.579
2019-11-28 00:22:00+00:00,9.5791,9.5792,9.5787,9.5786
2019-11-28 00:23:00+00:00,9.5787,9.5791,9.5791,9.5785
2019-11-28 00:24:00+00:00,9.5791,9.5794,9.5793,9.579
2019-11-28 00:25:00+00:00,9.5792,9.5796,9.5796,9.5792
2019-11-28 00:26:00+00:00,9.5796,9.5797,9.5795,9.5794
2019-11-28 00:27:00+00:00,9.5795,9.5796,9.5795,9.5794
2019-11-28 00:28:00+00:00,9.5795,9.5795,9.5788,9.5788
2019-11-28 00:29:00+00:00,9.5788,9.579,9.5789,9.5787
