,USDSEK,USDNOK,USDJPY,USDCHF,USDCAD,NZDUSD,GBPUSD,EURUSD,AUDUSD,USDSGD,USDTHB,USDKRW,USDTWD,USDINR,USDIDR
2019-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-03,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-04,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-05,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-06,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-09,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-10,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-11,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-12,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-13,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-23,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-26,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2019-12-27,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2020-01-03,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2020-01-06,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2020-01-07,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
2020-01-08,0.0,0.0,0.0,-0.123454401,0.0,0.123454401,0.123454401,0.123454401,0.123454401,0.0,-0.123454401,0.0,0.0,-0.123454401,-0.123454401
