Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2011-12-05,51.74,51.74,51.74
2011-12-07,51.85,51.85,51.85
2011-12-08,52.27,52.27,52.27
2011-12-09,52.6,52.6,52.6
2011-12-12,52.9,52.9,52.9
2011-12-13,53.86,53.86,53.86
2011-12-14,54.04,54.04,54.04
2011-12-15,54.59,54.59,54.59
2011-12-16,53.11,53.11,53.11
2011-12-19,53.68,53.68,53.68
2011-12-20,53.49,53.49,53.49
2011-12-21,53.24,53.24,53.24
2011-12-22,53.3,53.3,53.3
2011-12-23,53.25,53.25,53.25
2011-12-26,53.38,53.38,53.38
2011-12-27,53.42,53.42,53.42
2011-12-28,53.78,53.78,53.78
2011-12-29,53.86,53.86,53.86
2011-12-30,53.77,53.77,53.77
2012-01-02,53.79,53.79,53.79
2012-01-03,53.67,53.67,53.67
2012-01-04,53.53,53.53,53.53
2012-01-05,53.13,53.13,53.13
2012-01-06,53.18,53.18,53.18
2012-01-09,53.05,53.05,53.05
2012-01-10,52.55,52.55,52.55
2012-01-11,52.15,52.15,52.15
2012-01-12,52.2,52.2,52.2
2012-01-13,51.82,51.82,51.82
2012-01-16,52.05,52.05,52.05
2012-01-17,51.4,51.4,51.4
2012-01-18,51.01,51.01,51.01
2012-01-19,50.75,50.75,50.75
2012-01-20,50.74,50.74,50.74
2012-01-23,50.64,50.64,50.64
2012-01-24,50.4,50.4,50.4
2012-01-25,50.45,50.45,50.45
2012-01-27,50.0,50.0,50.0
2012-01-30,49.88,49.88,49.88
2012-01-31,50.04,50.04,50.04
2012-02-01,49.84,49.84,49.84
2012-02-02,49.5,49.5,49.5
2012-02-03,49.37,49.37,49.37
2012-02-06,48.96,48.96,48.96
2012-02-07,49.26,49.26,49.26
2012-02-08,49.4,49.4,49.4
2012-02-09,49.63,49.63,49.63
2012-02-10,50.03,50.03,50.03
2012-02-13,49.6,49.6,49.6
2012-02-14,49.63,49.63,49.63
2012-02-15,49.56,49.56,49.56
2012-02-17,49.56,49.56,49.56
2012-02-21,49.49,49.49,49.49
2012-02-22,49.62,49.62,49.62
2012-02-23,49.64,49.64,49.64
2012-02-24,49.46,49.46,49.46
2012-02-27,49.51,49.51,49.51
2012-02-28,49.58,49.58,49.58
2012-02-29,49.39,49.39,49.39
2012-03-01,49.54,49.54,49.54
2012-03-02,49.73,49.73,49.73
2012-03-05,50.21,50.21,50.21
2012-03-06,50.4,50.4,50.4
2012-03-07,50.99,50.99,50.99
2012-03-09,50.43,50.43,50.43
2012-03-12,50.45,50.45,50.45
2012-03-13,50.28,50.28,50.28
2012-03-14,50.29,50.29,50.29
2012-03-15,50.62,50.62,50.62
2012-03-16,50.73,50.73,50.73
2012-03-19,50.59,50.59,50.59
2012-03-20,50.73,50.73,50.73
2012-03-21,51.06,51.06,51.06
2012-03-22,51.36,51.36,51.36
2012-03-26,51.88,51.88,51.88
2012-03-27,51.46,51.46,51.46
2012-03-28,51.45,51.45,51.45
2012-03-29,51.56,51.56,51.56
2012-03-30,51.59,51.59,51.59
2012-04-03,50.98,50.98,50.98
2012-04-04,51.4,51.4,51.4
2012-04-09,51.7,51.7,51.7
2012-04-10,51.64,51.64,51.64
2012-04-11,51.95,51.95,51.95
2012-04-12,51.83,51.83,51.83
2012-04-13,51.77,51.77,51.77
2012-04-16,51.99,51.99,51.99
2012-04-17,52.01,52.01,52.01
2012-04-18,51.86,51.86,51.86
2012-04-19,52.23,52.23,52.23
2012-04-20,52.44,52.44,52.44
2012-04-23,52.55,52.55,52.55
2012-04-24,53.25,53.25,53.25
2012-04-25,52.96,52.96,52.96
2012-04-26,53.03,53.03,53.03
2012-04-27,53.08,53.08,53.08
2012-04-30,52.91,52.91,52.91
2012-05-02,53.31,53.31,53.31
2012-05-03,53.61,53.61,53.61
2012-05-04,54.13,54.13,54.13
2012-05-07,53.74,53.74,53.74
2012-05-08,53.07,53.07,53.07
2012-05-09,53.8,53.8,53.8
2012-05-10,53.63,53.63,53.63
2012-05-11,53.97,53.97,53.97
2012-05-14,54.04,54.04,54.04
2012-05-15,54.27,54.27,54.27
2012-05-16,54.65,54.65,54.65
2012-05-17,54.75,54.75,54.75
2012-05-18,55.29,55.29,55.29
2012-05-21,55.14,55.14,55.14
2012-05-22,55.31,55.31,55.31
2012-05-23,56.28,56.28,56.28
2012-05-24,56.73,56.73,56.73
2012-05-25,56.22,56.22,56.22
2012-05-28,55.62,55.62,55.62
2012-05-29,55.98,55.98,55.98
2012-05-30,56.52,56.52,56.52
2012-05-31,56.86,56.86,56.86
2012-06-01,56.24,56.24,56.24
2012-06-04,55.78,55.78,55.78
2012-06-05,55.9,55.9,55.9
2012-06-06,55.88,55.88,55.88
2012-06-07,55.41,55.41,55.41
2012-06-08,55.66,55.66,55.66
2012-06-11,55.54,55.54,55.54
2012-06-12,56.39,56.39,56.39
2012-06-13,56.2,56.2,56.2
2012-06-14,55.99,55.99,55.99
2012-06-15,56.05,56.05,56.05
2012-06-18,55.87,55.87,55.87
2012-06-19,56.29,56.29,56.29
2012-06-20,56.24,56.24,56.24
2012-06-21,56.79,56.79,56.79
2012-06-22,57.42,57.42,57.42
2012-06-25,56.86,56.86,56.86
2012-06-26,57.46,57.46,57.46
2012-06-27,57.56,57.56,57.56
2012-06-28,57.35,57.35,57.35
2012-06-29,56.68,56.68,56.68
2012-07-02,56.1,56.1,56.1
2012-07-03,55.24,55.24,55.24
2012-07-04,54.8,54.8,54.8
2012-07-05,55.3,55.3,55.3
2012-07-06,55.76,55.76,55.76
2012-07-09,56.31,56.31,56.31
2012-07-10,56.05,56.05,56.05
2012-07-11,55.58,55.58,55.58
2012-07-12,55.95,55.95,55.95
2012-07-13,55.95,55.95,55.95
2012-07-16,55.22,55.22,55.22
2012-07-17,55.38,55.38,55.38
2012-07-18,55.59,55.59,55.59
2012-07-19,55.73,55.73,55.73
2012-07-20,55.51,55.51,55.51
2012-07-23,56.19,56.19,56.19
2012-07-24,56.33,56.33,56.33
2012-07-25,56.76,56.76,56.76
2012-07-26,56.3,56.3,56.3
2012-07-27,55.77,55.77,55.77
2012-07-30,55.72,55.72,55.72
2012-07-31,56.02,56.02,56.02
2012-08-01,55.84,55.84,55.84
2012-08-02,56.13,56.13,56.13
2012-08-03,56.5,56.5,56.5
2012-08-06,55.79,55.79,55.79
2012-08-07,55.74,55.74,55.74
2012-08-08,55.43,55.43,55.43
2012-08-09,55.44,55.44,55.44
2012-08-10,55.69,55.69,55.69
2012-08-13,55.68,55.68,55.68
2012-08-14,56.07,56.07,56.07
2012-08-16,56.3,56.3,56.3
2012-08-17,56.07,56.07,56.07
2012-08-21,55.93,55.93,55.93
2012-08-22,55.86,55.86,55.86
2012-08-23,55.4,55.4,55.4
2012-08-24,55.62,55.62,55.62
2012-08-27,55.9,55.9,55.9
2012-08-28,56.05,56.05,56.05
2012-08-29,55.91,55.91,55.91
2012-08-30,56.0,56.0,56.0
2012-08-31,56.07,56.07,56.07
2012-09-03,55.74,55.74,55.74
2012-09-04,55.84,55.84,55.84
2012-09-05,56.2,56.2,56.2
2012-09-06,56.34,56.34,56.34
2012-09-07,55.83,55.83,55.83
2012-09-10,55.59,55.59,55.59
2012-09-11,55.78,55.78,55.78
2012-09-12,55.56,55.56,55.56
2012-09-13,55.75,55.75,55.75
2012-09-14,54.85,54.85,54.85
2012-09-17,54.02,54.02,54.02
2012-09-18,54.43,54.43,54.43
2012-09-20,54.57,54.57,54.57
2012-09-21,54.0,54.0,54.0
2012-09-24,53.39,53.39,53.39
2012-09-25,53.73,53.73,53.73
2012-09-26,53.74,53.74,53.74
2012-09-27,53.41,53.41,53.41
2012-09-28,52.89,52.89,52.89
2012-10-01,53.07,53.07,53.07
2012-10-03,52.58,52.58,52.58
2012-10-04,52.32,52.32,52.32
2012-10-05,51.98,51.98,51.98
2012-10-08,52.49,52.49,52.49
2012-10-09,52.56,52.56,52.56
2012-10-10,53.44,53.44,53.44
2012-10-11,53.26,53.26,53.26
2012-10-12,52.91,52.91,52.91
2012-10-15,53.33,53.33,53.33
2012-10-16,53.02,53.02,53.02
2012-10-17,52.95,52.95,52.95
2012-10-18,53.28,53.28,53.28
2012-10-19,53.95,53.95,53.95
2012-10-22,53.87,53.87,53.87
2012-10-23,53.87,53.87,53.87
2012-10-25,53.96,53.96,53.96
2012-10-29,54.07,54.07,54.07
2012-10-30,54.52,54.52,54.52
2012-10-31,54.39,54.39,54.39
2012-11-01,54.11,54.11,54.11
2012-11-02,54.03,54.03,54.03
2012-11-05,54.34,54.34,54.34
2012-11-06,54.94,54.94,54.94
2012-11-07,54.61,54.61,54.61
2012-11-08,54.77,54.77,54.77
2012-11-09,54.57,54.57,54.57
2012-11-12,55.1,55.1,55.1
2012-11-15,55.27,55.27,55.27
2012-11-16,55.32,55.32,55.32
2012-11-19,55.33,55.33,55.33
2012-11-20,55.09,55.09,55.09
2012-11-21,55.49,55.49,55.49
2012-11-22,55.45,55.45,55.45
