Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-02-28,0.7877,0.7877,0.7877
2007-03-01,0.7866,0.7866,0.7866
2007-03-02,0.785,0.785,0.785
2007-03-05,0.7765,0.7765,0.7765
2007-03-06,0.7744,0.7744,0.7744
2007-03-07,0.7763,0.7763,0.7763
2007-03-08,0.7767,0.7767,0.7767
2007-03-09,0.7798,0.7798,0.7798
2007-03-12,0.7812,0.7812,0.7812
2007-03-13,0.7844,0.7844,0.7844
2007-03-14,0.7823,0.7823,0.7823
2007-03-15,0.7855,0.7855,0.7855
2007-03-16,0.7917,0.7917,0.7917
2007-03-19,0.7953,0.7953,0.7953
2007-03-20,0.7998,0.7998,0.7998
2007-03-21,0.8015,0.8015,0.8015
2007-03-22,0.8059,0.8059,0.8059
2007-03-23,0.8055,0.8055,0.8055
2007-03-26,0.8046,0.8046,0.8046
2007-03-27,0.8092,0.8092,0.8092
2007-03-28,0.8049,0.8049,0.8049
2007-03-29,0.8071,0.8071,0.8071
2007-03-30,0.807,0.807,0.807
2007-04-02,0.8139,0.8139,0.8139
2007-04-03,0.8144,0.8144,0.8144
2007-04-04,0.812,0.812,0.812
2007-04-05,0.8167,0.8167,0.8167
2007-04-06,0.8187,0.8187,0.8187
2007-04-09,0.816,0.816,0.816
2007-04-10,0.82331,0.82331,0.82331
2007-04-11,0.8245,0.8245,0.8245
2007-04-12,0.8247,0.8247,0.8247
2007-04-13,0.8325,0.8325,0.8325
2007-04-16,0.8315,0.8315,0.8315
2007-04-17,0.8323,0.8323,0.8323
2007-04-18,0.8364,0.8364,0.8364
2007-04-19,0.8322,0.8322,0.8322
2007-04-20,0.8343,0.8343,0.8343
2007-04-23,0.8344,0.8344,0.8344
2007-04-24,0.825,0.825,0.825
2007-04-25,0.8305,0.8305,0.8305
2007-04-26,0.8332,0.8332,0.8332
2007-04-27,0.8252,0.8252,0.8252
2007-04-30,0.8269,0.8269,0.8269
2007-05-01,0.8292,0.8292,0.8292
2007-05-02,0.8248,0.8248,0.8248
2007-05-03,0.8244,0.8244,0.8244
2007-05-04,0.8190000000000001,0.8190000000000001,0.8190000000000001
2007-05-07,0.8247,0.8247,0.8247
2007-05-08,0.8307,0.8307,0.8307
2007-05-09,0.8292,0.8292,0.8292
2007-05-10,0.8323,0.8323,0.8323
2007-05-11,0.8302,0.8302,0.8302
2007-05-14,0.8335,0.8335,0.8335
2007-05-15,0.8327,0.8327,0.8327
2007-05-16,0.8328,0.8328,0.8328
2007-05-17,0.8258,0.8258,0.8258
2007-05-18,0.821,0.821,0.821
2007-05-21,0.8231,0.8231,0.8231
2007-05-22,0.8217,0.8217,0.8217
2007-05-23,0.8217,0.8217,0.8217
2007-05-24,0.8228,0.8228,0.8228
2007-05-25,0.82,0.82,0.82
2007-05-28,0.8192,0.8192,0.8192
2007-05-29,0.8173,0.8173,0.8173
2007-05-30,0.8188,0.8188,0.8188
2007-05-31,0.8245,0.8245,0.8245
2007-06-01,0.8295,0.8295,0.8295
2007-06-04,0.8332,0.8332,0.8332
2007-06-05,0.8354,0.8354,0.8354
2007-06-06,0.8436,0.8436,0.8436
2007-06-07,0.8467,0.8467,0.8467
2007-06-08,0.8424,0.8424,0.8424
2007-06-11,0.8408,0.8408,0.8408
2007-06-12,0.8434,0.8434,0.8434
2007-06-13,0.8412,0.8412,0.8412
2007-06-14,0.8385,0.8385,0.8385
2007-06-15,0.8368,0.8368,0.8368
2007-06-18,0.8428,0.8428,0.8428
2007-06-19,0.8436,0.8436,0.8436
2007-06-20,0.8468,0.8468,0.8468
2007-06-21,0.8457,0.8457,0.8457
2007-06-22,0.8472,0.8472,0.8472
2007-06-25,0.8488,0.8488,0.8488
2007-06-26,0.8475,0.8475,0.8475
2007-06-27,0.8412,0.8412,0.8412
2007-06-28,0.8419,0.8419,0.8419
2007-06-29,0.8489,0.8489,0.8489
2007-07-02,0.8532,0.8532,0.8532
2007-07-03,0.8568,0.8568,0.8568
2007-07-04,0.8578,0.8578,0.8578
2007-07-05,0.8582,0.8582,0.8582
2007-07-06,0.8563,0.8563,0.8563
2007-07-09,0.8591,0.8591,0.8591
2007-07-10,0.8577,0.8577,0.8577
2007-07-11,0.8607,0.8607,0.8607
2007-07-12,0.8606,0.8606,0.8606
2007-07-13,0.8672,0.8672,0.8672
2007-07-16,0.8731,0.8731,0.8731
2007-07-17,0.8738,0.8738,0.8738
2007-07-18,0.8778,0.8778,0.8778
2007-07-19,0.8776,0.8776,0.8776
2007-07-20,0.8805,0.8805,0.8805
2007-07-23,0.8827,0.8827,0.8827
2007-07-24,0.8846,0.8846,0.8846
2007-07-25,0.8867,0.8867,0.8867
2007-07-26,0.8847,0.8847,0.8847
2007-07-27,0.8707,0.8707,0.8707
2007-07-30,0.8493,0.8493,0.8493
2007-07-31,0.8572,0.8572,0.8572
2007-08-01,0.8454,0.8454,0.8454
