Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-02-28,,,1.1676
2007-03-01,,,1.1686
2007-03-02,,,1.1724
2007-03-05,,,1.1767
2007-03-06,,,1.1784
2007-03-07,,,1.177
2007-03-08,,,1.1773
2007-03-09,,,1.1799
2007-03-12,,,1.1719
2007-03-13,,,1.1707
2007-03-14,,,1.175
2007-03-15,,,1.1748
2007-03-16,,,1.1751
2007-03-19,,,1.1767
2007-03-20,,,1.178
2007-03-21,,,1.1616
2007-03-22,,,1.1566
2007-03-23,,,1.1576
2007-03-26,,,1.1626
2007-03-27,,,1.1572
2007-03-28,,,1.1568
2007-03-29,,,1.16
2007-03-30,,,1.157
2007-04-02,,,1.1526
2007-04-03,,,1.156
2007-04-04,,,1.1584
2007-04-05,,,1.1592
2007-04-06,,,1.1521
2007-04-09,,,1.1522
2007-04-10,,,1.1514
2007-04-11,,,1.1474
2007-04-12,,,1.1409
2007-04-13,,,1.1351
2007-04-16,,,1.1358
2007-04-17,,,1.1317
2007-04-18,,,1.1286
2007-04-19,,,1.1304
2007-04-20,,,1.1288
2007-04-23,,,1.1232
2007-04-24,,,1.1226
2007-04-25,,,1.1211
2007-04-26,,,1.1153
2007-04-27,,,1.1218
2007-04-30,,,1.1172
2007-05-01,,,1.1086
2007-05-02,,,1.1122
2007-05-03,,,1.1083
2007-05-04,,,1.1077
2007-05-07,,,1.1054
2007-05-08,,,1.1012
2007-05-09,,,1.1066
2007-05-10,,,1.1063
2007-05-11,,,1.1098
2007-05-14,,,1.1111
2007-05-15,,,1.1054
2007-05-16,,,1.0978
2007-05-17,,,1.104
2007-05-18,,,1.0988
2007-05-21,,,1.0888
2007-05-22,,,1.0842
2007-05-23,,,1.0868
2007-05-24,,,1.0834
2007-05-25,,,1.0836
2007-05-28,,,1.0796
2007-05-29,,,1.0826
2007-05-30,,,1.0735
2007-05-31,,,1.0728
2007-06-01,,,1.0692
2007-06-04,,,1.0602
2007-06-05,,,1.0582
2007-06-06,,,1.0597
2007-06-07,,,1.0573
2007-06-08,,,1.0626
2007-06-11,,,1.0609
2007-06-12,,,1.0607
2007-06-13,,,1.067
2007-06-14,,,1.0675
2007-06-15,,,1.0668
2007-06-18,,,1.0665
2007-06-19,,,1.0708
2007-06-20,,,1.0622
2007-06-21,,,1.0666
2007-06-22,,,1.0745
2007-06-25,,,1.0722
2007-06-26,,,1.0718
2007-06-27,,,1.072
2007-06-28,,,1.0681
2007-06-29,,,1.0578
2007-07-02,,,1.062
2007-07-03,,,1.0544
2007-07-04,,,1.0597
2007-07-05,,,1.0576
2007-07-06,,,1.0552
2007-07-09,,,1.0461
2007-07-10,,,1.0514
2007-07-11,,,1.0555
2007-07-12,,,1.0538
2007-07-13,,,1.0455
2007-07-16,,,1.0453
2007-07-17,,,1.0433
2007-07-18,,,1.0417
2007-07-19,,,1.0459
2007-07-20,,,1.044
2007-07-23,,,1.0445
2007-07-24,,,1.0463
2007-07-25,,,1.0362
2007-07-26,,,1.0416
2007-07-27,,,1.0578
2007-07-30,,,1.0655
2007-07-31,,,1.0651
2007-08-01,,,1.0693
2007-08-02,,,1.0568
2007-08-03,,,1.053
2007-08-06,,,1.0582
2007-08-07,,,1.0528
2007-08-08,,,1.0548
2007-08-09,,,1.0481
2007-08-10,,,1.0614
2007-08-13,,,1.0544
2007-08-14,,,1.0561
2007-08-15,,,1.0722
2007-08-16,,,1.0824
2007-08-17,,,1.0789
2007-08-20,,,1.058
2007-08-21,,,1.0577
2007-08-22,,,1.063
2007-08-23,,,1.0611
2007-08-24,,,1.0545
2007-08-27,,,1.0503
2007-08-28,,,1.058
2007-08-29,,,1.0656
2007-08-30,,,1.0618
2007-08-31,,,1.0579
2007-09-03,,,1.0525
2007-09-04,,,1.0529
2007-09-05,,,1.0516
2007-09-06,,,1.0525
2007-09-07,,,1.0521
2007-09-10,,,1.0583
2007-09-11,,,1.0501
2007-09-12,,,1.0423
2007-09-13,,,1.0361
2007-09-14,,,1.0349
2007-09-17,,,1.0267
2007-09-18,,,1.0266
2007-09-19,,,1.0118
2007-09-20,,,1.0131
2007-09-21,,,0.9978
2007-09-24,,,0.9991
2007-09-25,,,1.0029
2007-09-26,,,1.0072
2007-09-27,,,1.0029
2007-09-28,,,1.0007
2007-10-01,,,0.9935
2007-10-02,,,0.9942
2007-10-03,,,0.9973
2007-10-04,,,1.0005
2007-10-05,,,0.9979
2007-10-08,,,0.9812
2007-10-09,,,0.986
2007-10-10,,,0.9814
2007-10-11,,,0.9815
2007-10-12,,,0.9786
2007-10-15,,,0.9734
2007-10-16,,,0.9759
2007-10-17,,,0.9808
2007-10-18,,,0.9734
2007-10-19,,,0.9732
2007-10-22,,,0.9672
2007-10-23,,,0.976
2007-10-24,,,0.9677
2007-10-25,,,0.9685
2007-10-26,,,0.9636
2007-10-29,,,0.9583
2007-10-30,,,0.9543
2007-10-31,,,0.9540000000000001
2007-11-01,,,0.9442
2007-11-02,,,0.9498
2007-11-05,,,0.9356
2007-11-06,,,0.932
2007-11-07,,,0.9094
2007-11-08,,,0.9305
2007-11-09,,,0.9272
2007-11-12,,,0.9485
2007-11-13,,,0.9620000000000001
2007-11-14,,,0.9586
2007-11-15,,,0.9629
2007-11-16,,,0.9863
2007-11-19,,,0.9718
2007-11-20,,,0.9818
2007-11-21,,,0.9801
2007-11-22,,,0.9821
2007-11-23,,,0.9826
2007-11-26,,,0.9842
2007-11-27,,,0.9863
2007-11-28,,,0.995
2007-11-29,,,0.9879
2007-11-30,,,0.9971
2007-12-03,,,0.9999
2007-12-04,,,1.0029
2007-12-05,,,1.0157
2007-12-06,,,1.0127
2007-12-07,,,1.0102
2007-12-10,,,1.0066
2007-12-11,,,1.0066
2007-12-12,,,1.0090000000000001
2007-12-13,,,1.0127
2007-12-14,,,1.0182
2007-12-17,,,1.0169
2007-12-18,,,1.005
2007-12-19,,,1.0043
2007-12-20,,,1.003
2007-12-21,,,0.9975
2007-12-24,,,0.9918
2007-12-25,,,0.9861
2007-12-26,,,0.9855
2007-12-27,,,0.9805
2007-12-28,,,0.9843
2007-12-31,,,0.9776
2008-01-02,,,0.9891
2008-01-03,,,0.9943
2008-01-04,,,0.9874
2008-01-07,,,1.0015
2008-01-08,,,1.0032
2008-01-09,,,1.0032
2008-01-10,,,1.0097
2008-01-11,,,1.0093
2008-01-14,,,1.0197
2008-01-15,,,1.0167
2008-01-16,,,1.0195
2008-01-17,,,1.0247
2008-01-18,,,1.0279
2008-01-21,,,1.0287
2008-01-22,,,1.0337
2008-01-23,,,1.0292
2008-01-24,,,1.0229
2008-01-25,,,1.0056
2008-01-28,,,1.0106
2008-01-29,,,1.0045
2008-01-30,,,0.9982
2008-01-31,,,0.9951
2008-02-01,,,1.0022
2008-02-04,,,0.9940000000000001
2008-02-05,,,0.995
2008-02-06,,,1.0071
2008-02-07,,,1.0063
2008-02-08,,,1.0101
2008-02-11,,,0.9993
2008-02-12,,,1.0035
2008-02-13,,,1.0
2008-02-14,,,0.9971
2008-02-15,,,0.9994
2008-02-18,,,1.0056
2008-02-19,,,1.0070000000000001
2008-02-20,,,1.0154
2008-02-21,,,1.0101
2008-02-22,,,1.0116
2008-02-25,,,1.0118
2008-02-26,,,0.9977
2008-02-27,,,0.9802
2008-02-28,,,0.9797
2008-02-29,,,0.9795
2008-03-03,,,0.9857
2008-03-04,,,0.9911
2008-03-05,,,0.9939
2008-03-06,,,0.9861
2008-03-07,,,0.9829
2008-03-10,,,0.9884
2008-03-11,,,0.9931
2008-03-12,,,0.9911
2008-03-13,,,0.9896
2008-03-14,,,0.982
2008-03-17,,,0.9926
2008-03-18,,,0.9942
2008-03-19,,,0.9928
2008-03-20,,,1.0149
2008-03-21,,,1.0235
2008-03-24,,,1.0306
2008-03-25,,,1.0153
2008-03-26,,,1.0174
2008-03-27,,,1.0175
2008-03-28,,,1.0146
2008-03-31,,,1.0226
2008-04-01,,,1.0256
2008-04-02,,,1.0238
2008-04-03,,,1.015
2008-04-04,,,1.0053
2008-04-07,,,1.0062
2008-04-08,,,1.0135
2008-04-09,,,1.0136
2008-04-10,,,1.0179
2008-04-11,,,1.0167
2008-04-14,,,1.025
2008-04-15,,,1.0170000000000001
2008-04-16,,,1.0177
2008-04-17,,,1.0014
2008-04-18,,,1.0086
2008-04-21,,,1.0044
2008-04-22,,,1.0078
2008-04-23,,,1.0089
2008-04-24,,,1.0184
2008-04-25,,,1.0161
2008-04-28,,,1.0089
2008-04-29,,,1.0136
2008-04-30,,,1.0135
