Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-02-28,118.18,118.18,118.18
2007-03-01,118.29,118.29,118.29
2007-03-02,117.67,117.67,117.67
2007-03-05,115.58,115.58,115.58
2007-03-06,116.41,116.41,116.41
2007-03-07,116.35,116.35,116.35
2007-03-08,116.72,116.72,116.72
2007-03-09,117.41,117.41,117.41
2007-03-12,118.18,118.18,118.18
2007-03-13,117.45,117.45,117.45
2007-03-14,116.14,116.14,116.14
2007-03-15,117.16,117.16,117.16
2007-03-16,117.06,117.06,117.06
2007-03-19,117.31,117.31,117.31
2007-03-20,117.79,117.79,117.79
2007-03-21,117.26,117.26,117.26
2007-03-22,117.48,117.48,117.48
2007-03-23,118.12,118.12,118.12
2007-03-26,117.92,117.92,117.92
2007-03-27,118.09,118.09,118.09
2007-03-28,117.31,117.31,117.31
2007-03-29,117.13,117.13,117.13
2007-03-30,117.65,117.65,117.65
2007-04-02,117.69,117.69,117.69
2007-04-03,118.18,118.18,118.18
2007-04-04,118.94,118.94,118.94
2007-04-05,118.71,118.71,118.71
2007-04-06,118.84,118.84,118.84
2007-04-09,119.29,119.29,119.29
2007-04-10,119.04,119.04,119.04
2007-04-11,119.22,119.22,119.22
2007-04-12,119.43,119.43,119.43
2007-04-13,118.75,118.75,118.75
2007-04-16,119.43,119.43,119.43
2007-04-17,119.4,119.4,119.4
2007-04-18,118.72,118.72,118.72
2007-04-19,117.93,117.93,117.93
2007-04-20,118.67,118.67,118.67
2007-04-23,118.39,118.39,118.39
2007-04-24,118.44,118.44,118.44
2007-04-25,118.4,118.4,118.4
2007-04-26,118.67,118.67,118.67
2007-04-27,119.56,119.56,119.56
2007-04-30,119.55,119.55,119.55
2007-05-01,119.56,119.56,119.56
2007-05-02,119.6,119.6,119.6
2007-05-03,120.19,120.19,120.19
2007-05-04,120.3,120.3,120.3
2007-05-07,119.93,119.93,119.93
2007-05-08,119.86,119.86,119.86
2007-05-09,119.79,119.79,119.79
2007-05-10,120.1,120.1,120.1
2007-05-11,119.87,119.87,119.87
2007-05-14,120.2,120.2,120.2
2007-05-15,120.33,120.33,120.33
2007-05-16,120.33,120.33,120.33
2007-05-17,120.82,120.82,120.82
2007-05-18,121.3,121.3,121.3
2007-05-21,121.28,121.28,121.28
2007-05-22,121.48,121.48,121.48
2007-05-23,121.67,121.67,121.67
2007-05-24,121.59,121.59,121.59
2007-05-25,121.23,121.23,121.23
2007-05-28,121.68,121.68,121.68
2007-05-29,121.43,121.43,121.43
2007-05-30,121.58,121.58,121.58
2007-05-31,121.56,121.56,121.56
2007-06-01,121.95,121.95,121.95
2007-06-04,122.01,122.01,122.01
2007-06-05,121.85,121.85,121.85
2007-06-06,121.32,121.32,121.32
2007-06-07,121.22,121.22,121.22
2007-06-08,121.21,121.21,121.21
2007-06-11,121.62,121.62,121.62
2007-06-12,121.67,121.67,121.67
2007-06-13,122.14,122.14,122.14
2007-06-14,122.81,122.81,122.81
2007-06-15,123.01,123.01,123.01
2007-06-18,123.59,123.59,123.59
2007-06-19,123.62,123.62,123.62
2007-06-20,123.33,123.33,123.33
2007-06-21,123.68,123.68,123.68
2007-06-22,123.89,123.89,123.89
2007-06-25,123.88,123.88,123.88
2007-06-26,123.38,123.38,123.38
2007-06-27,122.69,122.69,122.69
2007-06-28,123.15,123.15,123.15
2007-06-29,123.36,123.36,123.36
2007-07-02,123.01,123.01,123.01
2007-07-03,122.51,122.51,122.51
2007-07-04,122.37,122.37,122.37
2007-07-05,122.69,122.69,122.69
2007-07-06,123.24,123.24,123.24
2007-07-09,123.65,123.65,123.65
2007-07-10,123.43,123.43,123.43
2007-07-11,121.19,121.19,121.19
2007-07-12,122.27,122.27,122.27
2007-07-13,122.38,122.38,122.38
2007-07-16,121.91,121.91,121.91
2007-07-17,121.94,121.94,121.94
2007-07-18,121.76,121.76,121.76
2007-07-19,121.99,121.99,121.99
2007-07-20,122.23,122.23,122.23
2007-07-23,120.88,120.88,120.88
2007-07-24,120.64,120.64,120.64
2007-07-25,120.25,120.25,120.25
2007-07-26,120.43,120.43,120.43
2007-07-27,118.65,118.65,118.65
2007-07-30,118.51,118.51,118.51
2007-07-31,118.85,118.85,118.85
2007-08-01,117.84,117.84,117.84
2007-08-02,118.75,118.75,118.75
2007-08-03,119.1,119.1,119.1
2007-08-06,117.55,117.55,117.55
2007-08-07,118.68,118.68,118.68
2007-08-08,118.96,118.96,118.96
2007-08-09,119.63,119.63,119.63
2007-08-10,117.94,117.94,117.94
2007-08-13,118.23,118.23,118.23
2007-08-14,117.88,117.88,117.88
2007-08-15,117.19,117.19,117.19
2007-08-16,116.15,116.15,116.15
2007-08-17,112.4,112.4,112.4
2007-08-20,114.6,114.6,114.6
2007-08-21,114.86,114.86,114.86
2007-08-22,114.37,114.37,114.37
2007-08-23,115.82,115.82,115.82
2007-08-24,115.93,115.93,115.93
2007-08-27,116.29,116.29,116.29
2007-08-28,115.57,115.57,115.57
2007-08-29,114.27,114.27,114.27
2007-08-30,115.3,115.3,115.3
2007-08-31,116.17,116.17,116.17
2007-09-03,116.1,116.1,116.1
2007-09-04,115.88,115.88,115.88
2007-09-05,115.82,115.82,115.82
2007-09-06,115.31,115.31,115.31
2007-09-07,115.08,115.08,115.08
2007-09-10,113.19,113.19,113.19
2007-09-11,113.83,113.83,113.83
2007-09-12,113.91,113.91,113.91
2007-09-13,114.22,114.22,114.22
2007-09-14,115.04,115.04,115.04
2007-09-17,115.27,115.27,115.27
2007-09-18,114.88,114.88,114.88
2007-09-19,115.86,115.86,115.86
2007-09-20,115.81,115.81,115.81
2007-09-21,114.8,114.8,114.8
2007-09-24,115.05,115.05,115.05
2007-09-25,114.69,114.69,114.69
2007-09-26,114.76,114.76,114.76
2007-09-27,115.55,115.55,115.55
2007-09-28,115.13,115.13,115.13
2007-10-01,115.08,115.08,115.08
2007-10-02,115.43,115.43,115.43
2007-10-03,115.76,115.76,115.76
2007-10-04,116.49,116.49,116.49
2007-10-05,116.61,116.61,116.61
2007-10-08,117.08,117.08,117.08
2007-10-09,117.18,117.18,117.18
2007-10-10,117.27,117.27,117.27
2007-10-11,117.28,117.28,117.28
2007-10-12,117.2,117.2,117.2
2007-10-15,117.63,117.63,117.63
2007-10-16,117.36,117.36,117.36
2007-10-17,116.34,116.34,116.34
2007-10-18,116.57,116.57,116.57
2007-10-19,114.99,114.99,114.99
2007-10-22,114.18,114.18,114.18
2007-10-23,114.56,114.56,114.56
2007-10-24,114.3,114.3,114.3
2007-10-25,113.94,113.94,113.94
2007-10-26,114.29,114.29,114.29
2007-10-29,114.17,114.17,114.17
2007-10-30,114.52,114.52,114.52
2007-10-31,114.66,114.66,114.66
2007-11-01,115.3,115.3,115.3
2007-11-02,114.58,114.58,114.58
2007-11-05,114.72,114.72,114.72
2007-11-06,114.63,114.63,114.63
2007-11-07,113.87,113.87,113.87
2007-11-08,112.76,112.76,112.76
2007-11-09,112.63,112.63,112.63
2007-11-12,110.38,110.38,110.38
2007-11-13,110.02,110.02,110.02
2007-11-14,111.13,111.13,111.13
2007-11-15,111.27,111.27,111.27
2007-11-16,110.13,110.13,110.13
2007-11-19,110.43,110.43,110.43
2007-11-20,110.38,110.38,110.38
2007-11-21,109.08,109.08,109.08
2007-11-22,108.94,108.94,108.94
2007-11-23,107.81,107.81,107.81
2007-11-26,108.56,108.56,108.56
2007-11-27,108.36,108.36,108.36
2007-11-28,108.48,108.48,108.48
2007-11-29,110.03,110.03,110.03
2007-11-30,110.23,110.23,110.23
2007-12-03,110.62,110.62,110.62
2007-12-04,110.2,110.2,110.2
2007-12-05,110.31,110.31,110.31
2007-12-06,110.94,110.94,110.94
2007-12-07,111.34,111.34,111.34
2007-12-10,111.75,111.75,111.75
2007-12-11,111.8,111.8,111.8
2007-12-12,111.07,111.07,111.07
2007-12-13,111.75,111.75,111.75
2007-12-14,112.44,112.44,112.44
2007-12-17,113.1,113.1,113.1
2007-12-18,113.24,113.24,113.24
2007-12-19,113.24,113.24,113.24
2007-12-20,113.22,113.22,113.22
2007-12-21,113.08,113.08,113.08
2007-12-24,114.03,114.03,114.03
2007-12-25,114.14,114.14,114.14
2007-12-26,114.17,114.17,114.17
2007-12-27,114.27,114.27,114.27
2007-12-28,112.99,112.99,112.99
2007-12-31,111.95,111.95,111.95
2008-01-01,111.74,111.74,111.74
2008-01-02,111.46,111.46,111.46
2008-01-03,109.66,109.66,109.66
2008-01-04,109.46,109.46,109.46
2008-01-07,108.99,108.99,108.99
2008-01-08,109.3,109.3,109.3
2008-01-09,109.5,109.5,109.5
2008-01-10,109.57,109.57,109.57
2008-01-11,109.0,109.0,109.0
2008-01-14,108.66,108.66,108.66
2008-01-15,107.77,107.77,107.77
2008-01-16,106.14,106.14,106.14
2008-01-17,107.18,107.18,107.18
2008-01-18,106.96,106.96,106.96
2008-01-21,106.73,106.73,106.73
2008-01-22,106.1,106.1,106.1
2008-01-23,106.37,106.37,106.37
2008-01-24,106.58,106.58,106.58
2008-01-25,107.51,107.51,107.51
2008-01-28,106.26,106.26,106.26
2008-01-29,106.64,106.64,106.64
2008-01-30,106.79,106.79,106.79
2008-01-31,106.47,106.47,106.47
2008-02-01,106.42,106.42,106.42
2008-02-04,106.82,106.82,106.82
2008-02-05,106.87,106.87,106.87
2008-02-06,106.38,106.38,106.38
2008-02-07,106.53,106.53,106.53
2008-02-08,107.34,107.34,107.34
2008-02-11,107.09,107.09,107.09
2008-02-12,106.98,106.98,106.98
2008-02-13,107.2,107.2,107.2
2008-02-14,108.23,108.23,108.23
2008-02-15,108.02,108.02,108.02
2008-02-18,107.84,107.84,107.84
2008-02-19,107.84,107.84,107.84
2008-02-20,107.74,107.74,107.74
2008-02-21,108.22,108.22,108.22
2008-02-22,107.47,107.47,107.47
2008-02-25,,,107.41
2008-02-26,,,107.9
