Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-02-28,1.5298,1.5298,1.5298
2007-03-01,1.528,1.528,1.528
2007-03-02,1.5273,1.5273,1.5273
2007-03-05,1.5264,1.5264,1.5264
2007-03-06,1.531,1.531,1.531
2007-03-07,1.5286,1.5286,1.5286
2007-03-08,1.5268000000000002,1.5268000000000002,1.5268000000000002
2007-03-09,1.5267,1.5267,1.5267
2007-03-12,1.5272,1.5272,1.5272
2007-03-13,1.5282,1.5282,1.5282
2007-03-14,1.5343,1.5343,1.5343
2007-03-15,1.5332,1.5332,1.5332
2007-03-16,1.5289,1.5289,1.5289
2007-03-19,1.5253,1.5253,1.5253
2007-03-20,1.5266,1.5266,1.5266
2007-03-21,1.5251,1.5251,1.5251
2007-03-22,1.5177,1.5177,1.5177
2007-03-23,1.519,1.519,1.519
2007-03-26,1.518,1.518,1.518
2007-03-27,1.5175999999999998,1.5175999999999998,1.5175999999999998
2007-03-28,1.5174,1.5174,1.5174
2007-03-29,1.5171,1.5171,1.5171
2007-03-30,1.5168,1.5168,1.5168
2007-04-02,1.5173,1.5173,1.5173
2007-04-03,1.518,1.518,1.518
2007-04-04,1.5165,1.5165,1.5165
2007-04-05,1.5130000000000001,1.5130000000000001,1.5130000000000001
2007-04-06,1.5126,1.5126,1.5126
2007-04-09,1.5125,1.5125,1.5125
2007-04-10,1.5154999999999998,1.5154999999999998,1.5154999999999998
2007-04-11,1.5181,1.5181,1.5181
2007-04-12,1.521,1.521,1.521
2007-04-13,1.5168,1.5168,1.5168
2007-04-16,1.5138,1.5138,1.5138
2007-04-17,1.5128,1.5128,1.5128
2007-04-18,1.5124,1.5124,1.5124
2007-04-19,1.5106000000000002,1.5106000000000002,1.5106000000000002
2007-04-20,1.5101,1.5101,1.5101
2007-04-23,1.5119999999999998,1.5119999999999998,1.5119999999999998
2007-04-24,1.5157,1.5157,1.5157
2007-04-25,1.5121,1.5121,1.5121
2007-04-26,1.5135,1.5135,1.5135
2007-04-27,1.5171,1.5171,1.5171
2007-04-30,1.5192,1.5192,1.5192
2007-05-01,1.5212,1.5212,1.5212
2007-05-02,1.5243,1.5243,1.5243
2007-05-03,1.523,1.523,1.523
2007-05-04,1.5225,1.5225,1.5225
2007-05-07,1.5139,1.5139,1.5139
2007-05-08,1.514,1.514,1.514
2007-05-09,1.5159,1.5159,1.5159
2007-05-10,1.5154999999999998,1.5154999999999998,1.5154999999999998
2007-05-11,1.5195,1.5195,1.5195
2007-05-14,1.5147,1.5147,1.5147
2007-05-15,1.5166,1.5166,1.5166
2007-05-16,1.518,1.518,1.518
2007-05-17,1.523,1.523,1.523
2007-05-18,1.5274,1.5274,1.5274
2007-05-21,1.5234,1.5234,1.5234
2007-05-22,1.5332,1.5332,1.5332
2007-05-23,1.5306,1.5306,1.5306
2007-05-24,1.5257,1.5257,1.5257
2007-05-25,1.5276999999999998,1.5276999999999998,1.5276999999999998
2007-05-28,1.5279,1.5279,1.5279
2007-05-29,1.5286,1.5286,1.5286
2007-05-30,1.528,1.528,1.528
2007-05-31,1.5293,1.5293,1.5293
2007-06-01,1.5292,1.5292,1.5292
2007-06-04,1.5301,1.5301,1.5301
2007-06-05,1.5308000000000002,1.5308000000000002,1.5308000000000002
2007-06-06,1.5304,1.5304,1.5304
2007-06-07,1.5319999999999998,1.5319999999999998,1.5319999999999998
2007-06-08,1.5381,1.5381,1.5381
2007-06-11,1.5432,1.5432,1.5432
2007-06-12,1.5393,1.5393,1.5393
2007-06-13,1.5414,1.5414,1.5414
2007-06-14,1.5416,1.5416,1.5416
2007-06-15,1.5415,1.5415,1.5415
2007-06-18,1.5377,1.5377,1.5377
2007-06-19,1.5377,1.5377,1.5377
2007-06-20,1.5358,1.5358,1.5358
2007-06-21,1.538,1.538,1.538
2007-06-22,1.5371,1.5371,1.5371
2007-06-25,1.5371,1.5371,1.5371
2007-06-26,1.5377999999999998,1.5377999999999998,1.5377999999999998
2007-06-27,1.5392,1.5392,1.5392
2007-06-28,1.5366,1.5366,1.5366
2007-06-29,1.5325,1.5325,1.5325
2007-07-02,1.5279,1.5279,1.5279
2007-07-03,1.5228000000000002,1.5228000000000002,1.5228000000000002
2007-07-04,1.5232,1.5232,1.5232
2007-07-05,1.5218,1.5218,1.5218
2007-07-06,1.5207000000000002,1.5207000000000002,1.5207000000000002
