Unnamed: 0,PRICE_BID,PRICE_ASK,PRICE_LAST
2007-08-22,2.1082,2.1082,2.1082
2007-08-28,2.1216,2.1216,2.1216
2007-08-29,2.1312,2.1312,2.1312
2007-08-30,2.1384,2.1384,2.1384
2007-08-31,2.1319,2.1319,2.1319
2007-09-03,2.1243,2.1243,2.1243
2007-09-04,2.1252,2.1252,2.1252
2007-09-05,2.1127,2.1127,2.1127
2007-09-06,2.1256,2.1256,2.1256
2007-09-07,2.1254,2.1254,2.1254
2007-09-10,2.1482,2.1482,2.1482
2007-09-11,2.1277,2.1277,2.1277
2007-09-12,2.1209,2.1209,2.1209
2007-09-13,2.1007,2.1007,2.1007
2007-09-14,2.0894,2.0894,2.0894
2007-09-17,2.0597,2.0597,2.0597
2007-09-18,2.0421,2.0421,2.0421
2007-09-19,2.0383,2.0383,2.0383
2007-09-20,2.0261,2.0261,2.0261
2007-09-21,2.0057,2.0057,2.0057
2007-09-24,2.0269,2.0269,2.0269
2007-09-25,2.019,2.019,2.019
2007-09-26,2.032,2.032,2.032
2007-09-27,2.023,2.023,2.023
2007-09-28,2.0232,2.0232,2.0232
2007-10-01,2.0332,2.0332,2.0332
2007-10-02,2.029,2.029,2.029
2007-10-03,2.0346,2.0346,2.0346
2007-10-04,2.0295,2.0295,2.0295
2007-10-05,2.0335,2.0335,2.0335
2007-10-08,2.0029,2.0029,2.0029
2007-10-09,2.0048,2.0048,2.0048
2007-10-10,2.0,2.0,2.0
2007-10-11,2.002,2.002,2.002
2007-10-12,1.987,1.987,1.987
2007-10-15,1.9805,1.9805,1.9805
2007-10-16,1.9928,1.9928,1.9928
2007-10-17,1.9926,1.9926,1.9926
2007-10-18,1.9871,1.9871,1.9871
2007-10-19,1.9936,1.9936,1.9936
2007-10-22,1.984,1.984,1.984
2007-10-23,1.9873,1.9873,1.9873
2007-10-24,1.9819,1.9819,1.9819
2007-10-25,1.9816,1.9816,1.9816
2007-10-26,1.9776,1.9776,1.9776
2007-10-29,1.9702,1.9702,1.9702
2007-10-30,1.9665,1.9665,1.9665
2007-10-31,1.9744,1.9744,1.9744
2007-11-01,1.9632,1.9632,1.9632
2007-11-02,1.974,1.974,1.974
2007-11-05,1.953,1.953,1.953
2007-11-06,1.9429,1.9429,1.9429
2007-11-07,1.9048,1.9048,1.9048
2007-11-08,1.9532,1.9532,1.9532
2007-11-09,1.9577,1.9577,1.9577
2007-11-12,1.9731,1.9731,1.9731
2007-11-13,1.9865,1.9865,1.9865
2007-11-14,1.9922,1.9922,1.9922
2007-11-15,1.9804,1.9804,1.9804
2007-11-16,2.017,2.017,2.017
2007-11-19,1.9969,1.9969,1.9969
2007-11-20,2.0137,2.0137,2.0137
2007-11-21,2.0265,2.0265,2.0265
2007-11-22,2.0296,2.0296,2.0296
2007-11-23,2.0348,2.0348,2.0348
2007-11-26,2.0314,2.0314,2.0314
2007-11-27,2.044,2.044,2.044
2007-11-28,2.0563,2.0563,2.0563
2007-11-29,2.0506,2.0506,2.0506
2007-11-30,2.0572,2.0572,2.0572
2007-12-03,2.057,2.057,2.057
2007-12-04,2.0701,2.0701,2.0701
